datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/01/08 04:30:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.95,-15.58003,-47.3874,1.3
2019/01/08 16:08:21,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.59302,-47.39392,
2019/01/08 16:08:21,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.59359,-47.39852,
2019/01/08 17:06:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.86,-15.59054,-47.3942,17
2019/01/08 17:06:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.86,-15.59129,-47.39827,17
2019/01/08 17:06:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.86,-15.59473,-47.39335,5.3
2019/01/08 17:06:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.86,-15.59548,-47.39743,5.3
2019/01/08 22:22:55,NOAA-15,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,2,5.15,0.7,-15.555701,-47.418606,
2019/01/09 16:48:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,6,0.52,-15.58539,-47.39907,11.1
2019/01/14 04:18:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,2,0,0.01,-15.57063,-47.8546,0.8
2019/01/14 15:55:49,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.58213,-47.38699,
2019/01/14 15:55:49,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.58173,-47.38334,
2019/01/14 16:54:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,2,0,0.73,-15.58042,-47.39977,5.3
2019/01/14 16:54:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,2,0,0.73,-15.58394,-47.39917,5.3
2019/01/14 16:54:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,2,0,0.73,-15.58679,-47.39446,17.5
2019/01/14 16:54:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,2,0,0.73,-15.58747,-47.39857,11.7
2019/01/16 04:29:19,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.56983,-47.857,
2019/01/16 16:12:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.73,-15.88299,-47.57883,8
2019/01/16 16:12:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.73,-15.88357,-47.58357,8
2019/01/16 16:12:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.73,-15.88759,-47.57829,8
2019/01/16 16:35:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,4,0,1,-15.591,-47.397,11.9
2019/01/16 16:35:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.73,-15.884,-47.579,13.4
2019/01/16 16:35:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.73,-15.889,-47.585,20.9
2019/01/16 16:57:33,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.58575,-47.40056,
2019/01/16 16:57:33,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.58991,-47.39977,
2019/01/16 16:57:33,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.88512,-47.58261,
2019/01/17 16:38:37,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.58992,-47.39338,
2019/01/19 04:24:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,5,1.75,,-15.56904,-47.85534,0.8
2019/01/19 17:00:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,1,-15.59009,-47.39766,9.4
2019/01/19 17:00:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,1,-15.5939,-47.39693,5.8
2019/01/20 16:42:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0.3,0.05,-15.77516,-48.13418,4.6
2019/01/21 16:18:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0.32,0.28,-15.89781,-48.03227,16.6
2019/01/21 16:18:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,1,-15.58882,-47.39525,8.1
2019/01/21 16:18:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,1,-15.5929,-47.39475,8.1
2019/01/22 16:47:51,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.55133,-47.52634,
2019/01/22 16:47:51,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.59563,-47.39497,
2019/01/22 16:47:51,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.59213,-47.3956,
2019/01/22 16:47:51,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.5528,-47.52661,
2019/01/22 17:42:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.13,-15.50498,-47.98389,6.8
2019/01/22 17:42:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.13,-15.50554,-47.98476,6.8
2019/01/23 04:48:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,4,0,0.35,-15.50975,-47.99022,1
2019/01/23 04:48:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,4,0,0.34,-15.51039,-47.98529,1
2019/01/23 04:54:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,4,0,0.34,-15.51175,-47.98765,2
2019/01/23 17:24:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,4,0,0.34,-15.51786,-47.98785,2.9
2019/01/23 17:24:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,4,0,0.34,-15.51864,-47.9886,4.3
2019/01/23 17:24:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,5,0,0.22,-15.60594,-47.69409,4
2019/01/24 04:30:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,5,0,0.36,-15.51316,-47.9855,1.9
2019/01/24 04:30:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,5,0,0.36,-15.51374,-47.98152,1.3
2019/01/24 04:30:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,5,0,0.15,-15.52002,-47.98672,1.7
2019/01/24 17:06:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,6,0,1,-15.5842,-47.40105,3.7
2019/01/24 17:06:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,6,0,1,-15.58432,-47.40089,5.5
2019/01/24 17:06:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,6,0.17,1,-15.64497,-47.47233,13
2019/01/25 04:12:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,12,1.27,0.56,-15.95002,-47.77769,0.5
2019/01/25 16:48:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,7,0.73,1,-15.64075,-47.47347,8.8
2019/01/28 17:30:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0.03,0.47,-15.89818,-48.16027,1.6
2019/01/28 17:30:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0.03,0.47,-15.89647,-48.1621,4
2019/01/29 17:12:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,2,0,,-15.71247,-47.88273,7.3
2019/01/29 17:12:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,2,0,0.16,-15.76367,-47.90007,2
2019/01/30 04:18:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.1,-15.5702,-47.85518,1.1
2019/01/30 16:54:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.88,-15.65507,-48.11527,5.4
2019/01/30 16:54:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,3,0,0.42,-15.99763,-47.56195,5.3
2019/01/31 16:36:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,4,0,0.5,-15.64911,-47.84696,17.3
2019/01/31 17:16:42,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.96306,-48.10809,
2019/01/31 17:16:42,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.79459,-48.15479,
2019/01/31 17:16:42,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.64731,-47.8474,
2019/01/31 17:16:42,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.6483,-47.85156,
2019/01/31 17:16:42,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.64813,-47.85134,
2019/01/31 17:16:42,NOAA-20,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,0,0,0,-15.64752,-47.8476,
2019/01/31 17:30:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,4,0,,-15.651,-47.854,106.5
