Campo,Valor,Porcentagem do Total de Focos
ACRE,19,0.10%
ALAGOAS,835,4.38%
AMAPÁ,22,0.12%
AMAZONAS,217,1.14%
BAHIA,1753,9.20%
CEARÁ,111,0.58%
DISTRITO FEDERAL,7,0.04%
ESPÍRITO SANTO,258,1.35%
GOIÁS,346,1.82%
MARANHÃO,474,2.49%
MATO GROSSO,2053,10.77%
MATO GROSSO DO SUL,814,4.27%
MINAS GERAIS,782,4.10%
PARÁ,322,1.69%
PARAÍBA,142,0.75%
PARANÁ,1042,5.47%
PERNAMBUCO,580,3.04%
PIAUÍ,234,1.23%
RIO DE JANEIRO,373,1.96%
RIO GRANDE DO NORTE,81,0.43%
RIO GRANDE DO SUL,1142,5.99%
RONDÔNIA,134,0.70%
RORAIMA,5271,27.66%
SANTA CATARINA,299,1.57%
SÃO PAULO,1101,5.78%
SERGIPE,348,1.83%
TOCANTINS,297,1.56%
