Campo,Valor,Porcentagem do Total de Focos
ACRE,168,0.06%
ALAGOAS,1613,0.61%
AMAPÁ,3874,1.46%
AMAZONAS,3951,1.49%
BAHIA,15523,5.85%
CEARÁ,7088,2.67%
DISTRITO FEDERAL,6,0.00%
ESPÍRITO SANTO,1394,0.53%
GOIÁS,1842,0.69%
MARANHÃO,78632,29.63%
MATO GROSSO,14933,5.63%
MATO GROSSO DO SUL,4213,1.59%
MINAS GERAIS,3780,1.42%
PARÁ,104272,39.29%
PARAÍBA,1172,0.44%
PARANÁ,244,0.09%
PERNAMBUCO,1876,0.71%
PIAUÍ,7241,2.73%
RIO DE JANEIRO,130,0.05%
RIO GRANDE DO NORTE,824,0.31%
RIO GRANDE DO SUL,278,0.10%
RONDÔNIA,2077,0.78%
RORAIMA,4826,1.82%
SANTA CATARINA,94,0.04%
SÃO PAULO,418,0.16%
SERGIPE,712,0.27%
TOCANTINS,4183,1.58%
