Campo,Valor,Porcentagem do Total de Focos
ACRE,54,0.25%
ALAGOAS,858,3.94%
AMAPÁ,24,0.11%
AMAZONAS,501,2.30%
BAHIA,1696,7.79%
CEARÁ,512,2.35%
DISTRITO FEDERAL,14,0.06%
ESPÍRITO SANTO,748,3.44%
GOIÁS,396,1.82%
MARANHÃO,504,2.32%
MATO GROSSO,1636,7.52%
MATO GROSSO DO SUL,1002,4.60%
MINAS GERAIS,911,4.19%
PARÁ,792,3.64%
PARAÍBA,382,1.76%
PARANÁ,223,1.02%
PERNAMBUCO,896,4.12%
PIAUÍ,180,0.83%
RIO DE JANEIRO,538,2.47%
RIO GRANDE DO NORTE,254,1.17%
RIO GRANDE DO SUL,297,1.36%
RONDÔNIA,175,0.80%
RORAIMA,7618,35.00%
SANTA CATARINA,115,0.53%
SÃO PAULO,506,2.32%
SERGIPE,483,2.22%
TOCANTINS,451,2.07%
