datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/07 17:29:00,NPP-375,Brasil,ACRE,RIO BRANCO,Amazonia,,0,0.02,-9.99792,-67.69712,
2015/01/07 17:29:00,NPP-375,Brasil,ACRE,RIO BRANCO,Amazonia,,0,0.02,-10.0031,-67.69254,
2015/01/07 17:29:00,NPP-375,Brasil,ACRE,XAPURI,Amazonia,,0,0,-10.85798,-68.2802,
2015/01/07 17:29:00,NPP-375,Brasil,ACRE,XAPURI,Amazonia,,0,0,-10.85745,-68.27585,
2015/01/07 17:29:00,NPP-375,Brasil,ACRE,RIO BRANCO,Amazonia,,0,0.02,-10.00358,-67.69641,
2015/01/07 17:29:00,NPP-375,Brasil,ACRE,RIO BRANCO,Amazonia,,0,0.02,-9.99744,-67.69327,
2015/01/07 17:29:00,NPP-375,Brasil,ACRE,XAPURI,Amazonia,,0,0,-10.85495,-68.27713,
2015/01/07 18:06:00,AQUA_M-T,Brasil,ACRE,RIO BRANCO,Amazonia,,0,0.02,-10.002,-67.7,
2015/01/07 18:06:00,AQUA_M-T,Brasil,ACRE,RIO BRANCO,Amazonia,,0,0.02,-10.001,-67.69,
2015/01/07 18:06:00,AQUA_M-T,Brasil,ACRE,RIO BRANCO,Amazonia,,0,0.02,-10.011,-67.698,
2015/01/10 18:13:00,NPP-375,Brasil,ACRE,XAPURI,Amazonia,,0.2,0,-10.81572,-68.25254,
2015/01/10 18:13:00,NPP-375,Brasil,ACRE,SENADOR GUIOMARD,Amazonia,,0.3,1,-10.0514,-67.36207,
2015/01/10 18:13:00,NPP-375,Brasil,ACRE,SENADOR GUIOMARD,Amazonia,,0.3,1,-10.04801,-67.36259,
2015/01/11 06:30:00,GOES-13,Brasil,ACRE,MARECHAL THAUMATURGO,Amazonia,,0.9,0.07,-8.8,-72.9,
2015/01/11 06:30:00,GOES-13,Brasil,ACRE,MARECHAL THAUMATURGO,Amazonia,,0.9,0.06,-8.8,-72.93,
2015/01/12 11:00:00,GOES-13,Brasil,ACRE,TARAUACA,Amazonia,,3.8,0.01,-8.17,-71.11,
2015/01/14 18:39:00,NPP-375,Brasil,ACRE,MANCIO LIMA,Amazonia,,4.3,0.02,-7.62468,-73.11314,
2015/01/16 18:01:00,NPP-375,Brasil,ACRE,CRUZEIRO DO SUL,Amazonia,,1.3,0.01,-7.75797,-72.50993,
2015/01/16 18:01:00,NPP-375,Brasil,ACRE,CRUZEIRO DO SUL,Amazonia,,0.1,0.01,-7.76002,-72.49192,
2015/01/20 18:25:00,NPP-375,Brasil,ACRE,CAPIXABA,Amazonia,,2,0,-10.58415,-67.91955,
