datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 16:00:00,NPP-375,Brasil,ALAGOAS,JEQUIA DA PRAIA,Mata Atlantica,,1.1,1,-9.92715,-35.99892,
2015/01/01 16:00:00,NPP-375,Brasil,ALAGOAS,JEQUIA DA PRAIA,Mata Atlantica,,1.1,1,-9.93715,-35.99744,
2015/01/01 16:00:00,NPP-375,Brasil,ALAGOAS,JEQUIA DA PRAIA,Mata Atlantica,,0.8,0.77,-9.94645,-36.01405,
2015/01/01 16:00:00,NPP-375,Brasil,ALAGOAS,JEQUIA DA PRAIA,Mata Atlantica,,1.1,1,-9.93049,-35.99844,
2015/01/01 16:00:00,NPP-375,Brasil,ALAGOAS,JEQUIA DA PRAIA,Mata Atlantica,,0.8,1,-9.94101,-36.00045,
2015/01/01 16:00:00,NPP-375,Brasil,ALAGOAS,JEQUIA DA PRAIA,Mata Atlantica,,0.8,1,-9.95573,-36.09922,
2015/01/02 00:51:00,TERRA_M-M,Brasil,ALAGOAS,JEQUIA DA PRAIA,Mata Atlantica,,0,1,-10.001,-36.064,
2015/01/02 00:51:00,TERRA_M-M,Brasil,ALAGOAS,JEQUIA DA PRAIA,Mata Atlantica,,0,1,-9.992,-36.065,
2015/01/02 00:51:00,TERRA_M-M,Brasil,ALAGOAS,JEQUIA DA PRAIA,Mata Atlantica,,0,1,-9.993,-36.076,
2015/01/02 00:51:00,TERRA_M-M,Brasil,ALAGOAS,JEQUIA DA PRAIA,Mata Atlantica,,0,0.77,-10.003,-36.074,
2015/01/02 00:51:00,TERRA_M-M,Brasil,ALAGOAS,JEQUIA DA PRAIA,Mata Atlantica,,0,1,-9.952,-35.987,
2015/01/02 13:17:00,TERRA_M-T,Brasil,ALAGOAS,OLHO D'AGUA DO CASADO,Caatinga,,0,1,-9.338,-37.776,
2015/01/02 15:41:00,NPP-375,Brasil,ALAGOAS,UNIAO DOS PALMARES,Mata Atlantica,,0.1,1,-9.13616,-36.07925,
2015/01/02 15:41:00,NPP-375,Brasil,ALAGOAS,PIRANHAS,Caatinga,,0,1,-9.61962,-37.6537,
2015/01/02 15:41:00,NPP-375,Brasil,ALAGOAS,TEOTONIO VILELA,Mata Atlantica,,0,1,-9.93772,-36.34675,
2015/01/02 15:41:00,NPP-375,Brasil,ALAGOAS,MARECHAL DEODORO,Mata Atlantica,,0,0.94,-9.71793,-35.86656,
2015/01/02 15:41:00,NPP-375,Brasil,ALAGOAS,TEOTONIO VILELA,Mata Atlantica,,0,1,-9.94192,-36.3462,
2015/01/02 15:41:00,NPP-375,Brasil,ALAGOAS,TEOTONIO VILELA,Mata Atlantica,,0,1,-9.93828,-36.34676,
2015/01/02 15:41:00,NPP-375,Brasil,ALAGOAS,PALMEIRA DOS INDIOS,Caatinga,,0.1,1,-9.43169,-36.68913,
2015/01/02 15:41:00,NPP-375,Brasil,ALAGOAS,TEOTONIO VILELA,Mata Atlantica,,0,1,-9.94248,-36.3462,
2015/01/02 16:09:00,AQUA_M-T,Brasil,ALAGOAS,TEOTONIO VILELA,Mata Atlantica,,0,1,-9.945,-36.346,
2015/01/02 16:09:00,AQUA_M-T,Brasil,ALAGOAS,PILAR,Mata Atlantica,,0,1,-9.562,-35.929,
2015/01/02 16:09:00,AQUA_M-T,Brasil,ALAGOAS,PALMEIRA DOS INDIOS,Caatinga,,0.1,1,-9.433,-36.69,
2015/01/02 16:09:00,AQUA_M-T,Brasil,ALAGOAS,RIO LARGO,Mata Atlantica,,0,1,-9.561,-35.919,
2015/01/02 16:09:00,AQUA_M-T,Brasil,ALAGOAS,TEOTONIO VILELA,Mata Atlantica,,0,1,-9.946,-36.355,
2015/01/02 16:09:00,AQUA_M-T,Brasil,ALAGOAS,TEOTONIO VILELA,Mata Atlantica,,0,1,-9.944,-36.337,
2015/01/02 22:30:00,MSG-03,Brasil,ALAGOAS,SAO MIGUEL DOS CAMPOS,Mata Atlantica,,0,1,-9.82,-36.13,
2015/01/02 22:30:00,MSG-03,Brasil,ALAGOAS,SAO MIGUEL DOS CAMPOS,Mata Atlantica,,0,1,-9.82,-36.17,
2015/01/03 04:15:00,MSG-03,Brasil,ALAGOAS,CORURIPE,Mata Atlantica,,0,1,-10.2,-36.31,
2015/01/03 04:27:00,NPP-375,Brasil,ALAGOAS,SAO LUIS DO QUITUNDE,Mata Atlantica,,0,1,-9.36632,-35.66213,
2015/01/03 04:27:00,NPP-375,Brasil,ALAGOAS,CORURIPE,Mata Atlantica,,0,1,-10.22381,-36.26434,
2015/01/03 04:27:00,NPP-375,Brasil,ALAGOAS,CORURIPE,Mata Atlantica,,0,1,-10.22425,-36.26087,
2015/01/03 15:22:00,NPP-375,Brasil,ALAGOAS,BELO MONTE,Caatinga,,0,1,-9.81965,-37.1591,
2015/01/03 15:22:00,NPP-375,Brasil,ALAGOAS,MURICI,Mata Atlantica,,0,1,-9.32551,-35.97744,
2015/01/03 15:22:00,NPP-375,Brasil,ALAGOAS,MURICI,Mata Atlantica,,0,1,-9.33066,-35.97303,
2015/01/03 15:22:00,NPP-375,Brasil,ALAGOAS,SAO LUIS DO QUITUNDE,Mata Atlantica,,0,1,-9.13475,-35.70032,
