datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 05:03:00,NPP-375,Brasil,AMAPA,LARANJAL DO JARI,Amazonia,,3.2,0.47,-0.70788,-52.392,
2015/01/01 05:03:00,NPP-375,Brasil,AMAPA,LARANJAL DO JARI,Amazonia,,2.3,0.51,-0.76979,-52.49424,
2015/01/02 04:44:00,NPP-375,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.27,1.20106,-50.53407,
2015/01/02 04:44:00,NPP-375,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0.1,0.26,1.19689,-50.53063,
2015/01/02 04:44:00,NPP-375,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0.1,0.26,1.19751,-50.53462,
2015/01/02 04:44:00,NPP-375,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.27,1.20044,-50.53008,
2015/01/02 12:30:00,GOES-13,Brasil,AMAPA,CUTIAS,Amazonia,,0.2,0.23,1.06,-50.43,
2015/01/02 17:25:00,NPP-375,Brasil,AMAPA,MAZAGAO,Amazonia,,0,0.59,-0.33172,-51.5668,
2015/01/02 17:25:00,NPP-375,Brasil,AMAPA,VITORIA DO JARI,Amazonia,,0,0.74,-0.87751,-52.16931,
2015/01/02 17:25:00,NPP-375,Brasil,AMAPA,MAZAGAO,Amazonia,,0.3,0.66,-0.45442,-51.60623,
2015/01/02 17:25:00,NPP-375,Brasil,AMAPA,MAZAGAO,Amazonia,,0.3,0.66,-0.45965,-51.61011,
2015/01/02 17:25:00,NPP-375,Brasil,AMAPA,MAZAGAO,Amazonia,,0.3,0.66,-0.45895,-51.60559,
2015/01/02 20:02:41,NOAA-18,Brasil,AMAPA,MAZAGAO,Amazonia,,0,0.61,-0.295,-51.464,
2015/01/02 20:02:41,NOAA-18,Brasil,AMAPA,MAZAGAO,Amazonia,,0,0.61,-0.294,-51.457,
2015/01/03 04:25:00,NPP-375,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.41,1.19902,-50.52711,
2015/01/03 04:25:00,NPP-375,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.41,1.1988,-50.52951,
2015/01/03 04:33:00,AQUA_M-M,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.41,1.194,-50.539,
2015/01/03 05:24:52,NOAA-19D,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.41,1.198,-50.523,
2015/01/03 05:24:53,NOAA-19D,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.41,1.181,-50.542,
2015/01/03 05:24:53,NOAA-19D,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.41,1.187,-50.518,
2015/01/03 05:24:53,NOAA-19D,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.41,1.179,-50.535,
2015/01/03 05:24:53,NOAA-19D,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.41,1.188,-50.525,
2015/01/03 05:24:53,NOAA-19D,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.41,1.189,-50.532,
2015/01/03 13:58:00,TERRA_M-T,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.41,1.194,-50.529,
2015/01/03 13:58:00,TERRA_M-T,Brasil,AMAPA,TARTARUGALZINHO,Amazonia,,0,0.41,1.203,-50.528,
2015/01/03 13:59:00,TERRA_M-T,Brasil,AMAPA,MAZAGAO,Amazonia,,0,0.8,-0.814,-51.776,
2015/01/03 16:55:00,AQUA_M-T,Brasil,AMAPA,PRACUUBA,Amazonia,,0,0.44,1.715,-51.089,
