datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 05:00:00,GOES-13,Brasil,AMAZONAS,SANTA ISABEL DO RIO NEGRO,Amazonia,,0,0.08,-1.38,-67.28,
2015/01/01 13:00:00,GOES-13,Brasil,AMAZONAS,BARCELOS,Amazonia,,0,0.44,1.82,-62.78,
2015/01/01 17:44:00,NPP-375,Brasil,AMAZONAS,PRESIDENTE FIGUEIREDO,Amazonia,,0,0.1,-1.79844,-60.04917,
2015/01/01 17:44:00,NPP-375,Brasil,AMAZONAS,PRESIDENTE FIGUEIREDO,Amazonia,,0,0.1,-1.7949,-60.04972,
2015/01/02 17:24:00,NPP-375,Brasil,AMAZONAS,PARINTINS,Amazonia,,2.3,0.32,-2.66039,-56.53056,
2015/01/02 17:25:00,NPP-375,Brasil,AMAZONAS,ALVARAES,Amazonia,,3.3,0,-3.64094,-65.04498,
2015/01/02 17:25:00,NPP-375,Brasil,AMAZONAS,RIO PRETO DA EVA,Amazonia,,2.8,0.01,-2.51988,-59.71667,
2015/01/02 17:25:00,NPP-375,Brasil,AMAZONAS,ALVARAES,Amazonia,,2.6,0,-3.40268,-64.912,
2015/01/02 17:25:00,NPP-375,Brasil,AMAZONAS,URUCARA,Amazonia,,0,0.4,-2.35587,-57.49191,
2015/01/02 17:25:00,NPP-375,Brasil,AMAZONAS,PARINTINS,Amazonia,,0,0.52,-2.46152,-57.23336,
2015/01/02 17:25:00,NPP-375,Brasil,AMAZONAS,PARINTINS,Amazonia,,0,0.52,-2.46205,-57.23683,
2015/01/02 17:26:00,NPP-375,Brasil,AMAZONAS,SAO GABRIEL DA CACHOEIRA,Amazonia,,0,0.18,0.61936,-66.1461,
2015/01/02 17:26:00,NPP-375,Brasil,AMAZONAS,SAO GABRIEL DA CACHOEIRA,Amazonia,,0,0.18,0.62251,-66.14405,
2015/01/03 05:00:00,GOES-13,Brasil,AMAZONAS,LABREA,Amazonia,,50.9,0,-9.29,-66.31,
2015/01/03 05:27:37,NOAA-19D,Brasil,AMAZONAS,APUI,Amazonia,,0,0.02,-7.225,-59.856,
2015/01/03 06:08:00,NPP-375,Brasil,AMAZONAS,APUI,Amazonia,,0,0.01,-7.17585,-59.84968,
2015/01/03 06:08:00,NPP-375,Brasil,AMAZONAS,APUI,Amazonia,,0,0.01,-7.17532,-59.85373,
2015/01/03 06:08:00,NPP-375,Brasil,AMAZONAS,APUI,Amazonia,,0,0.01,-7.17548,-59.85582,
2015/01/03 06:08:00,NPP-375,Brasil,AMAZONAS,APUI,Amazonia,,0,0.01,-7.17602,-59.85185,
2015/01/03 08:49:40,NOAA-18D,Brasil,AMAZONAS,APUI,Amazonia,,0,0.02,-7.182,-59.82,
2015/01/03 08:49:40,NOAA-18D,Brasil,AMAZONAS,APUI,Amazonia,,0,0.01,-7.18,-59.83,
2015/01/03 16:54:00,AQUA_M-T,Brasil,AMAZONAS,SILVES,Amazonia,,0,0.02,-2.973,-58.332,
2015/01/03 16:55:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazonia,,0.3,0.51,-2.461,-57.052,
2015/01/03 16:55:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazonia,,0.3,0.49,-2.464,-57.045,
2015/01/03 16:55:00,AQUA_M-T,Brasil,AMAZONAS,PARINTINS,Amazonia,,0.3,0.52,-2.467,-57.07,
2015/01/03 16:55:00,AQUA_M-T,Brasil,AMAZONAS,SILVES,Amazonia,,0,0.02,-2.98,-58.339,
2015/01/03 17:04:00,NPP-375,Brasil,AMAZONAS,APUI,Amazonia,,0,0.01,-7.17484,-59.85572,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,PARINTINS,Amazonia,,0,,-2.40774,-56.53555,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,PARINTINS,Amazonia,,0.7,,-2.50903,-57.05986,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,PARINTINS,Amazonia,,0,,-2.41143,-56.53501,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,PARINTINS,Amazonia,,0,,-2.41208,-56.53934,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,PARINTINS,Amazonia,,0,,-2.40839,-56.53988,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,PARINTINS,Amazonia,,0,,-2.4071,-56.53122,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,SILVES,Amazonia,,0,0.02,-2.97296,-58.31572,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,RIO PRETO DA EVA,Amazonia,,0.1,0.02,-2.70941,-59.42596,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,PARINTINS,Amazonia,,0.3,0.51,-2.45614,-57.04387,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,SILVES,Amazonia,,0,0.02,-2.91932,-58.53658,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,PARINTINS,Amazonia,,0,0.45,-2.48878,-56.43266,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,SAO SEBASTIAO DO UATUMA,Amazonia,,0,0.03,-2.55483,-58.08669,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,NHAMUNDA,Amazonia,,0.3,0.68,-2.07051,-56.77798,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,PRESIDENTE FIGUEIREDO,Amazonia,,0.8,0.16,-1.67122,-60.10573,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,NHAMUNDA,Amazonia,,0.3,0.7,-2.06983,-56.78086,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,SILVES,Amazonia,,0,0.02,-2.9735,-58.31945,
2015/01/03 17:06:00,NPP-375,Brasil,AMAZONAS,PRESIDENTE FIGUEIREDO,Amazonia,,0.8,0.16,-1.66662,-60.10644,
2015/01/03 18:48:00,NPP-375,Brasil,AMAZONAS,SAO GABRIEL DA CACHOEIRA,Amazonia,,0,0.05,1.69957,-69.42905,
