datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 03:23:00,NPP-375,Brasil,CEARA,RUSSAS,Caatinga,,0,,-5.01168,-38.06242,
2015/01/01 03:23:00,NPP-375,Brasil,CEARA,RUSSAS,Caatinga,,0,,-5.01108,-38.06591,
2015/01/01 16:00:00,GOES-13,Brasil,CEARA,JAGUARIBARA,Caatinga,,0,,-5.49,-38.47,
2015/01/01 16:01:00,NPP-375,Brasil,CEARA,QUIXERAMOBIM,Caatinga,,0,,-5.12918,-39.3741,
2015/01/01 16:01:00,NPP-375,Brasil,CEARA,JAGUARETAMA,Caatinga,,0,,-5.46202,-38.71976,
2015/01/01 16:01:00,NPP-375,Brasil,CEARA,IGUATU,Caatinga,,0.6,0.46,-6.39261,-39.40209,
2015/01/01 16:01:00,NPP-375,Brasil,CEARA,IGUATU,Caatinga,,0,0.32,-6.33141,-39.18452,
2015/01/01 16:01:00,NPP-375,Brasil,CEARA,IGUATU,Caatinga,,0.6,0.43,-6.389,-39.4026,
2015/01/01 16:01:00,NPP-375,Brasil,CEARA,CRATO,Caatinga,,0,0.69,-7.13061,-39.36117,
2015/01/01 16:01:00,NPP-375,Brasil,CEARA,MAURITI,Caatinga,,0,1,-7.30172,-38.78994,
2015/01/01 16:02:00,NPP-375,Brasil,CEARA,URUOCA,Caatinga,,0,,-3.35602,-40.61982,
2015/01/01 16:02:00,NPP-375,Brasil,CEARA,BEBERIBE,Caatinga,,0,,-4.22127,-38.12405,
2015/01/01 16:02:00,NPP-375,Brasil,CEARA,TIANGUA,Caatinga,,0,,-3.70142,-41.07371,
2015/01/01 16:02:00,NPP-375,Brasil,CEARA,IPUEIRAS,Caatinga,,0,,-4.50356,-40.74608,
2015/01/01 16:02:00,NPP-375,Brasil,CEARA,CAUCAIA,Caatinga,,0.2,,-3.69371,-38.88694,
2015/01/01 16:02:00,NPP-375,Brasil,CEARA,BARROQUINHA,Caatinga,,0,,-2.93171,-41.10487,
2015/01/01 16:02:00,NPP-375,Brasil,CEARA,BARROQUINHA,Caatinga,,0,,-2.92791,-41.10542,
2015/01/01 16:02:00,NPP-375,Brasil,CEARA,VICOSA DO CEARA,Caatinga,,0,,-3.57307,-41.17682,
2015/01/01 16:02:00,NPP-375,Brasil,CEARA,VICOSA DO CEARA,Caatinga,,0,,-3.57238,-41.17202,
2015/01/01 16:02:00,NPP-375,Brasil,CEARA,URUOCA,Caatinga,,0,,-3.35169,-40.61623,
2015/01/01 16:02:00,NPP-375,Brasil,CEARA,APUIARES,Caatinga,,0,,-3.91069,-39.44967,
2015/01/01 16:30:00,GOES-13,Brasil,CEARA,MAURITI,Caatinga,,0,1,-7.42,-38.76,
2015/01/01 17:00:00,GOES-13,Brasil,CEARA,IGUATU,Caatinga,,0.1,0.77,-6.43,-39.36,
2015/01/01 17:15:00,MSG-03,Brasil,CEARA,UMIRIM,Caatinga,,0,,-3.72,-39.41,
