datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/02 04:48:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,0.9,,-15.58712,-47.87527,
2015/01/02 04:48:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,0.9,0.54,-15.56902,-47.85662,
2015/01/02 04:48:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,0.9,0.22,-15.57103,-47.85445,
2015/01/03 04:29:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,4.7,,-15.58459,-47.87484,
2015/01/03 04:29:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,4.7,0.22,-15.56688,-47.85675,
2015/01/03 04:29:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,4.7,0.08,-15.57023,-47.85729,
2015/01/03 17:02:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,1.3,0.21,-15.94613,-47.96293,
2015/01/07 04:54:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,0,,-15.58666,-47.87374,
2015/01/07 04:54:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,0,0.77,-15.56817,-47.85616,
2015/01/08 04:36:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,0,,-15.5845,-47.87417,
2015/01/08 04:36:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,0,0.86,-15.56848,-47.85305,
2015/01/09 04:17:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,0,,-15.5868,-47.87611,
2015/01/09 04:17:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,0,0.59,-15.62137,-48.11544,
2015/01/09 04:17:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,0,0.59,-15.62522,-48.1162,
2015/01/09 16:49:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,0,0.58,-15.61937,-48.11561,
2015/01/10 03:58:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASILIA,Cerrado,,0,,-15.58423,-47.87279,
