datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 13:00:00,GOES-13,Brasil,GOIAS,NIQUELANDIA,Cerrado,,0.4,0.04,-14.21,-48.86,
2015/01/01 13:30:00,GOES-13,Brasil,GOIAS,CAMPINACU,Cerrado,,1.7,0.79,-13.99,-48.39,
2015/01/01 13:30:00,GOES-13,Brasil,GOIAS,NIQUELANDIA,Cerrado,,2.3,1,-14.07,-48.3,
2015/01/01 14:15:00,TERRA_M-T,Brasil,GOIAS,MONTES CLAROS DE GOIAS,Cerrado,,0.1,0.07,-15.829,-51.719,
2015/01/01 15:59:00,NPP-375,Brasil,GOIAS,MIMOSO DE GOIAS,Cerrado,,0,0.3,-15.00207,-48.285,
2015/01/01 15:59:00,NPP-375,Brasil,GOIAS,IACIARA,Cerrado,,0.1,0.17,-14.1614,-46.71469,
2015/01/01 17:03:00,AQUA_M-T,Brasil,GOIAS,ARUANA,Cerrado,,0.2,0.04,-14.377,-50.924,
2015/01/01 17:03:00,AQUA_M-T,Brasil,GOIAS,ACREUNA,Cerrado,,0,0.08,-17.585,-50.408,
2015/01/01 17:03:00,AQUA_M-T,Brasil,GOIAS,SANTA FE DE GOIAS,Cerrado,,0,1,-15.457,-51.172,
2015/01/01 17:03:00,AQUA_M-T,Brasil,GOIAS,PARAUNA,Cerrado,,0.1,1,-17.269,-50.51,
2015/01/01 17:03:00,AQUA_M-T,Brasil,GOIAS,PEROLANDIA,Cerrado,,0,0.53,-17.537,-52.185,
2015/01/01 17:03:00,AQUA_M-T,Brasil,GOIAS,JUSSARA,Cerrado,,0,0.19,-15.302,-51.558,
2015/01/01 17:03:00,AQUA_M-T,Brasil,GOIAS,NOVA CRIXAS,Cerrado,,0.4,0.04,-14.538,-50.762,
2015/01/01 17:04:00,AQUA_M-T,Brasil,GOIAS,BONOPOLIS,Cerrado,,0.1,0.04,-13.684,-49.863,
2015/01/01 17:04:00,AQUA_M-T,Brasil,GOIAS,BONOPOLIS,Cerrado,,0.4,0.04,-13.613,-49.752,
2015/01/01 17:04:00,AQUA_M-T,Brasil,GOIAS,BONOPOLIS,Cerrado,,0.1,0.04,-13.685,-49.872,
2015/01/01 17:39:00,NPP-375,Brasil,GOIAS,JATAI,Cerrado,,0.8,0.15,-18.0493,-51.51549,
2015/01/01 17:39:00,NPP-375,Brasil,GOIAS,PIRENOPOLIS,Cerrado,,0.5,0.54,-15.90028,-48.97614,
2015/01/01 17:39:00,NPP-375,Brasil,GOIAS,IPAMERI,Cerrado,,0,1,-17.70095,-48.39965,
2015/01/01 17:39:00,NPP-375,Brasil,GOIAS,JATAI,Cerrado,,0.8,0.15,-18.05104,-51.51262,
2015/01/01 17:39:00,NPP-375,Brasil,GOIAS,GOIATUBA,Cerrado,,0,0.59,-17.99842,-49.36026,
2015/01/01 17:39:00,NPP-375,Brasil,GOIAS,PIRENOPOLIS,Cerrado,,0.8,0.58,-15.89946,-48.97212,
2015/01/01 17:39:00,NPP-375,Brasil,GOIAS,JARAGUA,Cerrado,,0,0.13,-15.53533,-49.53268,
2015/01/01 17:39:00,NPP-375,Brasil,GOIAS,GOIATUBA,Cerrado,,0,0.12,-18.0037,-49.3589,
2015/01/01 17:40:00,NPP-375,Brasil,GOIAS,NIQUELANDIA,Cerrado,,0.2,0.41,-14.53423,-48.27227,
2015/01/01 17:40:00,NPP-375,Brasil,GOIAS,BONOPOLIS,Cerrado,,0.1,0.04,-13.67778,-49.86867,
2015/01/01 17:40:00,NPP-375,Brasil,GOIAS,SAO MIGUEL DO ARAGUAIA,Cerrado,,0.1,0.04,-13.11769,-50.13189,
2015/01/01 17:40:00,NPP-375,Brasil,GOIAS,URUACU,Cerrado,,0.1,0.04,-14.24922,-49.04659,
2015/01/01 17:40:00,NPP-375,Brasil,GOIAS,SAO MIGUEL DO ARAGUAIA,Cerrado,,0.1,0.04,-13.10446,-50.12307,
2015/01/01 17:40:00,NPP-375,Brasil,GOIAS,SANTA FE DE GOIAS,Cerrado,,0,0.72,-15.58162,-51.18654,
2015/01/01 17:40:00,NPP-375,Brasil,GOIAS,BONOPOLIS,Cerrado,,0.1,0.04,-13.67703,-49.86485,
2015/01/02 04:49:00,NPP-375,Brasil,GOIAS,PEROLANDIA,Cerrado,,0.1,0.8,-17.53181,-52.19381,
2015/01/02 04:49:00,NPP-375,Brasil,GOIAS,PEROLANDIA,Cerrado,,0.1,0.8,-17.53512,-52.19437,
2015/01/02 13:20:00,TERRA_M-T,Brasil,GOIAS,CRISTALINA,Cerrado,,0,0.36,-17.014,-47.294,
2015/01/02 13:21:00,TERRA_M-T,Brasil,GOIAS,ITARUMA,Cerrado,,0,0.61,-18.781,-51.284,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,CRISTALINA,Cerrado,,0,0.28,-17.08631,-47.34863,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,CABECEIRAS,Cerrado,,0.2,0.07,-15.68034,-47.02114,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,IPAMERI,Cerrado,,0.2,0.47,-17.69658,-48.00435,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,CRISTALINA,Cerrado,,0,0.52,-17.09173,-47.35241,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,CRISTALINA,Cerrado,,0,0.22,-17.0244,-47.29659,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,CABECEIRAS,Cerrado,,0.2,0.03,-15.6844,-47.01725,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,CRISTALINA,Cerrado,,0,0.36,-17.01982,-47.29742,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,IPAMERI,Cerrado,,0.2,0.47,-17.69768,-48.00417,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,CAIAPONIA,Cerrado,,0,1,-16.99857,-51.93685,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,PARAUNA,Cerrado,,0,0.93,-17.36429,-50.56407,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,DOVERLANDIA,Cerrado,,0,0.89,-16.92264,-52.36322,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,CRISTALINA,Cerrado,,2,0.09,-16.53107,-47.52568,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,CABECEIRAS,Cerrado,,0.2,0.07,-15.68514,-47.02038,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,RIO VERDE,Cerrado,,0,0.13,-18.24731,-50.87999,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,CRISTALINA,Cerrado,,0,0.13,-17.02518,-47.30001,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,ITAJA,Cerrado,,0,0.99,-19.27686,-51.02557,
2015/01/02 17:20:00,NPP-375,Brasil,GOIAS,LUZIANIA,Cerrado,,2.3,0.44,-16.40018,-47.82877,
