datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 01:47:00,TERRA_M-M,Brasil,MARANHAO,PORTO FRANCO,Cerrado,,0,0.76,-6.355,-47.18,
2015/01/01 01:47:00,TERRA_M-M,Brasil,MARANHAO,PORTO FRANCO,Cerrado,,0,0.78,-6.365,-47.188,
2015/01/01 01:47:00,TERRA_M-M,Brasil,MARANHAO,PORTO FRANCO,Cerrado,,0,0.79,-6.364,-47.178,
2015/01/01 01:47:00,TERRA_M-M,Brasil,MARANHAO,PORTO FRANCO,Cerrado,,0,0.06,-6.356,-47.189,
2015/01/01 04:46:00,AQUA_M-M,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,0.9,-2.97,-45.448,
2015/01/01 04:47:00,AQUA_M-M,Brasil,MARANHAO,PORTO FRANCO,Cerrado,,0,0.06,-6.359,-47.184,
2015/01/01 05:04:00,NPP-375,Brasil,MARANHAO,PENALVA,Amazonia,,0,,-3.21908,-45.36725,
2015/01/01 05:04:00,NPP-375,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,0.9,-2.97292,-45.44913,
2015/01/01 05:05:00,NPP-375,Brasil,MARANHAO,PORTO FRANCO,Cerrado,,0,0.78,-6.36099,-47.18079,
2015/01/01 05:05:00,NPP-375,Brasil,MARANHAO,PORTO FRANCO,Cerrado,,0,0.78,-6.3603,-47.18556,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,BACURITUBA,Amazonia,,0,,-2.67115,-44.72559,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,BACURITUBA,Amazonia,,0,,-2.66983,-44.72304,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,ARAIOSES,Caatinga,,0,,-2.89885,-41.983,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,ARAIOSES,Caatinga,,0,,-2.90123,-41.8903,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PALMEIRANDIA,Amazonia,,0,1,-2.83234,-45.14937,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,BACURITUBA,Amazonia,,0,1,-2.71613,-44.77019,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,CENTRO DO GUILHERME,Amazonia,,0.5,1,-2.44229,-46.04839,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,ARAGUANA,Amazonia,,0,0.71,-2.97024,-45.67725,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,ARAIOSES,Caatinga,,0,,-3.02605,-41.91445,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,0.9,-2.99157,-45.44468,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,BACURITUBA,Amazonia,,0,1,-2.66425,-44.71848,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,1,-3.1208,-45.38529,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,BACURITUBA,Amazonia,,0,,-2.66553,-44.72103,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,BACURITUBA,Amazonia,,0,1,-2.74506,-44.79857,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PACO DO LUMIAR,Amazonia,,0,0.96,-2.47307,-44.1328,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,1,-3.12123,-45.38826,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PACO DO LUMIAR,Amazonia,,0,0.96,-2.46969,-44.13171,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,ARAIOSES,Cerrado,,0,,-2.89865,-41.88818,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,BACURITUBA,Amazonia,,0,1,-2.66474,-44.7158,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,0.88,-2.96899,-45.45443,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PALMEIRANDIA,Amazonia,,0,1,-2.8326,-45.15267,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,1,-2.90137,-45.34664,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,ARAIOSES,Cerrado,,0,,-2.89646,-41.88574,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,ARAIOSES,Caatinga,,0,,-3.02203,-41.91497,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,MARANHAOZINHO,Amazonia,,0.3,0.61,-2.57815,-45.95532,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PALMEIRANDIA,Amazonia,,0,1,-2.8318,-45.14703,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,GRAJAU,Amazonia,,0,0.06,-5.3632,-46.08839,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,0.88,-2.96855,-45.45146,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,0.9,-2.99404,-45.44775,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,BACURITUBA,Amazonia,,0,1,-2.71536,-44.7649,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,0.9,-2.96811,-45.4485,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PALMEIRANDIA,Amazonia,,0,1,-2.82736,-45.15009,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,SAO RAIMUNDO DO DOCA BEZERRA,Cerrado,,0,1,-5.0691,-45.23556,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,ARAIOSES,Cerrado,,0,,-2.90046,-41.88517,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,0.9,-2.99199,-45.44767,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,0.9,-2.99709,-45.44693,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,,0,0.9,-2.99359,-45.44477,
2015/01/01 16:02:00,NPP-375,Brasil,MARANHAO,ARAIOSES,Cerrado,,0,,-2.89724,-41.89088,
2015/01/01 16:03:00,NPP-375,Brasil,MARANHAO,SERRANO DO MARANHAO,Amazonia,,0,1,-1.73485,-44.97757,
2015/01/01 16:03:00,NPP-375,Brasil,MARANHAO,CENTRO DO GUILHERME,Amazonia,,0.5,0.16,-2.41523,-46.04375,
2015/01/01 16:03:00,NPP-375,Brasil,MARANHAO,CENTRO NOVO DO MARANHAO,Amazonia,,0.7,0.17,-2.3812,-46.3298,
2015/01/01 16:03:00,NPP-375,Brasil,MARANHAO,SANTA HELENA,Amazonia,,0,1,-2.16521,-45.00752,
2015/01/01 16:03:00,NPP-375,Brasil,MARANHAO,TURIACU,Amazonia,,0,0.97,-1.97883,-45.4081,
2015/01/01 16:03:00,NPP-375,Brasil,MARANHAO,CENTRO NOVO DO MARANHAO,Amazonia,,0.7,0.17,-2.38072,-46.3264,
2015/01/01 16:03:00,NPP-375,Brasil,MARANHAO,BOA VISTA DO GURUPI,Amazonia,,0,0.43,-1.77386,-46.29498,
2015/01/01 16:03:00,NPP-375,Brasil,MARANHAO,CENTRO DO GUILHERME,Amazonia,,0.5,1,-2.44302,-46.04963,
2015/01/01 16:03:00,NPP-375,Brasil,MARANHAO,SANTA HELENA,Amazonia,,0,1,-2.16368,-45.01028,
2015/01/01 16:03:00,NPP-375,Brasil,MARANHAO,SERRANO DO MARANHAO,Amazonia,,0,1,-1.73811,-44.97977,
2015/01/01 16:03:00,NPP-375,Brasil,MARANHAO,GODOFREDO VIANA,Amazonia,,0,0.71,-1.57435,-45.91733,
