datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 05:08:00,NPP-375,Brasil,MATO GROSSO DO SUL,RIO VERDE DE MATO GROSSO,Cerrado,,0,0.16,-18.9515,-54.72663,
2015/01/01 05:09:00,NPP-375,Brasil,MATO GROSSO DO SUL,CAMPO GRANDE,Cerrado,,0,0.01,-20.54666,-54.75157,
2015/01/01 14:15:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,SONORA,Cerrado,,0,0.28,-17.706,-54.255,
2015/01/01 14:16:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,RIBAS DO RIO PARDO,Cerrado,,0,0.73,-20.35,-53.401,
2015/01/01 14:16:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,JARAGUARI,Cerrado,,0,0.29,-20.237,-54.159,
2015/01/01 14:16:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,0.4,0.17,-18.283,-55.504,
2015/01/01 17:38:00,NPP-375,Brasil,MATO GROSSO DO SUL,DOURADOS,Mata Atlantica,,0,0.08,-22.21958,-54.73436,
2015/01/01 17:38:00,NPP-375,Brasil,MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal,,0,0.9,-21.7189,-57.9094,
2015/01/01 17:39:00,NPP-375,Brasil,MATO GROSSO DO SUL,FIGUEIRAO,Cerrado,,0,0.94,-18.52267,-54.02105,
2015/01/01 17:39:00,NPP-375,Brasil,MATO GROSSO DO SUL,FIGUEIRAO,Cerrado,,0,0.94,-18.52363,-54.02637,
2015/01/01 17:39:00,NPP-375,Brasil,MATO GROSSO DO SUL,FIGUEIRAO,Cerrado,,0,0.94,-18.5245,-54.023,
2015/01/01 17:39:00,NPP-375,Brasil,MATO GROSSO DO SUL,RIO VERDE DE MATO GROSSO,Cerrado,,0,0.02,-18.85513,-54.94952,
2015/01/01 17:39:00,NPP-375,Brasil,MATO GROSSO DO SUL,FIGUEIRAO,Cerrado,,0,0.94,-18.52056,-54.02373,
2015/01/01 17:39:00,NPP-375,Brasil,MATO GROSSO DO SUL,RIO VERDE DE MATO GROSSO,Cerrado,,0,0.08,-18.85141,-54.95016,
2015/01/01 17:39:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,0,0.02,-18.47017,-56.87291,
2015/01/01 17:39:00,NPP-375,Brasil,MATO GROSSO DO SUL,COXIM,Cerrado,,0,1,-18.05572,-54.94033,
2015/01/02 04:49:00,NPP-375,Brasil,MATO GROSSO DO SUL,FIGUEIRAO,Cerrado,,0,1,-18.50562,-53.56798,
2015/01/02 04:49:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,0,0.06,-18.26685,-55.34953,
2015/01/02 04:50:00,NPP-375,Brasil,MATO GROSSO DO SUL,RIBAS DO RIO PARDO,Cerrado,,0,0.1,-20.64007,-54.10823,
2015/01/02 04:50:00,NPP-375,Brasil,MATO GROSSO DO SUL,CAMPO GRANDE,Cerrado,,0,0.01,-20.44019,-54.5999,
2015/01/02 07:00:00,GOES-13,Brasil,MATO GROSSO DO SUL,IVINHEMA,Mata Atlantica,,9.4,1,-22.35,-53.92,
2015/01/02 13:21:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,APARECIDA DO TABOADO,Cerrado,,0,0.32,-20.123,-51.521,
2015/01/02 13:21:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,APARECIDA DO TABOADO,Cerrado,,0,0.32,-20.111,-51.518,
2015/01/03 04:31:00,NPP-375,Brasil,MATO GROSSO DO SUL,ROCHEDO,Cerrado,,0,0.14,-20.00248,-54.52358,
2015/01/03 04:31:00,NPP-375,Brasil,MATO GROSSO DO SUL,ROCHEDO,Cerrado,,0,0.31,-19.99813,-54.52259,
2015/01/03 14:03:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,SONORA,Cerrado,,3,0.56,-17.755,-54.964,
2015/01/03 14:03:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,COSTA RICA,Cerrado,,1.3,0.71,-18.356,-53.176,
2015/01/03 14:03:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,PEDRO GOMES,Cerrado,,2.7,0.98,-17.848,-54.64,
2015/01/03 14:03:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,0.4,0.04,-18.066,-56.916,
