datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 01:45:00,TERRA_M-M,Brasil,MATO GROSSO,COCALINHO,Cerrado,,0.3,0.04,-14.23,-51.674,
2015/01/01 01:45:00,TERRA_M-M,Brasil,MATO GROSSO,COCALINHO,Cerrado,,0.3,0.04,-14.232,-51.689,
2015/01/01 01:45:00,TERRA_M-M,Brasil,MATO GROSSO,COCALINHO,Cerrado,,0.3,0.04,-14.221,-51.681,
2015/01/01 04:50:00,AQUA_M-M,Brasil,MATO GROSSO,COCALINHO,Cerrado,,0.3,0.04,-14.221,-51.681,
2015/01/01 04:50:00,AQUA_M-M,Brasil,MATO GROSSO,COCALINHO,Cerrado,,0.3,0.04,-14.235,-51.654,
2015/01/01 05:06:00,NPP-375,Brasil,MATO GROSSO,PORTO ALEGRE DO NORTE,Amazonia,,0.4,0.86,-10.71703,-52.15115,
2015/01/01 05:06:00,NPP-375,Brasil,MATO GROSSO,PORTO DOS GAUCHOS,Amazonia,,1,0.02,-11.60719,-57.08866,
2015/01/01 05:06:00,NPP-375,Brasil,MATO GROSSO,ARIPUANA,Amazonia,,0,0,-9.9313,-59.93132,
2015/01/01 05:06:00,NPP-375,Brasil,MATO GROSSO,SANTA CARMEM,Amazonia,,0,0.01,-11.93797,-54.45871,
2015/01/01 05:06:00,NPP-375,Brasil,MATO GROSSO,TABAPORA,Amazonia,,0.5,0.08,-11.31431,-56.82866,
2015/01/01 05:06:00,NPP-375,Brasil,MATO GROSSO,COLNIZA,Amazonia,,7.8,0.24,-9.1212,-61.49708,
2015/01/01 05:06:00,NPP-375,Brasil,MATO GROSSO,TABAPORA,Amazonia,,0.5,0.07,-11.30617,-56.83146,
2015/01/01 05:06:00,NPP-375,Brasil,MATO GROSSO,COLNIZA,Amazonia,,7.8,0.24,-9.12768,-61.49557,
2015/01/01 05:06:00,NPP-375,Brasil,MATO GROSSO,COLNIZA,Amazonia,,7.8,0.24,-9.12241,-61.49925,
2015/01/01 05:06:00,NPP-375,Brasil,MATO GROSSO,COLNIZA,Amazonia,,7.8,0.24,-9.12321,-61.49473,
