datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 01:47:00,TERRA_M-M,Brasil,PARA,NOVO PROGRESSO,Amazonia,,0.2,,-7.729,-55.209,
2015/01/01 01:47:00,TERRA_M-M,Brasil,PARA,NOVO PROGRESSO,Amazonia,,0,0.39,-7.301,-55.318,
2015/01/01 01:47:00,TERRA_M-M,Brasil,PARA,NOVO PROGRESSO,Amazonia,,0,0.03,-7.298,-55.296,
2015/01/01 01:47:00,TERRA_M-M,Brasil,PARA,NOVO PROGRESSO,Amazonia,,0,0.39,-7.308,-55.311,
2015/01/01 01:48:00,TERRA_M-M,Brasil,PARA,BRASIL NOVO,Amazonia,,1.1,0.74,-3.163,-52.598,
2015/01/01 01:48:00,TERRA_M-M,Brasil,PARA,PLACAS,Amazonia,,0,1,-4.073,-54.628,
2015/01/01 01:48:00,TERRA_M-M,Brasil,PARA,URUARA,Amazonia,,0,1,-3.371,-53.708,
2015/01/01 01:48:00,TERRA_M-M,Brasil,PARA,BRASIL NOVO,Amazonia,,1.1,0.74,-3.165,-52.591,
2015/01/01 01:48:00,TERRA_M-M,Brasil,PARA,ALTAMIRA,Amazonia,,2.2,1,-3.237,-52.238,
2015/01/01 01:48:00,TERRA_M-M,Brasil,PARA,PACAJA,Amazonia,,4.1,1,-3.368,-50.935,
2015/01/01 01:48:00,TERRA_M-M,Brasil,PARA,PACAJA,Amazonia,,4.1,1,-3.378,-50.934,
2015/01/01 01:48:00,TERRA_M-M,Brasil,PARA,PACAJA,Amazonia,,0.1,1,-3.647,-50.956,
2015/01/01 01:48:00,TERRA_M-M,Brasil,PARA,ALTAMIRA,Amazonia,,2.2,1,-3.235,-52.227,
2015/01/01 01:48:00,TERRA_M-M,Brasil,PARA,BRASIL NOVO,Amazonia,,1.1,0.76,-3.162,-52.586,
2015/01/01 01:48:00,TERRA_M-M,Brasil,PARA,ANAPU,Amazonia,,0.4,1,-3.049,-51.694,
2015/01/01 01:49:00,TERRA_M-M,Brasil,PARA,PRAINHA,Amazonia,,0.2,1,-1.814,-53.568,
2015/01/01 01:49:00,TERRA_M-M,Brasil,PARA,ALMEIRIM,Amazonia,,0,1,-1.672,-53.096,
2015/01/01 01:49:00,TERRA_M-M,Brasil,PARA,ALMEIRIM,Amazonia,,0,1,-1.714,-53.242,
2015/01/01 01:49:00,TERRA_M-M,Brasil,PARA,ALMEIRIM,Amazonia,,0,1,-1.675,-53.09,
2015/01/01 01:49:00,TERRA_M-M,Brasil,PARA,ALMEIRIM,Amazonia,,0,0.99,-1.397,-52.294,
2015/01/01 01:49:00,TERRA_M-M,Brasil,PARA,ALMEIRIM,Amazonia,,0,1,-1.712,-53.229,
2015/01/01 01:49:00,TERRA_M-M,Brasil,PARA,PRAINHA,Amazonia,,0,1,-2.162,-53.59,
2015/01/01 01:49:00,TERRA_M-M,Brasil,PARA,PORTO DE MOZ,Amazonia,,0,1,-2.057,-53.188,
2015/01/01 01:49:00,TERRA_M-M,Brasil,PARA,ALMEIRIM,Amazonia,,0,1,-1.407,-52.437,
2015/01/01 01:49:00,TERRA_M-M,Brasil,PARA,ALMEIRIM,Amazonia,,0,1,-1.677,-53.102,
2015/01/01 01:49:00,TERRA_M-M,Brasil,PARA,PRAINHA,Amazonia,,0.2,1,-1.812,-53.555,
2015/01/01 01:49:00,TERRA_M-M,Brasil,PARA,PORTO DE MOZ,Amazonia,,0,1,-2.272,-52.204,
2015/01/01 02:00:00,GOES-13,Brasil,PARA,ANAPU,Amazonia,,2.4,1,-4.91,-50.94,
2015/01/01 04:46:00,AQUA_M-M,Brasil,PARA,PORTO DE MOZ,Amazonia,,0,1,-1.696,-52.547,
