datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 12:34:00,TERRA_M-T,Brasil,PARAIBA,MATARACA,Mata Atlantica,,0,1,-6.531,-35.054,
2015/01/01 12:34:00,TERRA_M-T,Brasil,PARAIBA,MATARACA,Mata Atlantica,,0,1,-6.533,-35.042,
2015/01/01 14:45:00,GOES-13,Brasil,PARAIBA,ALGODAO DE JANDAIRA,Caatinga,,0,1,-6.81,-35.88,
2015/01/01 15:00:00,GOES-13,Brasil,PARAIBA,ALGODAO DE JANDAIRA,Caatinga,,0,1,-6.81,-35.88,
2015/01/01 16:01:00,NPP-375,Brasil,PARAIBA,SANTA RITA,Mata Atlantica,,0.1,1,-7.04321,-34.92762,
2015/01/01 16:01:00,NPP-375,Brasil,PARAIBA,DAMIAO,Caatinga,,0,1,-6.62107,-35.92952,
2015/01/01 16:01:00,NPP-375,Brasil,PARAIBA,SANTA RITA,Mata Atlantica,,0.1,1,-7.03929,-34.92454,
2015/01/01 16:30:00,GOES-13,Brasil,PARAIBA,SOUSA,Caatinga,,0.2,1,-6.78,-38.17,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,RIO TINTO,Mata Atlantica,,0,0.69,-6.83443,-34.97808,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,RIO TINTO,Mata Atlantica,,0,0.38,-6.82512,-34.98561,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,FAGUNDES,Caatinga,,0,1,-7.33647,-35.76022,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,RIO TINTO,Mata Atlantica,,0,0.36,-6.83016,-34.98478,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,SANTA RITA,Mata Atlantica,,0,0.82,-7.01452,-35.1345,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,FAGUNDES,Caatinga,,0,0.93,-7.33958,-35.75754,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,SANTA RITA,Mata Atlantica,,0,0.3,-6.9664,-34.9337,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,LIVRAMENTO,Caatinga,,0,1,-7.36812,-37.01755,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,PRATA,Caatinga,,0,1,-7.65712,-37.06781,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,SANTA RITA,Mata Atlantica,,0,1,-6.97145,-34.93295,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,CAJAZEIRAS,Caatinga,,0,1,-6.93095,-38.5164,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,RIO TINTO,Mata Atlantica,,0,0.38,-6.82551,-34.98856,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,CAAPORA,Mata Atlantica,,0,1,-7.47647,-34.91705,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,RIO TINTO,Mata Atlantica,,0,0.36,-6.83056,-34.98773,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,RIO TINTO,Mata Atlantica,,0,0.36,-6.83482,-34.98103,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,RIO TINTO,Mata Atlantica,,0,0.36,-6.83522,-34.98398,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,RIO TINTO,Mata Atlantica,,0,0.38,-6.82977,-34.9818,
2015/01/03 15:23:00,NPP-375,Brasil,PARAIBA,RIO TINTO,Mata Atlantica,,0,0.38,-6.82472,-34.9826,
2015/01/03 17:04:00,NPP-375,Brasil,PARAIBA,CAJAZEIRAS,Caatinga,,0,1,-6.93129,-38.51254,
