datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 05:10:00,NPP-375,Brasil,PARANA,MARIA HELENA,Mata Atlantica,,18.8,0.05,-23.60979,-53.20362,
2015/01/01 05:10:00,NPP-375,Brasil,PARANA,MARIA HELENA,Mata Atlantica,,18.8,0.05,-23.61376,-53.20426,
2015/01/03 04:32:00,NPP-375,Brasil,PARANA,RIO BRANCO DO SUL,Mata Atlantica,,0.2,0,-25.19128,-49.32719,
2015/01/03 16:49:00,AQUA_M-T,Brasil,PARANA,SAO JERONIMO DA SERRA,Mata Atlantica,,0.3,0.22,-23.676,-50.817,
2015/01/03 17:00:00,NPP-375,Brasil,PARANA,QUERENCIA DO NORTE,Mata Atlantica,,1.8,1,-23.20827,-53.63519,
2015/01/04 17:31:00,AQUA_M-T,Brasil,PARANA,CASCAVEL,Mata Atlantica,,3.4,0.07,-24.787,-53.5,
2015/01/05 16:22:00,NPP-375,Brasil,PARANA,FAXINAL,Mata Atlantica,,0,0,-24.03107,-51.12732,
2015/01/05 16:36:00,AQUA_M-T,Brasil,PARANA,SENGES,Cerrado,,0.2,0,-24.286,-49.571,
2015/01/05 18:02:00,NPP-375,Brasil,PARANA,RENASCENCA,Mata Atlantica,,0,0,-26.26253,-53.03302,
2015/01/06 17:43:00,NPP-375,Brasil,PARANA,ESPIGAO ALTO DO IGUACU,Mata Atlantica,,0,0,-25.32659,-52.80643,
2015/01/06 17:43:00,NPP-375,Brasil,PARANA,ESPIGAO ALTO DO IGUACU,Mata Atlantica,,0,0,-25.32579,-52.80236,
2015/01/06 17:44:00,NPP-375,Brasil,PARANA,ICARAIMA,Mata Atlantica,,0,1,-23.23532,-53.61374,
2015/01/06 17:44:00,NPP-375,Brasil,PARANA,ALTONIA,Mata Atlantica,,0,0.36,-23.86333,-53.99771,
2015/01/06 17:44:00,NPP-375,Brasil,PARANA,TERRA RICA,Mata Atlantica,,0.3,0.82,-22.6094,-52.59276,
2015/01/06 17:44:00,NPP-375,Brasil,PARANA,ALTONIA,Mata Atlantica,,0,0.36,-23.86628,-53.99152,
2015/01/06 17:44:00,NPP-375,Brasil,PARANA,AMAPORA,Mata Atlantica,,0,0.06,-23.11087,-52.81374,
2015/01/06 20:45:00,GOES-13,Brasil,PARANA,PAICANDU,Mata Atlantica,,0,0.64,-23.43,-52.1,
2015/01/06 20:45:00,GOES-13,Brasil,PARANA,PAICANDU,Mata Atlantica,,0,0.64,-23.43,-52.12,
2015/01/06 21:00:00,GOES-13,Brasil,PARANA,PAICANDU,Mata Atlantica,,0,0.64,-23.43,-52.12,
2015/01/06 21:00:00,GOES-13,Brasil,PARANA,PAICANDU,Mata Atlantica,,0,0.64,-23.43,-52.1,
2015/01/07 13:40:00,TERRA_M-T,Brasil,PARANA,FLORESTOPOLIS,Mata Atlantica,,0.1,0.72,-22.821,-51.346,
2015/01/07 13:41:00,TERRA_M-T,Brasil,PARANA,SANTA IZABEL DO OESTE,Mata Atlantica,,33.1,0,-25.82,-53.477,
2015/01/07 17:24:00,NPP-375,Brasil,PARANA,LARANJEIRAS DO SUL,Mata Atlantica,,0,0.06,-25.36092,-52.41946,
2015/01/07 17:24:00,NPP-375,Brasil,PARANA,CANTAGALO,Mata Atlantica,,0,0.01,-25.35928,-52.02477,
2015/01/07 17:24:00,NPP-375,Brasil,PARANA,FOZ DO JORDAO,Mata Atlantica,,0.1,0.44,-25.74877,-52.0998,
2015/01/07 17:24:00,NPP-375,Brasil,PARANA,VIRMOND,Mata Atlantica,,0,0.08,-25.40941,-52.24469,
2015/01/07 17:24:00,NPP-375,Brasil,PARANA,LARANJEIRAS DO SUL,Mata Atlantica,,0,0.06,-25.36116,-52.41939,
2015/01/07 17:24:00,NPP-375,Brasil,PARANA,RIO BONITO DO IGUACU,Mata Atlantica,,19.4,0,-25.54282,-52.72237,
2015/01/07 17:25:00,NPP-375,Brasil,PARANA,TERRA RICA,Mata Atlantica,,0.5,0.89,-22.6004,-52.59489,
2015/01/07 17:25:00,NPP-375,Brasil,PARANA,PORECATU,Mata Atlantica,,0.1,0.72,-22.81418,-51.34398,
2015/01/07 17:25:00,NPP-375,Brasil,PARANA,TERRA RICA,Mata Atlantica,,0.9,0.89,-22.59696,-52.59554,
2015/01/07 17:25:00,NPP-375,Brasil,PARANA,IBAITI,Mata Atlantica,,10.2,0,-23.76674,-50.28859,
2015/01/08 17:05:00,NPP-375,Brasil,PARANA,CORONEL DOMINGOS SOARES,Mata Atlantica,,12.8,0,-26.20936,-51.9958,
2015/01/08 17:06:00,NPP-375,Brasil,PARANA,MUNHOZ DE MELO,Mata Atlantica,,13.8,0.79,-23.15538,-51.7865,
2015/01/08 17:07:00,AQUA_M-T,Brasil,PARANA,OURO VERDE DO OESTE,Mata Atlantica,,12.1,0.01,-24.81,-53.832,
2015/01/08 17:07:00,AQUA_M-T,Brasil,PARANA,GOIOERE,Mata Atlantica,,1.6,0.1,-24.157,-53.1,
2015/01/08 17:07:00,AQUA_M-T,Brasil,PARANA,TOLEDO,Mata Atlantica,,15.7,0,-24.827,-53.783,
2015/01/08 17:07:00,AQUA_M-T,Brasil,PARANA,CORBELIA,Mata Atlantica,,8.3,0.08,-24.797,-53.302,
2015/01/08 17:07:00,AQUA_M-T,Brasil,PARANA,TEIXEIRA SOARES,Mata Atlantica,,8.3,0,-25.255,-50.277,
2015/01/08 17:07:00,AQUA_M-T,Brasil,PARANA,BANDEIRANTES,Mata Atlantica,,0,0.79,-23.112,-50.371,
2015/01/09 06:05:53,NOAA-19D,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.67,-23.793,-54.036,
2015/01/09 06:05:53,NOAA-19D,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.68,-23.784,-54.035,
2015/01/09 13:28:00,TERRA_M-T,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.68,-23.781,-54.036,
2015/01/09 13:28:00,TERRA_M-T,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.71,-23.766,-54.051,
2015/01/09 13:28:00,TERRA_M-T,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.7,-23.77,-54.034,
2015/01/09 13:28:00,TERRA_M-T,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.7,-23.775,-54.041,
2015/01/09 13:28:00,TERRA_M-T,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.7,-23.763,-54.038,
2015/01/09 16:00:00,GOES-13,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.8,0.59,-23.8,-53.99,
2015/01/09 16:30:00,GOES-13,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.8,0.59,-23.8,-53.99,
2015/01/09 16:46:00,NPP-375,Brasil,PARANA,UNIAO DA VITORIA,Mata Atlantica,,0.1,0,-26.15196,-51.1469,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.22,-23.75668,-54.05204,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.22,-23.75829,-54.05249,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.72,-23.758,-54.04919,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,ALTONIA,Mata Atlantica,,0.2,0.67,-23.81627,-54.05958,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.71,-23.76152,-54.04821,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.71,-23.7612,-54.04492,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,ALTONIA,Mata Atlantica,,0.2,0.67,-23.81049,-54.05353,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.72,-23.7577,-54.04589,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.22,-23.757,-54.05533,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.71,-23.76604,-54.04108,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.71,-23.76256,-54.04205,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.22,-23.75859,-54.05579,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.71,-23.76088,-54.04163,
2015/01/09 16:47:00,NPP-375,Brasil,PARANA,SAO JORGE DO PATROCINIO,Mata Atlantica,,0.7,0.68,-23.78833,-54.03925,
