datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 12:34:00,TERRA_M-T,Brasil,PERNAMBUCO,SERTANIA,Caatinga,,0.5,1,-8.306,-37.316,
2015/01/01 12:34:00,TERRA_M-T,Brasil,PERNAMBUCO,IGUARACY,Caatinga,,0.2,0.6,-7.851,-37.558,
2015/01/01 12:34:00,TERRA_M-T,Brasil,PERNAMBUCO,IGUARACY,Caatinga,,0.2,0.58,-7.845,-37.551,
2015/01/01 16:00:00,NPP-375,Brasil,PERNAMBUCO,BELEM DO SAO FRANCISCO,Caatinga,,3.3,1,-8.73603,-38.9734,
2015/01/01 16:01:00,NPP-375,Brasil,PERNAMBUCO,EXU,Caatinga,,0,0.34,-7.43787,-39.69747,
2015/01/01 16:01:00,NPP-375,Brasil,PERNAMBUCO,TABIRA,Caatinga,,0,0.5,-7.66044,-37.53754,
2015/01/01 16:01:00,NPP-375,Brasil,PERNAMBUCO,ITAPETIM,Caatinga,,0,0.39,-7.42737,-37.16393,
2015/01/01 16:01:00,NPP-375,Brasil,PERNAMBUCO,CARNAIBA,Caatinga,,2.9,0.64,-7.77429,-37.79129,
2015/01/02 13:17:00,TERRA_M-T,Brasil,PERNAMBUCO,BOM CONSELHO,Caatinga,,0,1,-9.108,-36.763,
2015/01/02 15:41:00,NPP-375,Brasil,PERNAMBUCO,MARAIAL,Mata Atlantica,,0.2,1,-8.84536,-35.71364,
2015/01/02 15:42:00,NPP-375,Brasil,PERNAMBUCO,MANARI,Caatinga,,0,1,-8.88906,-37.58358,
2015/01/02 15:42:00,NPP-375,Brasil,PERNAMBUCO,PEDRA,Caatinga,,0,1,-8.50653,-37.01308,
2015/01/02 15:42:00,NPP-375,Brasil,PERNAMBUCO,PETROLINA,Caatinga,,0,0.82,-9.27571,-40.41862,
2015/01/02 15:42:00,NPP-375,Brasil,PERNAMBUCO,IPOJUCA,Mata Atlantica,,0,1,-8.34809,-35.15779,
2015/01/02 16:09:00,AQUA_M-T,Brasil,PERNAMBUCO,BEZERROS,Caatinga,,0,1,-8.247,-35.809,
2015/01/03 04:27:00,NPP-375,Brasil,PERNAMBUCO,FLORESTA,Caatinga,,0,1,-8.66956,-38.56464,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,QUIXABA,Caatinga,,0,1,-7.75899,-37.86638,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,CABO DE SANTO AGOSTINHO,Mata Atlantica,,0,0.87,-8.27805,-35.05905,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,CONDADO,Mata Atlantica,,0,0.91,-7.62753,-35.09197,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,QUIXABA,Caatinga,,0,1,-7.76524,-37.86595,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,CONDADO,Mata Atlantica,,0,0.89,-7.62712,-35.0889,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,SAO JOAQUIM DO MONTE,Mata Atlantica,,0,1,-8.44566,-35.86711,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,CANHOTINHO,Mata Atlantica,,0,1,-8.80113,-36.24832,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,NAZARE DA MATA,Mata Atlantica,,0,1,-7.76654,-35.25907,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,SAO JOAQUIM DO MONTE,Mata Atlantica,,0,1,-8.44613,-35.87075,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,SAO JOAQUIM DO MONTE,Mata Atlantica,,0,1,-8.45209,-35.8736,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,PESQUEIRA,Caatinga,,0,1,-8.29948,-36.79878,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,LAGOA DOS GATOS,Mata Atlantica,,0,1,-8.67881,-35.94176,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,VENTUROSA,Caatinga,,0,1,-8.58599,-36.79077,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,TAMANDARE,Mata Atlantica,,0,1,-8.7926,-35.33842,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,NAZARE DA MATA,Mata Atlantica,,0,1,-7.76612,-35.25596,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,CUSTODIA,Caatinga,,0,1,-7.93939,-37.57428,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,TAQUARITINGA DO NORTE,Caatinga,,0,1,-7.93361,-36.09851,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,PETROLANDIA,Caatinga,,0,1,-8.92217,-38.43162,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,TACAIMBO,Caatinga,,0,1,-8.30909,-36.32595,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,TAQUARITINGA DO NORTE,Caatinga,,0,1,-7.93427,-36.09895,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,CHA DE ALEGRIA,Mata Atlantica,,0,1,-8.04228,-35.2488,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,PEDRA,Caatinga,,0,1,-8.53934,-36.97048,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,VICENCIA,Mata Atlantica,,0,1,-7.68592,-35.29017,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,SAO JOAQUIM DO MONTE,Mata Atlantica,,0,1,-8.45115,-35.86626,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,PAUDALHO,Mata Atlantica,,0,1,-7.87205,-35.16936,
2015/01/03 15:23:00,NPP-375,Brasil,PERNAMBUCO,SAO JOAQUIM DO MONTE,Mata Atlantica,,0,1,-8.45162,-35.86996,
2015/01/03 16:53:00,AQUA_M-T,Brasil,PERNAMBUCO,IPUBI,Caatinga,,0.9,0.1,-7.555,-40.236,
2015/01/03 17:03:00,NPP-375,Brasil,PERNAMBUCO,PETROLINA,Caatinga,,0,0.11,-8.72001,-40.47392,
2015/01/03 17:03:00,NPP-375,Brasil,PERNAMBUCO,PETROLINA,Caatinga,,0,0.11,-8.71949,-40.47425,
2015/01/04 00:39:00,TERRA_M-M,Brasil,PERNAMBUCO,ITAQUITINGA,Mata Atlantica,,0,1,-7.69,-34.944,
2015/01/04 03:40:00,AQUA_M-M,Brasil,PERNAMBUCO,GOIANA,Mata Atlantica,,0,1,-7.572,-34.929,
2015/01/04 03:40:00,AQUA_M-M,Brasil,PERNAMBUCO,GOIANA,Mata Atlantica,,0,1,-7.57,-34.94,
2015/01/04 04:08:00,NPP-375,Brasil,PERNAMBUCO,PETROLINA,Caatinga,,0,0.13,-8.66285,-40.73909,
2015/01/04 04:08:00,NPP-375,Brasil,PERNAMBUCO,GOIANA,Mata Atlantica,,0,1,-7.57756,-34.93848,
2015/01/04 04:08:00,NPP-375,Brasil,PERNAMBUCO,CABROBO,Caatinga,,0,0.68,-8.31885,-39.45241,
2015/01/04 04:08:00,NPP-375,Brasil,PERNAMBUCO,GOIANA,Mata Atlantica,,0,1,-7.57346,-34.93782,
