datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 17:37:00,NPP-375,Brasil,RIO DE JANEIRO,ANGRA DOS REIS,Mata Atlantica,,0,1,-23.04865,-44.22897,
2015/01/02 07:23:38,NOAA-18D,Brasil,RIO DE JANEIRO,VOLTA REDONDA,Mata Atlantica,,1.6,0.92,-22.548,-44.082,
2015/01/02 07:23:44,NOAA-18D,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,,0,,-22.941,-43.705,
2015/01/02 07:23:44,NOAA-18D,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,,0.1,0.01,-22.952,-43.699,
2015/01/02 13:21:00,TERRA_M-T,Brasil,RIO DE JANEIRO,CACHOEIRAS DE MACACU,Mata Atlantica,,4,0.02,-22.464,-42.653,
2015/01/02 14:45:00,GOES-13,Brasil,RIO DE JANEIRO,BELFORD ROXO,Mata Atlantica,,1.2,0,-22.75,-43.38,
2015/01/02 15:00:00,GOES-13,Brasil,RIO DE JANEIRO,BELFORD ROXO,Mata Atlantica,,1.2,0,-22.75,-43.38,
2015/01/02 15:38:00,NPP-375,Brasil,RIO DE JANEIRO,QUISSAMA,Mata Atlantica,,1.6,0.36,-22.1087,-41.4525,
2015/01/02 15:38:00,NPP-375,Brasil,RIO DE JANEIRO,QUISSAMA,Mata Atlantica,,1.6,0.36,-22.1136,-41.45502,
2015/01/03 04:31:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,,0,0.09,-22.96202,-43.62459,
2015/01/03 04:31:00,NPP-375,Brasil,RIO DE JANEIRO,MACAE,Mata Atlantica,,0,0.31,-22.30703,-41.87619,
2015/01/03 04:31:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,,0,0.09,-22.96366,-43.62341,
2015/01/03 07:12:18,NOAA-18D,Brasil,RIO DE JANEIRO,VOLTA REDONDA,Mata Atlantica,,0,0.72,-22.527,-44.092,
2015/01/03 07:53:38,NOAA-15D,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,,0,0.21,-22.925,-43.724,
2015/01/03 16:49:00,AQUA_M-T,Brasil,RIO DE JANEIRO,MARICA,Mata Atlantica,,0,0.02,-22.929,-42.66,
2015/01/03 17:00:00,NPP-375,Brasil,RIO DE JANEIRO,ITABORAI,Mata Atlantica,,0,0.51,-22.71856,-42.94259,
2015/01/04 04:12:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,,0,0.61,-22.69131,-42.09686,
2015/01/04 04:12:00,NPP-375,Brasil,RIO DE JANEIRO,MARICA,Mata Atlantica,,0,0.02,-22.92639,-42.77438,
2015/01/04 04:12:00,NPP-375,Brasil,RIO DE JANEIRO,MACAE,Mata Atlantica,,0,0.61,-22.3077,-41.87681,
2015/01/04 16:41:00,NPP-375,Brasil,RIO DE JANEIRO,CABO FRIO,Mata Atlantica,,0,0.61,-22.60103,-42.0078,
2015/01/04 16:41:00,NPP-375,Brasil,RIO DE JANEIRO,RIO DE JANEIRO,Mata Atlantica,,2.4,0.1,-22.99361,-43.63579,
