datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 16:01:00,NPP-375,Brasil,RIO GRANDE DO NORTE,IELMO MARINHO,Caatinga,,0,1,-5.75396,-35.51991,
2015/01/01 16:01:00,NPP-375,Brasil,RIO GRANDE DO NORTE,NISIA FLORESTA,Mata Atlantica,,0,1,-6.09442,-35.10632,
2015/01/01 16:01:00,NPP-375,Brasil,RIO GRANDE DO NORTE,SAO TOME,Caatinga,,0,1,-5.98824,-36.01125,
2015/01/01 20:00:00,GOES-13,Brasil,RIO GRANDE DO NORTE,PEDRO VELHO,Mata Atlantica,,0,1,-6.52,-35.2,
2015/01/01 20:00:00,GOES-13,Brasil,RIO GRANDE DO NORTE,PEDRO VELHO,Mata Atlantica,,0,1,-6.52,-35.17,
2015/01/01 22:00:00,GOES-13,Brasil,RIO GRANDE DO NORTE,BAIA FORMOSA,Mata Atlantica,,0,1,-6.48,-35.11,
2015/01/01 22:00:00,GOES-13,Brasil,RIO GRANDE DO NORTE,CANGUARETAMA,Mata Atlantica,,0,1,-6.48,-35.14,
2015/01/02 15:42:00,NPP-375,Brasil,RIO GRANDE DO NORTE,PORTALEGRE,Caatinga,,0.4,1,-6.03127,-38.03881,
2015/01/02 15:43:00,NPP-375,Brasil,RIO GRANDE DO NORTE,MOSSORO,Caatinga,,0,,-5.17683,-37.4261,
2015/01/02 15:43:00,NPP-375,Brasil,RIO GRANDE DO NORTE,MOSSORO,Caatinga,,0,,-5.17737,-37.42992,
2015/01/02 15:43:00,NPP-375,Brasil,RIO GRANDE DO NORTE,MOSSORO,Caatinga,,0,,-5.17262,-37.42669,
2015/01/02 16:10:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SERRA DO MEL,Caatinga,,75.5,,-5.292,-36.945,
2015/01/02 16:10:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,CARNAUBAIS,Caatinga,,50.7,,-5.301,-36.944,
2015/01/03 15:23:00,NPP-375,Brasil,RIO GRANDE DO NORTE,SENADOR ELOI DE SOUZA,Caatinga,,0,1,-6.08219,-35.6473,
