datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 05:06:00,NPP-375,Brasil,RONDONIA,RIO CRESPO,Amazonia,,0.1,0.03,-9.57459,-63.00579,
2015/01/01 05:06:00,NPP-375,Brasil,RONDONIA,ESPIGAO D'OESTE,Amazonia,,0,0.01,-11.11515,-60.85543,
2015/01/01 05:07:00,NPP-375,Brasil,RONDONIA,COSTA MARQUES,Amazonia,,1.1,0.02,-12.07617,-64.01936,
2015/01/01 05:07:00,NPP-375,Brasil,RONDONIA,COSTA MARQUES,Amazonia,,1.1,0.02,-12.07113,-64.0184,
2015/01/01 05:07:00,NPP-375,Brasil,RONDONIA,COSTA MARQUES,Amazonia,,0.9,0.04,-12.25724,-63.7666,
2015/01/01 05:07:00,NPP-375,Brasil,RONDONIA,COSTA MARQUES,Amazonia,,1.1,0.03,-12.07561,-64.02238,
2015/01/01 05:07:00,NPP-375,Brasil,RONDONIA,COSTA MARQUES,Amazonia,,1.1,0.03,-12.07057,-64.02139,
2015/01/01 05:07:00,NPP-375,Brasil,RONDONIA,COSTA MARQUES,Amazonia,,0.9,0.04,-12.25594,-63.76939,
2015/01/01 05:51:27,NOAA-19D,Brasil,RONDONIA,COSTA MARQUES,Amazonia,,1.1,0.02,-12.104,-64.008,
2015/01/01 05:51:27,NOAA-19D,Brasil,RONDONIA,SAO FRANCISCO DO GUAPORE,Amazonia,,1.2,0.02,-12.106,-63.998,
2015/01/01 05:51:27,NOAA-19D,Brasil,RONDONIA,COSTA MARQUES,Amazonia,,1.1,0.02,-12.103,-64.018,
2015/01/01 06:28:00,AQUA_M-M,Brasil,RONDONIA,COSTA MARQUES,Amazonia,,2.6,0.02,-12.079,-63.995,
2015/01/01 09:14:07,NOAA-18D,Brasil,RONDONIA,SAO FRANCISCO DO GUAPORE,Amazonia,,2.6,0.02,-12.081,-63.954,
2015/01/01 09:14:07,NOAA-18D,Brasil,RONDONIA,SAO FRANCISCO DO GUAPORE,Amazonia,,2.6,0.02,-12.069,-63.967,
2015/01/01 09:14:07,NOAA-18D,Brasil,RONDONIA,SAO FRANCISCO DO GUAPORE,Amazonia,,2.6,0.02,-12.079,-63.969,
2015/01/01 17:41:00,NPP-375,Brasil,RONDONIA,COSTA MARQUES,Amazonia,,1.1,0.03,-12.07306,-64.02262,
2015/01/01 17:41:00,NPP-375,Brasil,RONDONIA,COSTA MARQUES,Amazonia,,1.1,0.02,-12.16029,-64.28983,
2015/01/01 17:42:00,NPP-375,Brasil,RONDONIA,MACHADINHO D'OESTE,Amazonia,,0,0,-9.70592,-61.99926,
2015/01/02 02:30:00,TERRA_M-M,Brasil,RONDONIA,NOVA MAMORE,Amazonia,,5.3,0.11,-10.362,-64.826,
2015/01/02 02:30:00,TERRA_M-M,Brasil,RONDONIA,NOVA MAMORE,Amazonia,,5.3,0.11,-10.361,-64.813,
2015/01/02 02:30:00,TERRA_M-M,Brasil,RONDONIA,NOVA MAMORE,Amazonia,,5.3,0.12,-10.364,-64.832,
2015/01/02 11:30:00,GOES-13,Brasil,RONDONIA,ALTO PARAISO,Amazonia,,0.6,0.01,-9.83,-63.32,
2015/01/02 17:22:00,NPP-375,Brasil,RONDONIA,SAO FRANCISCO DO GUAPORE,Amazonia,,20.8,0,-11.85177,-63.74546,
2015/01/02 17:22:00,NPP-375,Brasil,RONDONIA,PIMENTA BUENO,Amazonia,,1.8,0,-12.25315,-60.66657,
2015/01/02 17:22:00,NPP-375,Brasil,RONDONIA,PIMENTA BUENO,Amazonia,,1.8,0,-12.25363,-60.67018,
2015/01/02 17:22:00,NPP-375,Brasil,RONDONIA,PIMENTA BUENO,Amazonia,,1.8,0,-12.24008,-60.6612,
2015/01/02 17:22:00,NPP-375,Brasil,RONDONIA,SAO FRANCISCO DO GUAPORE,Amazonia,,20.8,0,-11.85163,-63.74781,
2015/01/02 17:23:00,NPP-375,Brasil,RONDONIA,CUJUBIM,Amazonia,,1.7,0.12,-9.11682,-62.50618,
2015/01/02 17:23:00,NPP-375,Brasil,RONDONIA,VALE DO ANARI,Amazonia,,0.3,0.06,-9.79706,-62.062,
2015/01/02 17:48:00,AQUA_M-T,Brasil,RONDONIA,VALE DO ANARI,Amazonia,,0.6,0.06,-9.802,-62.064,
2015/01/02 17:48:00,AQUA_M-T,Brasil,RONDONIA,VALE DO ANARI,Amazonia,,0.6,0.05,-9.8,-62.055,
2015/01/02 17:48:00,AQUA_M-T,Brasil,RONDONIA,THEOBROMA,Amazonia,,0.8,0.05,-10.042,-62.011,
2015/01/03 17:03:00,NPP-375,Brasil,RONDONIA,ALTO ALEGRE DOS PARECIS,Amazonia,,7.2,0,-12.17543,-61.89093,
2015/01/03 18:44:00,NPP-375,Brasil,RONDONIA,SAO MIGUEL DO GUAPORE,Amazonia,,0,0.01,-11.74753,-62.91489,
2015/01/03 18:44:00,NPP-375,Brasil,RONDONIA,SAO MIGUEL DO GUAPORE,Amazonia,,0,0.01,-11.74761,-62.91764,
2015/01/03 18:44:00,NPP-375,Brasil,RONDONIA,PORTO VELHO,Amazonia,,30.1,0,-9.66336,-65.73225,
2015/01/04 00:30:00,GOES-13,Brasil,RONDONIA,GOVERNADOR JORGE TEIXEIRA,Amazonia,,1.4,0,-10.84,-63.47,
2015/01/04 00:30:00,GOES-13,Brasil,RONDONIA,GOVERNADOR JORGE TEIXEIRA,Amazonia,,1.4,0,-10.87,-63.47,
