datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,3.7355,-60.61959,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.32295,-60.93961,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.31958,-60.93588,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.31714,-60.93732,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,NORMANDIA,Amazonia,,0,0.39,3.41006,-60.25439,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.32006,-60.93935,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,NORMANDIA,Amazonia,,0,0.41,3.40963,-60.25148,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.31765,-60.94075,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.33058,-60.93637,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.32584,-60.94159,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.3282,-60.93811,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.32533,-60.93794,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.31664,-60.93386,
2015/01/01 05:02:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,3.73504,-60.61648,
2015/01/01 05:03:00,NPP-375,Brasil,RORAIMA,IRACEMA,Amazonia,,0,0.92,2.04535,-61.22095,
2015/01/01 05:03:00,NPP-375,Brasil,RORAIMA,IRACEMA,Amazonia,,0,0.92,2.04056,-61.22504,
2015/01/01 05:03:00,NPP-375,Brasil,RORAIMA,IRACEMA,Amazonia,,0,0.92,2.04632,-61.22749,
2015/01/01 05:03:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.69,1.18748,-60.29638,
2015/01/01 05:03:00,NPP-375,Brasil,RORAIMA,IRACEMA,Amazonia,,0,0.8,2.22746,-61.08112,
2015/01/01 05:03:00,NPP-375,Brasil,RORAIMA,IRACEMA,Amazonia,,0,0.92,2.04439,-61.21453,
2015/01/01 05:03:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.65,1.2239,-60.40223,
2015/01/01 05:03:00,NPP-375,Brasil,RORAIMA,IRACEMA,Amazonia,,0,0.92,2.04583,-61.22421,
2015/01/01 05:03:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.65,1.22882,-60.40151,
2015/01/01 05:03:00,NPP-375,Brasil,RORAIMA,IRACEMA,Amazonia,,0,0.8,2.23223,-61.07716,
2015/01/01 05:03:00,NPP-375,Brasil,RORAIMA,IRACEMA,Amazonia,,0,0.8,2.22793,-61.08433,
2015/01/01 05:03:00,NPP-375,Brasil,RORAIMA,IRACEMA,Amazonia,,0,0.92,2.04487,-61.21774,
2015/01/01 17:44:00,NPP-375,Brasil,RORAIMA,CAROEBE,Amazonia,,0,1,0.94596,-59.48536,
2015/01/01 17:44:00,NPP-375,Brasil,RORAIMA,CAROEBE,Amazonia,,0,0.74,0.80589,-59.47015,
2015/01/01 17:44:00,NPP-375,Brasil,RORAIMA,CAROEBE,Amazonia,,0,0.74,0.80598,-59.46688,
2015/01/01 17:44:00,NPP-375,Brasil,RORAIMA,SAO LUIZ,Amazonia,,0,1,1.02247,-60.04539,
2015/01/01 17:44:00,NPP-375,Brasil,RORAIMA,CAROEBE,Amazonia,,0,1,0.94663,-59.48086,
2015/01/01 17:44:00,NPP-375,Brasil,RORAIMA,RORAINOPOLIS,Amazonia,,0,0.66,0.63019,-60.24909,
2015/01/01 17:44:00,NPP-375,Brasil,RORAIMA,RORAINOPOLIS,Amazonia,,0,0.65,0.62721,-60.24443,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.30789,-60.92333,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.93,1.99916,-61.38941,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,AMAJARI,Amazonia,,0,0.24,3.5512,-61.82382,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.71,1.14362,-60.59611,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,BONFIM,Amazonia,,0,0.71,2.95318,-59.97421,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.72,1.74189,-60.35641,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,UIRAMUTA,Amazonia,,0.9,0.24,4.43783,-60.30051,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.72,1.74264,-60.35592,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.72,1.74203,-60.36008,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,BONFIM,Amazonia,,0,0.64,3.01383,-60.1365,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.31148,-60.9241,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.7,0.24,4.34586,-60.81725,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.71,1.14718,-60.59663,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.71,1.14657,-60.60065,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.3,0.24,4.1461,-60.75899,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.93,1.94069,-61.35363,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,BONFIM,Amazonia,,0,0.8,2.22198,-59.99018,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.71,1.14301,-60.60012,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,,0,0.24,3.33389,-62.97538,
2015/01/01 17:45:00,NPP-375,Brasil,RORAIMA,NORMANDIA,Amazonia,,0,0.24,3.78083,-60.26237,
2015/01/01 20:45:00,GOES-13,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.63,1.53,-60.63,
2015/01/01 21:00:00,GOES-13,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.63,1.53,-60.63,
2015/01/02 02:33:00,TERRA_M-M,Brasil,RORAIMA,BOA VISTA,Amazonia,,0,0.83,2.674,-60.893,
2015/01/02 02:33:00,TERRA_M-M,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.65,1.24,-60.626,
2015/01/02 02:33:00,TERRA_M-M,Brasil,RORAIMA,CANTA,Amazonia,,0,0.84,2.779,-60.606,
2015/01/02 02:33:00,TERRA_M-M,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.65,1.241,-60.617,
2015/01/02 02:34:00,TERRA_M-M,Brasil,RORAIMA,PACARAIMA,Amazonia,,0.2,0.24,4.335,-60.922,
2015/01/02 04:44:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.66,1.23969,-60.62223,
2015/01/02 04:44:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.65,1.24551,-60.62046,
2015/01/02 04:44:00,NPP-375,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.65,1.2465,-60.62128,
2015/01/02 05:29:00,AQUA_M-M,Brasil,RORAIMA,CARACARAI,Amazonia,,0,0.65,1.245,-60.621,
2015/01/02 06:24:00,NPP-375,Brasil,RORAIMA,NORMANDIA,Amazonia,,0,0.38,3.42258,-60.25397,
2015/01/02 14:53:00,TERRA_M-T,Brasil,RORAIMA,IRACEMA,Amazonia,,0,0.82,2.179,-61.266,
2015/01/02 14:53:00,TERRA_M-T,Brasil,RORAIMA,IRACEMA,Amazonia,,0,0.94,2.015,-61.468,
