datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/01/02 15:41:00,NPP-375,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlantica,,0,0.48,-11.13055,-37.18559,
2015/01/02 15:41:00,NPP-375,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlantica,,0,0.48,-11.12946,-37.1887,
2015/01/02 15:41:00,NPP-375,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,,0,1,-11.08124,-37.87723,
2015/01/02 15:41:00,NPP-375,Brasil,SERGIPE,JAPOATA,Mata Atlantica,,0,0.79,-10.57959,-36.75214,
2015/01/02 15:41:00,NPP-375,Brasil,SERGIPE,PACATUBA,Mata Atlantica,,0,0.84,-10.52011,-36.64539,
2015/01/02 15:41:00,NPP-375,Brasil,SERGIPE,PACATUBA,Mata Atlantica,,0,0.83,-10.51711,-36.64612,
2015/01/02 15:41:00,NPP-375,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlantica,,0,0.48,-11.12884,-37.18415,
2015/01/02 16:09:00,AQUA_M-T,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,,0,1,-11.083,-37.883,
2015/01/02 16:09:00,AQUA_M-T,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,,0,1,-11.082,-37.873,
2015/01/02 16:09:00,AQUA_M-T,Brasil,SERGIPE,PIRAMBU,Mata Atlantica,,0,1,-10.608,-36.73,
2015/01/02 16:09:00,AQUA_M-T,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,,0,1,-11.226,-37.914,
2015/01/02 16:09:00,AQUA_M-T,Brasil,SERGIPE,TOBIAS BARRETO,Caatinga,,0,1,-11.227,-37.924,
2015/01/02 16:09:00,AQUA_M-T,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlantica,,0,0.48,-11.133,-37.189,
2015/01/03 15:22:00,NPP-375,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlantica,,0,0.62,-11.13755,-37.19194,
2015/01/03 15:22:00,NPP-375,Brasil,SERGIPE,ESTANCIA,Mata Atlantica,,0,1,-11.2897,-37.37708,
2015/01/03 15:22:00,NPP-375,Brasil,SERGIPE,ROSARIO DO CATETE,Mata Atlantica,,0,1,-10.63793,-37.04567,
2015/01/03 15:22:00,NPP-375,Brasil,SERGIPE,CAPELA,Mata Atlantica,,0,1,-10.38517,-37.11168,
2015/01/03 15:22:00,NPP-375,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlantica,,0,0.62,-11.13388,-37.19582,
2015/01/03 15:22:00,NPP-375,Brasil,SERGIPE,CAPELA,Mata Atlantica,,0,1,-10.38516,-37.11531,
2015/01/03 17:02:00,NPP-375,Brasil,SERGIPE,SALGADO,Mata Atlantica,,0,0.72,-11.02587,-37.4183,
2015/01/03 17:02:00,NPP-375,Brasil,SERGIPE,SALGADO,Mata Atlantica,,0,1,-11.02726,-37.42527,
2015/01/03 17:02:00,NPP-375,Brasil,SERGIPE,ITAPORANGA D'AJUDA,Mata Atlantica,,0,0.62,-11.135,-37.19213,
