Campo,Valor,Porcentagem do Total de Focos
ACRE,12,0.08%
ALAGOAS,707,4.46%
AMAPÁ,6,0.04%
AMAZONAS,245,1.55%
BAHIA,2232,14.09%
CEARÁ,135,0.85%
DISTRITO FEDERAL,16,0.10%
ESPÍRITO SANTO,391,2.47%
GOIÁS,217,1.37%
MARANHÃO,218,1.38%
MATO GROSSO,1593,10.06%
MATO GROSSO DO SUL,1032,6.52%
MINAS GERAIS,685,4.33%
PARÁ,273,1.72%
PARAÍBA,188,1.19%
PARANÁ,431,2.72%
PERNAMBUCO,476,3.01%
PIAUÍ,194,1.22%
RIO DE JANEIRO,234,1.48%
RIO GRANDE DO NORTE,134,0.85%
RIO GRANDE DO SUL,792,5.00%
RONDÔNIA,83,0.52%
RORAIMA,4022,25.40%
SANTA CATARINA,250,1.58%
SÃO PAULO,566,3.57%
SERGIPE,485,3.06%
TOCANTINS,220,1.39%
