Campo,Valor,Porcentagem do Total de Focos
ACRE,16338,3.78%
ALAGOAS,81,0.02%
AMAPÁ,295,0.07%
AMAZONAS,35306,8.16%
BAHIA,8838,2.04%
CEARÁ,2825,0.65%
DISTRITO FEDERAL,399,0.09%
ESPÍRITO SANTO,1464,0.34%
GOIÁS,14119,3.26%
MARANHÃO,39175,9.06%
MATO GROSSO,85212,19.70%
MATO GROSSO DO SUL,11483,2.66%
MINAS GERAIS,15599,3.61%
PARÁ,57431,13.28%
PARAÍBA,478,0.11%
PARANÁ,5499,1.27%
PERNAMBUCO,559,0.13%
PIAUÍ,18590,4.30%
RIO DE JANEIRO,1939,0.45%
RIO GRANDE DO NORTE,390,0.09%
RIO GRANDE DO SUL,7135,1.65%
RONDÔNIA,45083,10.42%
RORAIMA,169,0.04%
SANTA CATARINA,4193,0.97%
SÃO PAULO,7100,1.64%
SERGIPE,27,0.01%
TOCANTINS,52730,12.19%
