Campo,Valor,Porcentagem do Total de Focos
MATO GROSSO,85212,19.70%
PARÁ,57431,13.28%
TOCANTINS,52730,12.19%
RONDÔNIA,45083,10.42%
MARANHÃO,39175,9.06%
AMAZONAS,35306,8.16%
PIAUÍ,18590,4.30%
ACRE,16338,3.78%
MINAS GERAIS,15599,3.61%
GOIÁS,14119,3.26%
MATO GROSSO DO SUL,11483,2.66%
BAHIA,8838,2.04%
RIO GRANDE DO SUL,7135,1.65%
SÃO PAULO,7100,1.64%
PARANÁ,5499,1.27%
SANTA CATARINA,4193,0.97%
CEARÁ,2825,0.65%
RIO DE JANEIRO,1939,0.45%
ESPÍRITO SANTO,1464,0.34%
PERNAMBUCO,559,0.13%
PARAÍBA,478,0.11%
DISTRITO FEDERAL,399,0.09%
RIO GRANDE DO NORTE,390,0.09%
AMAPÁ,295,0.07%
RORAIMA,169,0.04%
ALAGOAS,81,0.02%
SERGIPE,27,0.01%
