Campo,Valor,Porcentagem do Total de Focos
MATO GROSSO DO SUL,4954,17.03%
BAHIA,3461,11.90%
MATO GROSSO,3262,11.22%
ALAGOAS,1917,6.59%
PARÁ,1774,6.10%
PERNAMBUCO,1624,5.58%
MINAS GERAIS,1524,5.24%
MARANHÃO,1323,4.55%
CEARÁ,1150,3.95%
RORAIMA,1043,3.59%
GOIÁS,863,2.97%
PIAUÍ,782,2.69%
SERGIPE,782,2.69%
PARAÍBA,640,2.20%
TOCANTINS,637,2.19%
RIO GRANDE DO NORTE,546,1.88%
PARANÁ,497,1.71%
ESPÍRITO SANTO,481,1.65%
AMAZONAS,434,1.49%
RONDÔNIA,396,1.36%
RIO GRANDE DO SUL,289,0.99%
SÃO PAULO,250,0.86%
SANTA CATARINA,240,0.83%
RIO DE JANEIRO,174,0.60%
AMAPÁ,25,0.09%
ACRE,10,0.03%
DISTRITO FEDERAL,6,0.02%
