Campo,Valor,Porcentagem do Total de Focos
ACRE,15528,1.41%
ALAGOAS,43,0.00%
AMAPÁ,723,0.07%
AMAZONAS,26478,2.40%
BAHIA,15220,1.38%
CEARÁ,3680,0.33%
DISTRITO FEDERAL,1155,0.10%
ESPÍRITO SANTO,479,0.04%
GOIÁS,42355,3.84%
MARANHÃO,132956,12.06%
MATO GROSSO,277985,25.21%
MATO GROSSO DO SUL,30595,2.77%
MINAS GERAIS,36343,3.30%
PARÁ,259856,23.56%
PARAÍBA,338,0.03%
PARANÁ,12499,1.13%
PERNAMBUCO,439,0.04%
PIAUÍ,31906,2.89%
RIO DE JANEIRO,4202,0.38%
RIO GRANDE DO NORTE,538,0.05%
RIO GRANDE DO SUL,2046,0.19%
RONDÔNIA,53553,4.86%
RORAIMA,532,0.05%
SANTA CATARINA,3070,0.28%
SÃO PAULO,24290,2.20%
SERGIPE,5,0.00%
TOCANTINS,126080,11.43%
