datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/03/01 05:20:00,AQUA_M-M,Brasil,MATO GROSSO,NOVA MONTE VERDE,Amazonia,0,0,0.1,-10.261,-57.354,11
2018/03/01 05:20:00,AQUA_M-M,Brasil,MATO GROSSO,NOVA MONTE VERDE,Amazonia,0,0,0.1,-10.263,-57.345,5.2
2018/03/01 05:20:00,AQUA_M-M,Brasil,MATO GROSSO,ITAUBA,Amazonia,0,0,0.01,-11.301,-55.487,7.3
2018/03/02 04:20:00,AQUA_M-M,Brasil,ALAGOAS,MAJOR ISIDORO,Caatinga,0,0.75,1,-9.51,-36.963,16.5
2018/03/02 04:25:00,AQUA_M-M,Brasil,MINAS GERAIS,SALINAS,Mata Atlantica,0,0,0.13,-16.228,-42.264,7.4
2018/03/02 04:25:00,AQUA_M-M,Brasil,MINAS GERAIS,SALINAS,Mata Atlantica,0,0,0.13,-16.23,-42.253,9.1
2018/03/02 04:25:00,AQUA_M-M,Brasil,MINAS GERAIS,SALINAS,Mata Atlantica,0,0,0.13,-16.24,-42.255,7
2018/03/02 05:55:00,AQUA_M-M,Brasil,RORAIMA,BONFIM,Amazonia,0,3.78,0.13,2.836,-60.454,19.6
2018/03/02 05:55:00,AQUA_M-M,Brasil,RORAIMA,BONFIM,Amazonia,0,3.78,0.13,2.833,-60.439,16.8
2018/03/02 05:55:00,AQUA_M-M,Brasil,RORAIMA,CANTA,Amazonia,0,4.18,0.04,2.367,-60.259,14.8
2018/03/02 05:55:00,AQUA_M-M,Brasil,RORAIMA,CANTA,Amazonia,0,4.18,0.04,2.372,-60.264,14
2018/03/02 05:55:00,AQUA_M-M,Brasil,RORAIMA,CANTA,Amazonia,0,4.18,0.04,2.37,-60.248,17.3
2018/03/03 05:05:00,AQUA_M-M,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,0,0,0.21,-11.099,-54.543,9.6
2018/03/03 05:05:00,AQUA_M-M,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,0,0,0.2,-11.108,-54.545,8.2
2018/03/03 05:05:00,AQUA_M-M,Brasil,MATO GROSSO,ITAUBA,Amazonia,0,0,0.55,-11.292,-55.774,3.8
2018/03/03 05:05:00,AQUA_M-M,Brasil,GOIAS,MINEIROS,Cerrado,0,10.45,0.01,-18.114,-52.875,9
2018/03/03 05:05:00,AQUA_M-M,Brasil,GOIAS,MINEIROS,Cerrado,0,10.45,0.01,-18.133,-52.872,40.1
2018/03/03 05:05:00,AQUA_M-M,Brasil,GOIAS,MINEIROS,Cerrado,0,10.45,0.01,-18.115,-52.863,101.1
2018/03/03 05:05:00,AQUA_M-M,Brasil,GOIAS,MINEIROS,Cerrado,0,10.45,0.01,-18.117,-52.851,91.7
2018/03/03 05:05:00,AQUA_M-M,Brasil,GOIAS,MINEIROS,Cerrado,0,10.45,0.01,-18.118,-52.839,6.4
2018/03/03 05:05:00,AQUA_M-M,Brasil,GOIAS,MINEIROS,Cerrado,0,10.45,0.01,-18.124,-52.876,77.1
2018/03/03 05:05:00,AQUA_M-M,Brasil,GOIAS,MINEIROS,Cerrado,0,10.45,0.01,-18.125,-52.864,61.2
2018/03/03 05:05:00,AQUA_M-M,Brasil,GOIAS,MINEIROS,Cerrado,0,10.45,0.01,-18.127,-52.852,25.6
2018/03/03 05:05:00,AQUA_M-M,Brasil,GOIAS,MINEIROS,Cerrado,0,10.45,0.01,-18.128,-52.84,16.5
2018/03/03 05:05:00,AQUA_M-M,Brasil,GOIAS,MINEIROS,Cerrado,0,10.45,0.01,-18.123,-52.871,81.7
2018/03/03 05:05:00,AQUA_M-M,Brasil,GOIAS,MINEIROS,Cerrado,0,10.45,0.01,-18.125,-52.859,55.5
2018/03/03 05:05:00,AQUA_M-M,Brasil,GOIAS,MINEIROS,Cerrado,0,10.45,0.01,-18.126,-52.847,41.4
2018/03/03 05:10:00,AQUA_M-M,Brasil,PARANA,SANTA HELENA,Mata Atlantica,0,25.7,0,-24.955,-54.293,15.8
2018/03/04 04:10:00,AQUA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,0,1.13,0.33,-12.831,-41.496,8.4
2018/03/04 04:10:00,AQUA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,0,1.13,0.33,-12.833,-41.487,10.3
2018/03/04 05:45:00,AQUA_M-M,Brasil,RORAIMA,CANTA,Amazonia,0,0,0.15,2.193,-60.26,34.4
2018/03/04 05:45:00,AQUA_M-M,Brasil,RORAIMA,CANTA,Amazonia,0,0,0.15,2.191,-60.25,39.7
2018/03/04 05:45:00,AQUA_M-M,Brasil,RORAIMA,CARACARAI,Amazonia,0,0.57,0,1.1,-60.47,8.6
2018/03/04 05:45:00,AQUA_M-M,Brasil,RORAIMA,CARACARAI,Amazonia,0,1.45,0.01,1.099,-60.46,6.3
2018/03/06 04:00:00,AQUA_M-M,Brasil,SAO PAULO,NOVO HORIZONTE,Mata Atlantica,0,18.8,0.03,-21.364,-49.23,35.4
2018/03/06 05:30:00,AQUA_M-M,Brasil,RORAIMA,AMAJARI,Amazonia,0,0.2,0,3.655,-61.146,4.5
2018/03/06 05:35:00,AQUA_M-M,Brasil,RORAIMA,CANTA,Amazonia,0,0.6,0,2.192,-60.253,4.5
2018/03/09 06:05:00,AQUA_M-M,Brasil,RORAIMA,BONFIM,Amazonia,0,0,0.34,3.196,-59.999,15.8
2018/03/09 06:05:00,AQUA_M-M,Brasil,RORAIMA,BONFIM,Amazonia,0,0,0.32,3.176,-60.009,27
2018/03/09 06:05:00,AQUA_M-M,Brasil,RORAIMA,BONFIM,Amazonia,0,0,0.3,3.166,-60.033,49.9
2018/03/09 06:05:00,AQUA_M-M,Brasil,RORAIMA,BONFIM,Amazonia,0,0,0.3,3.162,-60.011,44.9
2018/03/10 05:10:00,AQUA_M-M,Brasil,RORAIMA,RORAINOPOLIS,Amazonia,0,0,0.05,0.445,-60.411,25.3
