Campo,Valor,Porcentagem do Total de Focos
MATO GROSSO,19796,40.73%
TOCANTINS,8126,16.72%
BAHIA,3850,7.92%
MINAS GERAIS,2799,5.76%
MATO GROSSO DO SUL,1967,4.05%
GOIÁS,1916,3.94%
SÃO PAULO,1776,3.65%
MARANHÃO,1578,3.25%
PARÁ,1535,3.16%
PIAUÍ,921,1.89%
RONDÔNIA,840,1.73%
PARANÁ,736,1.51%
RORAIMA,475,0.98%
RIO GRANDE DO SUL,327,0.67%
PERNAMBUCO,315,0.65%
AMAZONAS,300,0.62%
RIO DE JANEIRO,275,0.57%
ACRE,262,0.54%
ESPÍRITO SANTO,232,0.48%
ALAGOAS,148,0.30%
CEARÁ,104,0.21%
SANTA CATARINA,95,0.20%
SERGIPE,85,0.17%
PARAÍBA,55,0.11%
RIO GRANDE DO NORTE,51,0.10%
DISTRITO FEDERAL,39,0.08%
AMAPÁ,5,0.01%
