Local,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,ANO
ACRE,20,54,12,19,49,314,943,1624,15352,6199,1047,168,2015
ALAGOAS,1363,858,707,835,137,22,2,3,188,533,2041,1613,2015
AMAPÁ,368,24,6,22,16,36,54,26,1910,7299,13987,3874,2015
AMAZONAS,280,501,245,217,170,501,2924,4235,42512,20770,6763,3951,2015
BAHIA,4652,1696,2232,1753,1761,2630,3930,791,76583,57105,21323,15523,2015
CEARÁ,2079,512,135,111,264,268,307,118,2500,5734,8900,7088,2015
DISTRITO FEDERAL,59,14,16,7,42,67,198,53,633,337,40,6,2015
ESPÍRITO SANTO,1458,748,391,258,153,212,198,28,1918,2516,1479,1394,2015
GOIÁS,1455,396,217,346,1040,2941,4629,876,28154,28078,6886,1842,2015
MARANHÃO,4443,504,218,474,1505,7741,18236,5411,77373,122841,87876,78632,2015
MATO GROSSO,4766,1636,1593,2053,3809,15780,19203,4498,123839,80715,21165,14933,2015
MATO GROSSO DO SUL,2159,1002,1032,814,692,2417,3255,1200,14150,5070,2945,4213,2015
MINAS GERAIS,2660,911,685,782,1186,2064,3412,962,29604,39948,16212,3780,2015
PARÁ,8176,792,273,322,797,3267,9662,7672,110151,109569,131747,104272,2015
PARAÍBA,772,382,188,142,106,35,37,5,525,1172,2038,1172,2015
PARANÁ,685,223,431,1042,751,1605,1099,640,3918,1264,231,244,2015
PERNAMBUCO,1383,896,476,580,247,89,126,21,1007,1830,3094,1876,2015
PIAUÍ,1109,180,194,234,823,3534,9878,2039,74265,58130,13552,7241,2015
RIO DE JANEIRO,1452,538,234,373,135,241,563,141,898,769,61,130,2015
RIO GRANDE DO NORTE,696,254,134,81,163,138,191,16,499,870,971,824,2015
RIO GRANDE DO SUL,250,297,792,1142,926,466,711,381,1802,486,302,278,2015
RONDÔNIA,266,175,83,134,229,1356,4422,3669,54031,23180,7611,2077,2015
RORAIMA,4027,7618,4022,5271,425,95,118,14,1001,2575,2887,4826,2015
SANTA CATARINA,121,115,250,299,289,423,415,382,951,136,81,94,2015
SÃO PAULO,1276,506,566,1101,963,1673,1859,627,4314,2713,306,418,2015
SERGIPE,461,483,485,348,51,8,5,0,53,101,613,712,2015
TOCANTINS,1696,451,220,297,3565,9904,14688,2451,67007,79128,11295,4183,2015
ACRE,80,18,16,57,200,724,3644,16338,20292,62347,449,60,2016
ALAGOAS,639,358,381,126,73,52,45,81,344,50020,1391,2176,2016
AMAPÁ,140,9,4,3,26,24,27,295,1188,41022,8578,5806,2016
AMAZONAS,6119,7244,1193,199,267,884,8638,35306,22568,30809,3445,767,2016
BAHIA,2678,3803,3626,3073,3347,5500,4795,8838,16721,30452,5363,2501,2016
CEARÁ,900,267,225,115,187,334,1215,2825,3048,19453,10228,6269,2016
DISTRITO FEDERAL,1,29,12,61,86,218,582,399,705,16071,8,14,2016
ESPÍRITO SANTO,566,379,1325,789,422,572,402,1464,1071,15403,154,209,2016
GOIÁS,146,828,548,1646,2291,3673,9651,14119,29167,14007,2028,850,2016
MARANHÃO,3561,2134,316,679,1338,5092,18348,39175,43238,13558,46924,17122,2016
MATO GROSSO,1241,4459,2378,7795,9589,14892,38284,85212,107577,11752,8244,2431,2016
MATO GROSSO DO SUL,681,519,734,1343,858,1413,6425,11483,27163,9882,3865,1350,2016
MINAS GERAIS,441,1404,1058,2060,1908,2649,8092,15599,24796,5499,1956,1158,2016
PARÁ,15456,3191,465,505,1286,5374,15743,57431,42752,3615,57514,24077,2016
PARAÍBA,204,122,119,53,40,79,155,478,990,3253,1992,1375,2016
PARANÁ,874,151,802,2212,711,1641,4176,5499,7452,3097,2377,564,2016
PERNAMBUCO,310,328,222,179,163,178,236,559,1530,2529,2679,2399,2016
PIAUÍ,496,736,312,318,612,1918,8474,18590,16448,2089,14239,3305,2016
RIO DE JANEIRO,57,128,97,562,250,196,933,1939,1444,1094,292,109,2016
RIO GRANDE DO NORTE,131,97,100,119,154,170,257,390,598,1092,1220,799,2016
RIO GRANDE DO SUL,597,416,370,195,203,1751,4814,7135,4081,1082,1063,1011,2016
RONDÔNIA,640,493,101,450,574,1737,9676,45083,43266,952,3598,735,2016
RORAIMA,16387,4729,26254,1784,148,92,37,169,258,798,786,950,2016
SANTA CATARINA,466,42,204,297,212,609,3128,4193,3420,432,879,257,2016
SÃO PAULO,502,644,642,3180,1566,1959,7022,7100,6346,262,1114,675,2016
SERGIPE,117,327,423,169,93,48,28,27,54,170,358,559,2016
TOCANTINS,175,2909,774,2480,6398,10236,30904,52730,54061,152,8111,1010,2016
ACRE,10,47,14,29,89,233,2092,7184,15528,9491,461,92,2017
ALAGOAS,1917,961,475,134,23,8,5,11,43,136,565,607,2017
