datahora,estado,riscofogo,riscoAbsoluto
2015/10/18 16:51:00,BAHIA,1,1
2015/10/01 16:10:00,MARANHAO,1,1
2015/10/01 16:10:00,MARANHAO,1,1
2015/10/01 17:47:00,TOCANTINS,0.72,1
2015/10/01 17:47:00,RONDONIA,1,1
2015/10/01 17:47:00,MATO GROSSO,1,1
2015/10/01 17:46:00,MATO GROSSO,0.7,1
2015/10/01 17:46:00,MATO GROSSO,0.42,0
2015/10/01 17:46:00,MATO GROSSO,0.7,1
2015/10/01 17:46:00,MATO GROSSO,0.78,1
2015/10/01 17:47:00,MATO GROSSO,0,0
2015/10/01 17:47:00,RONDONIA,1,1
2015/10/01 17:47:00,MATO GROSSO,0,0
2015/10/01 17:47:00,RONDONIA,0.96,1
2015/10/01 17:47:00,MATO GROSSO,0.69,0
2015/10/01 17:47:00,RONDONIA,0.96,1
2015/10/01 17:47:00,MATO GROSSO,0.43,0
2015/10/01 17:47:00,RONDONIA,0.06,0
2015/10/01 17:47:00,MATO GROSSO,0.86,1
2015/10/01 17:47:00,MATO GROSSO,0.52,0
2015/10/01 17:47:00,MATO GROSSO,1,1
2015/10/01 17:47:00,RONDONIA,0.76,1
2015/10/01 17:47:00,RONDONIA,1,1
2015/10/01 17:47:00,RONDONIA,0.14,0
2015/10/01 17:49:00,AMAZONAS,0.95,1
2015/10/01 17:49:00,AMAZONAS,0.96,1
2015/10/01 17:48:00,PARA,1,1
2015/10/01 17:47:00,RONDONIA,0.04,0
2015/10/01 17:47:00,RONDONIA,1,1
2015/10/01 17:47:00,MATO GROSSO,0.03,0
2015/10/01 17:47:00,RONDONIA,1,1
2015/10/01 17:47:00,MATO GROSSO,0.15,0
2015/10/01 17:47:00,MATO GROSSO,0.01,0
2015/10/01 17:47:00,RONDONIA,0.04,0
2015/10/01 16:07:00,MINAS GERAIS,1,1
2015/10/01 16:09:00,PIAUI,1,1
2015/10/01 16:10:00,MARANHAO,1,1
2015/10/01 16:10:00,MARANHAO,1,1
2015/10/01 16:10:00,RIO GRANDE DO NORTE,1,1
2015/10/01 16:10:00,PIAUI,1,1
2015/10/01 16:10:00,MARANHAO,1,1
2015/10/01 16:10:00,MARANHAO,1,1
2015/10/01 16:10:00,PIAUI,1,1
2015/10/01 16:10:00,PIAUI,1,1
2015/10/01 16:09:00,PIAUI,1,1
2015/10/01 16:06:00,MINAS GERAIS,1,1
2015/10/01 16:06:00,MINAS GERAIS,1,1
2015/10/01 16:06:00,ESPIRITO SANTO,1,1
2015/10/01 16:06:00,MINAS GERAIS,1,1
2015/10/01 16:11:00,MARANHAO,1,1
2015/10/01 16:11:00,MARANHAO,1,1
2015/10/01 16:11:00,MARANHAO,,0
2015/10/01 16:11:00,MARANHAO,1,1
2015/10/01 16:11:00,MARANHAO,1,1
2015/10/01 16:11:00,MARANHAO,1,1
2015/10/01 16:11:00,MARANHAO,1,1
2015/10/01 16:11:00,MARANHAO,1,1
2015/10/01 16:11:00,MARANHAO,1,1
2015/10/01 16:10:00,PIAUI,1,1
2015/10/01 16:10:00,PIAUI,1,1
2015/10/01 16:10:00,PIAUI,1,1
2015/10/01 16:10:00,MARANHAO,1,1
2015/10/01 16:10:00,PIAUI,1,1
2015/10/01 16:10:00,MARANHAO,1,1
2015/10/01 16:10:00,MARANHAO,1,1
2015/10/01 16:10:00,PIAUI,1,1
2015/10/01 16:10:00,MARANHAO,1,1
