datahora,estado,riscofogo,riscoAbsoluto
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,SERGIPE,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,BAHIA,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,BAHIA,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:50:00,PERNAMBUCO,,0
2016/12/01 15:50:00,ALAGOAS,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,RIO GRANDE DO NORTE,,0
2016/12/01 15:51:00,PIAUI,,0
2016/12/01 15:51:00,RIO GRANDE DO NORTE,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,RIO GRANDE DO NORTE,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,RIO GRANDE DO NORTE,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,PARAIBA,,0
2016/12/01 15:51:00,PIAUI,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,RIO GRANDE DO NORTE,,0
2016/12/01 15:51:00,RIO GRANDE DO NORTE,,0
2016/12/01 15:51:00,PERNAMBUCO,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,RIO GRANDE DO NORTE,,0
2016/12/01 15:51:00,PARAIBA,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,PARAIBA,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,PARAIBA,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,PARAIBA,,0
2016/12/01 15:51:00,RIO GRANDE DO NORTE,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,CEARA,,0
2016/12/01 15:51:00,PARAIBA,,0
2016/12/01 15:52:00,MARANHAO,,0
2016/12/01 15:52:00,CEARA,,0
2016/12/01 15:52:00,CEARA,,0
2016/12/01 15:52:00,MARANHAO,,0
2016/12/01 15:52:00,CEARA,,0
2016/12/01 15:52:00,CEARA,,0
2016/12/01 15:52:00,PIAUI,,0
2016/12/01 15:52:00,PIAUI,,0
2016/12/01 15:52:00,PIAUI,,0
2016/12/01 15:52:00,MARANHAO,,0
2016/12/01 15:52:00,CEARA,,0
