datahora,estado,riscofogo,riscoAbsoluto
2016/07/01 15:58:00,MARANHAO,1,1
2016/07/01 15:58:00,MARANHAO,0.21,0
2016/07/01 15:58:00,MARANHAO,1,1
2016/07/01 15:58:00,MARANHAO,,0
2016/07/01 15:58:00,CEARA,,0
2016/07/01 15:58:00,MARANHAO,0.44,0
2016/07/01 15:58:00,CEARA,,0
2016/07/01 15:58:00,MARANHAO,0.44,0
2016/07/01 15:58:00,MARANHAO,0.21,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.66,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.27,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.23,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,1,1
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.26,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.31,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.27,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.25,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.27,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.29,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,1,1
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.27,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.25,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.26,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,1,1
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.23,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.27,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,1,1
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.26,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.26,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,1,1
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.28,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.27,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.97,1
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.94,1
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.3,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.26,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,1,1
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.28,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.27,0
2016/07/01 17:29:00,RIO GRANDE DO SUL,0.24,0
2016/07/01 17:30:00,PARANA,,0
2016/07/01 17:30:00,SANTA CATARINA,1,1
