datahora,estado,riscofogo,riscoAbsoluto
2016/11/01 15:37:00,SERGIPE,,0
2016/11/01 15:38:00,CEARA,,0
2016/11/01 15:38:00,CEARA,,0
2016/11/01 15:38:00,PARAIBA,,0
2016/11/01 15:38:00,ALAGOAS,,0
2016/11/01 15:38:00,PARAIBA,,0
2016/11/01 15:38:00,ALAGOAS,,0
2016/11/01 15:38:00,CEARA,,0
2016/11/01 15:38:00,CEARA,,0
2016/11/01 15:38:00,PARAIBA,,0
2016/11/01 15:38:00,CEARA,,0
2016/11/01 15:38:00,CEARA,,0
2016/11/01 15:38:00,PARAIBA,,0
2016/11/01 15:38:00,PARAIBA,,0
2016/11/01 15:38:00,ALAGOAS,,0
2016/11/01 15:38:00,PARAIBA,,0
2016/11/01 15:38:00,BAHIA,,0
2016/11/01 15:38:00,CEARA,,0
2016/11/01 15:39:00,RIO GRANDE DO NORTE,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,RIO GRANDE DO NORTE,,0
2016/11/01 15:39:00,RIO GRANDE DO NORTE,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,RIO GRANDE DO NORTE,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,CEARA,,0
2016/11/01 15:39:00,RIO GRANDE DO NORTE,,0
2016/11/01 17:11:00,SANTA CATARINA,,0
2016/11/01 17:11:00,SANTA CATARINA,,0
2016/11/01 17:11:00,SANTA CATARINA,,0
2016/11/01 17:11:00,SANTA CATARINA,,0
2016/11/01 17:11:00,SANTA CATARINA,,0
2016/11/01 17:11:00,SANTA CATARINA,,0
2016/11/01 17:11:00,SANTA CATARINA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SAO PAULO,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SAO PAULO,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,SANTA CATARINA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:12:00,PARANA,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,PARANA,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:13:00,MATO GROSSO DO SUL,,0
2016/11/01 17:14:00,MATO GROSSO,,0
2016/11/01 17:14:00,MATO GROSSO,,0
