datahora,estado,riscofogo,riscoAbsoluto
2018/01/01 05:35:00,MATO GROSSO,,0
2018/01/01 05:35:00,MATO GROSSO,,0
2018/01/01 05:35:00,AMAZONAS,0.02,0
2018/01/01 05:35:00,MATO GROSSO,0.64,0
2018/01/01 05:35:00,MATO GROSSO,0.64,0
2018/01/01 05:35:00,RONDONIA,0.05,0
2018/01/02 04:40:00,MARANHAO,0.59,0
2018/01/03 03:45:00,PERNAMBUCO,1,1
2018/01/03 03:45:00,PERNAMBUCO,0.89,1
2018/01/03 03:45:00,ALAGOAS,1,1
2018/01/03 05:20:00,PARA,0.01,0
2018/01/04 04:25:00,PARA,0,0
2018/01/04 04:25:00,MARANHAO,0.03,0
2018/01/04 04:25:00,MARANHAO,0.2,0
2018/01/04 04:25:00,MARANHAO,0.03,0
2018/01/04 04:35:00,RIO GRANDE DO SUL,0.05,0
2018/01/05 03:30:00,PARAIBA,1,1
2018/01/05 03:30:00,PARAIBA,1,1
2018/01/05 03:30:00,PERNAMBUCO,1,1
2018/01/05 03:30:00,PERNAMBUCO,1,1
2018/01/05 03:30:00,PERNAMBUCO,1,1
2018/01/05 05:10:00,PARA,0.02,0
2018/01/05 05:10:00,PARA,0,0
2018/01/05 05:10:00,PARA,0,0
2018/01/05 05:10:00,PARA,0,0
2018/01/05 05:10:00,PARA,0,0
2018/01/05 05:10:00,PARA,0,0
2018/01/05 05:10:00,MATO GROSSO,0.02,0
2018/01/05 05:10:00,MATO GROSSO,0.02,0
2018/01/05 05:10:00,MATO GROSSO,0.01,0
2018/01/05 05:10:00,MATO GROSSO,0,0
2018/01/05 05:10:00,MATO GROSSO,0,0
2018/01/05 05:10:00,MATO GROSSO,0,0
2018/01/06 04:15:00,ALAGOAS,1,1
2018/01/06 04:15:00,ALAGOAS,1,1
2018/01/06 05:50:00,RORAIMA,0.47,0
2018/01/06 05:50:00,RORAIMA,0.48,0
2018/01/06 05:50:00,RORAIMA,0.68,0
2018/01/06 05:55:00,AMAZONAS,0,0
2018/01/08 04:00:00,PERNAMBUCO,1,1
2018/01/08 04:00:00,PERNAMBUCO,1,1
2018/01/08 04:00:00,PERNAMBUCO,1,1
2018/01/08 04:05:00,ALAGOAS,1,1
2018/01/08 04:05:00,BAHIA,0.34,0
2018/01/08 04:05:00,BAHIA,0.56,0
2018/01/08 05:40:00,RORAIMA,0.32,0
2018/01/08 05:40:00,RORAIMA,0.49,0
2018/01/08 05:40:00,RORAIMA,0.53,0
2018/01/08 05:40:00,RORAIMA,0.93,1
2018/01/09 04:45:00,MARANHAO,0,0
2018/01/09 04:45:00,MARANHAO,0,0
2018/01/09 04:45:00,PARA,0.01,0
2018/01/09 04:45:00,PARA,0.02,0
2018/01/09 04:45:00,PARA,0.02,0
2018/01/09 04:50:00,RIO GRANDE DO SUL,0.82,1
2018/01/09 04:50:00,RIO GRANDE DO SUL,1,1
2018/01/09 04:50:00,RIO GRANDE DO SUL,1,1
2018/01/10 03:50:00,PARAIBA,1,1
2018/01/10 05:30:00,MATO GROSSO,0,0
2018/01/11 04:35:00,TOCANTINS,0,0
2018/01/11 04:35:00,RIO DE JANEIRO,0.33,0
2018/01/11 04:35:00,GOIAS,0,0
2018/01/12 03:40:00,PARAIBA,0.69,0
2018/01/12 03:40:00,PARAIBA,0.66,0
2018/01/12 05:15:00,RORAIMA,0.01,0
2018/01/12 05:15:00,RORAIMA,0.6,0
2018/01/12 05:15:00,RORAIMA,0.61,0
2018/01/12 05:15:00,RORAIMA,0.59,0
2018/01/12 05:15:00,RORAIMA,0.59,0
2018/01/12 05:15:00,RORAIMA,0.71,1
2018/01/13 04:20:00,BAHIA,1,1
2018/01/14 05:00:00,PARA,0,0
2018/01/14 05:00:00,RORAIMA,0.92,1
2018/01/14 05:00:00,RORAIMA,0.94,1
2018/01/14 05:00:00,RORAIMA,0.3,0
2018/01/14 05:00:00,RORAIMA,0.3,0
2018/01/14 05:05:00,PARA,0,0
2018/01/15 04:10:00,ALAGOAS,1,1
2018/01/15 04:10:00,ALAGOAS,1,1
2018/01/15 04:10:00,BAHIA,0.13,0
2018/01/15 05:45:00,RORAIMA,0.06,0
2018/01/17 03:55:00,PARAIBA,0.05,0
2018/01/17 03:55:00,PARAIBA,0.75,1
2018/01/17 03:55:00,PARAIBA,0.75,1
2018/01/17 05:35:00,MATO GROSSO,0.03,0
2018/01/18 04:40:00,TOCANTINS,0.04,0
2018/01/18 04:40:00,TOCANTINS,0.14,0
2018/01/18 04:40:00,GOIAS,0.01,0
2018/01/19 03:45:00,ALAGOAS,1,1
2018/01/19 03:45:00,ALAGOAS,1,1
2018/01/19 05:25:00,MATO GROSSO,0,0
2018/01/20 04:30:00,MATO GROSSO,0.02,0
2018/01/20 04:30:00,MATO GROSSO,0.01,0
2018/01/20 04:30:00,MATO GROSSO,0.02,0
2018/01/20 04:30:00,MATO GROSSO,0.01,0
2018/01/20 04:30:00,MINAS GERAIS,0.3,0
2018/01/20 04:35:00,RIO GRANDE DO SUL,0,0
2018/01/20 04:35:00,RIO GRANDE DO SUL,0,0
2018/01/21 05:10:00,MATO GROSSO,0,0
2018/01/21 05:10:00,MATO GROSSO,0,0
2018/01/21 05:10:00,MATO GROSSO,0,0
2018/01/21 05:10:00,TOCANTINS,0,0
2018/01/21 05:10:00,MATO GROSSO,0.22,0
2018/01/21 05:10:00,MATO GROSSO,0.22,0
2018/01/21 05:10:00,MATO GROSSO,0.22,0
2018/01/21 05:15:00,MATO GROSSO DO SUL,0.03,0
2018/01/21 05:15:00,MATO GROSSO DO SUL,0.15,0
2018/01/21 05:15:00,MATO GROSSO,0.05,0
2018/01/21 05:15:00,MATO GROSSO,0.06,0
2018/01/22 05:50:00,RORAIMA,0.06,0
2018/01/22 05:50:00,RORAIMA,0.06,0
2018/01/22 05:50:00,RORAIMA,0.06,0
2018/01/22 05:50:00,RORAIMA,0.59,0
2018/01/22 05:50:00,RORAIMA,0.66,0
2018/01/22 05:50:00,RORAIMA,0.6,0
2018/01/23 04:55:00,AMAPA,0,0
2018/01/24 04:05:00,BAHIA,0,0
2018/01/24 04:05:00,BAHIA,0,0
2018/01/24 04:05:00,BAHIA,1,1
2018/01/24 04:05:00,ESPIRITO SANTO,1,1
2018/01/24 05:40:00,RORAIMA,0.28,0
2018/01/25 04:45:00,BAHIA,0.24,0
2018/01/27 04:35:00,MINAS GERAIS,0.51,0
2018/01/28 03:40:00,PARAIBA,1,1
2018/01/28 03:40:00,BAHIA,0.04,0
2018/01/28 03:40:00,BAHIA,0.04,0
2018/01/28 05:15:00,RORAIMA,0.82,1
2018/01/28 05:15:00,MATO GROSSO,0.01,0
2018/01/29 04:20:00,BAHIA,1,1
2018/01/29 05:55:00,RORAIMA,0.83,1
2018/01/29 05:55:00,RORAIMA,0.87,1
2018/01/29 05:55:00,RORAIMA,0.97,1
2018/01/29 05:55:00,RORAIMA,0.97,1
2018/01/29 05:55:00,RORAIMA,0.97,1
2018/01/29 05:55:00,RORAIMA,0.73,1
2018/01/29 05:55:00,RORAIMA,0.59,0
2018/01/30 05:00:00,RORAIMA,0.59,0
2018/01/30 05:00:00,RORAIMA,0.59,0
2018/01/30 05:10:00,SANTA CATARINA,0.08,0
2018/01/30 05:10:00,SANTA CATARINA,0.08,0
2018/01/31 04:10:00,RIO GRANDE DO NORTE,0.37,0
2018/01/31 04:10:00,RIO GRANDE DO NORTE,0.37,0
2018/01/31 04:10:00,PERNAMBUCO,0.52,0
2018/01/31 05:45:00,RORAIMA,0.29,0
2018/01/31 05:45:00,RORAIMA,0.29,0
2018/01/31 05:45:00,RORAIMA,0.29,0
2018/01/31 05:45:00,RORAIMA,0.78,1
2018/01/31 05:45:00,RORAIMA,0.86,1
2018/01/31 05:45:00,RORAIMA,0.86,1
2018/01/31 05:45:00,RORAIMA,0.82,1
2018/01/31 05:45:00,RORAIMA,0.57,0
