datahora,estado,riscofogo,riscoAbsoluto
2018/06/01 04:05:00,BAHIA,1,1
2018/06/01 04:05:00,BAHIA,1,1
2018/06/01 04:05:00,BAHIA,1,1
2018/06/01 04:05:00,BAHIA,1,1
2018/06/01 04:05:00,BAHIA,0.56,0
2018/06/01 04:05:00,BAHIA,1,1
2018/06/01 05:40:00,RONDONIA,,0
2018/06/02 04:45:00,MARANHAO,0.34,0
2018/06/02 04:45:00,MATO GROSSO,0.53,0
2018/06/02 04:45:00,MATO GROSSO,1,1
2018/06/02 04:45:00,TOCANTINS,0.61,0
2018/06/02 04:45:00,MATO GROSSO,1,1
2018/06/02 04:45:00,MATO GROSSO,1,1
2018/06/02 04:45:00,MATO GROSSO,0.43,0
2018/06/02 04:45:00,MATO GROSSO,0.43,0
2018/06/02 04:45:00,MATO GROSSO,1,1
2018/06/02 04:45:00,MATO GROSSO,0.59,0
2018/06/02 04:45:00,MATO GROSSO,0.59,0
2018/06/02 04:45:00,TOCANTINS,0.63,0
2018/06/02 04:45:00,MARANHAO,0.34,0
2018/06/02 04:45:00,TOCANTINS,0.73,1
2018/06/02 04:45:00,TOCANTINS,1,1
2018/06/02 04:45:00,TOCANTINS,0.41,0
2018/06/02 04:50:00,MATO GROSSO,1,1
2018/06/02 04:50:00,GOIAS,0.61,0
2018/06/02 04:50:00,GOIAS,0.61,0
2018/06/02 04:50:00,MATO GROSSO,1,1
2018/06/02 04:50:00,MATO GROSSO,0.47,0
2018/06/02 04:50:00,MATO GROSSO,1,1
2018/06/02 04:50:00,MATO GROSSO,0.47,0
2018/06/02 04:50:00,GOIAS,1,1
2018/06/02 04:50:00,GOIAS,1,1
2018/06/02 04:50:00,SAO PAULO,1,1
2018/06/02 04:50:00,MATO GROSSO,0.47,0
2018/06/03 05:30:00,MATO GROSSO,1,1
2018/06/04 04:35:00,TOCANTINS,0.7,1
2018/06/04 04:35:00,MARANHAO,1,1
2018/06/04 04:35:00,GOIAS,1,1
2018/06/05 05:15:00,MATO GROSSO,1,1
2018/06/05 05:15:00,MATO GROSSO,1,1
2018/06/05 05:15:00,MATO GROSSO,1,1
2018/06/05 05:15:00,MATO GROSSO,0.64,0
2018/06/05 05:20:00,MATO GROSSO,1,1
2018/06/05 05:20:00,MATO GROSSO,0.36,0
2018/06/05 05:20:00,MATO GROSSO,0.4,0
2018/06/06 04:20:00,MARANHAO,0,0
2018/06/06 04:20:00,MARANHAO,1,1
2018/06/06 04:20:00,BAHIA,1,1
2018/06/06 04:20:00,BAHIA,1,1
2018/06/06 04:20:00,BAHIA,1,1
2018/06/06 04:20:00,BAHIA,1,1
2018/06/06 04:20:00,TOCANTINS,0.68,0
2018/06/06 04:20:00,TOCANTINS,0.73,1
2018/06/06 04:20:00,TOCANTINS,0.73,1
2018/06/06 04:20:00,TOCANTINS,1,1
2018/06/06 04:20:00,TOCANTINS,1,1
2018/06/06 04:20:00,TOCANTINS,0.84,1
2018/06/06 04:25:00,SAO PAULO,1,1
2018/06/06 04:25:00,SAO PAULO,1,1
2018/06/07 05:05:00,MATO GROSSO,1,1
2018/06/07 05:05:00,MATO GROSSO,1,1
2018/06/07 05:05:00,MATO GROSSO,0.55,0
2018/06/07 05:05:00,MATO GROSSO,0.51,0
2018/06/07 05:05:00,MATO GROSSO,0.51,0
2018/06/07 05:05:00,MATO GROSSO,0.59,0
2018/06/07 05:05:00,MATO GROSSO,0.59,0
2018/06/07 05:05:00,MATO GROSSO,0.76,1
2018/06/07 05:05:00,TOCANTINS,0.44,0
2018/06/08 04:10:00,BAHIA,1,1
2018/06/08 04:10:00,BAHIA,1,1
2018/06/08 04:10:00,BAHIA,1,1
2018/06/08 04:10:00,BAHIA,1,1
2018/06/08 04:15:00,SAO PAULO,1,1
2018/06/08 04:15:00,SAO PAULO,1,1
2018/06/08 04:15:00,SAO PAULO,1,1
2018/06/08 05:50:00,MATO GROSSO,1,1
2018/06/08 05:50:00,MATO GROSSO,1,1
2018/06/08 05:50:00,MATO GROSSO,1,1
2018/06/08 05:50:00,MATO GROSSO,1,1
2018/06/08 05:50:00,MATO GROSSO,1,1
2018/06/08 05:50:00,MATO GROSSO,1,1
2018/06/09 04:50:00,PARA,0.15,0
2018/06/09 04:55:00,TOCANTINS,1,1
2018/06/09 04:55:00,BAHIA,1,1
2018/06/09 04:55:00,BAHIA,1,1
2018/06/09 04:55:00,BAHIA,1,1
2018/06/09 04:55:00,BAHIA,1,1
2018/06/09 04:55:00,MATO GROSSO,1,1
2018/06/09 04:55:00,MATO GROSSO,0.55,0
2018/06/09 04:55:00,TOCANTINS,0.86,1
2018/06/09 04:55:00,MATO GROSSO,0.49,0
2018/06/09 04:55:00,MATO GROSSO,0.49,0
2018/06/09 04:55:00,MATO GROSSO,1,1
2018/06/09 04:55:00,MATO GROSSO,1,1
2018/06/09 04:55:00,MATO GROSSO,1,1
2018/06/09 04:55:00,MATO GROSSO,1,1
2018/06/09 04:55:00,MATO GROSSO,1,1
2018/06/09 04:55:00,MATO GROSSO,1,1
2018/06/09 04:55:00,MATO GROSSO,1,1
2018/06/09 04:55:00,MATO GROSSO,1,1
2018/06/09 04:55:00,MATO GROSSO,1,1
2018/06/09 04:55:00,MATO GROSSO,0.45,0
2018/06/09 04:55:00,MATO GROSSO,0.54,0
2018/06/09 04:55:00,MATO GROSSO,0.48,0
2018/06/09 04:55:00,MATO GROSSO,1,1
2018/06/09 04:55:00,MATO GROSSO,0.47,0
2018/06/09 04:55:00,MATO GROSSO,0.46,0
2018/06/09 04:55:00,BAHIA,1,1
2018/06/09 04:55:00,BAHIA,1,1
2018/06/09 04:55:00,BAHIA,1,1
2018/06/10 03:55:00,BAHIA,1,1
2018/06/10 04:00:00,BAHIA,1,1
2018/06/10 04:00:00,BAHIA,1,1
2018/06/10 04:00:00,BAHIA,1,1
2018/06/10 04:00:00,BAHIA,1,1
2018/06/10 04:00:00,BAHIA,1,1
2018/06/10 04:00:00,BAHIA,1,1
2018/06/10 05:35:00,MATO GROSSO,1,1
2018/06/10 05:35:00,MATO GROSSO,0.5,0
2018/06/10 05:35:00,MATO GROSSO,1,1
2018/06/10 05:35:00,MATO GROSSO,1,1
2018/06/10 05:35:00,MATO GROSSO,0.5,0
2018/06/10 05:35:00,MATO GROSSO,1,1
2018/06/10 05:35:00,MATO GROSSO,0.62,0
2018/06/10 05:35:00,RONDONIA,1,1
2018/06/10 05:35:00,RONDONIA,0.33,0
2018/06/10 05:35:00,MATO GROSSO,0.62,0
2018/06/11 04:40:00,TOCANTINS,1,1
2018/06/11 04:40:00,BAHIA,1,1
2018/06/11 04:40:00,BAHIA,1,1
2018/06/11 04:40:00,BAHIA,1,1
2018/06/11 04:40:00,BAHIA,1,1
2018/06/11 04:40:00,BAHIA,1,1
2018/06/11 04:40:00,BAHIA,1,1
2018/06/11 04:40:00,BAHIA,1,1
2018/06/11 04:40:00,MATO GROSSO,0.71,1
2018/06/11 04:40:00,TOCANTINS,0.7,1
2018/06/11 04:40:00,MATO GROSSO,1,1
