datahora,estado,riscofogo,riscoAbsoluto
2018/09/01 04:25:00,PARA,,0
2018/09/01 04:25:00,PARA,0.63,0
2018/09/01 04:25:00,PARA,0.94,1
2018/09/01 04:25:00,PARA,0.93,1
2018/09/01 04:25:00,PARA,0.93,1
2018/09/01 04:25:00,PARA,0.93,1
2018/09/01 04:25:00,PARA,0.93,1
2018/09/01 04:25:00,PARA,0.93,1
2018/09/01 04:25:00,PARA,0.94,1
2018/09/01 04:25:00,PARA,0.93,1
2018/09/01 04:25:00,PARA,0.93,1
2018/09/01 04:25:00,PARA,0.93,1
2018/09/01 04:25:00,PARA,0.94,1
2018/09/01 04:25:00,PARA,0.93,1
2018/09/01 04:25:00,PARA,1,1
2018/09/01 04:25:00,PARA,1,1
2018/09/01 04:25:00,PARA,1,1
2018/09/01 04:25:00,MARANHAO,0.81,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,TOCANTINS,1,1
2018/09/01 04:25:00,TOCANTINS,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,MARANHAO,1,1
2018/09/01 04:25:00,PIAUI,1,1
2018/09/01 04:25:00,PIAUI,1,1
2018/09/01 04:25:00,PIAUI,1,1
2018/09/01 04:25:00,PIAUI,1,1
2018/09/01 04:25:00,PIAUI,1,1
2018/09/01 04:25:00,PIAUI,1,1
2018/09/01 04:25:00,PARA,0.74,1
2018/09/01 04:25:00,PARA,0.94,1
2018/09/01 04:25:00,PARA,1,1
2018/09/01 04:25:00,PARA,1,1
2018/09/01 04:25:00,PARA,1,1
2018/09/01 04:25:00,PARA,0.76,1
2018/09/01 04:30:00,SAO PAULO,,0
2018/09/01 04:30:00,PIAUI,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,BAHIA,1,1
2018/09/01 04:30:00,BAHIA,1,1
2018/09/01 04:30:00,GOIAS,1,1
2018/09/01 04:30:00,PIAUI,1,1
2018/09/01 04:30:00,PIAUI,1,1
2018/09/01 04:30:00,MATO GROSSO,0.8,1
2018/09/01 04:30:00,PARA,0.44,0
2018/09/01 04:30:00,PARA,0.45,0
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,0.91,1
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,0.91,1
2018/09/01 04:30:00,GOIAS,1,1
2018/09/01 04:30:00,DISTRITO FEDERAL,1,1
2018/09/01 04:30:00,MINAS GERAIS,1,1
2018/09/01 04:30:00,MINAS GERAIS,1,1
2018/09/01 04:30:00,MINAS GERAIS,1,1
2018/09/01 04:30:00,MINAS GERAIS,1,1
2018/09/01 04:30:00,MINAS GERAIS,0.88,1
2018/09/01 04:30:00,MINAS GERAIS,0.88,1
2018/09/01 04:30:00,SAO PAULO,1,1
2018/09/01 04:30:00,SAO PAULO,1,1
2018/09/01 04:30:00,MINAS GERAIS,1,1
2018/09/01 04:30:00,SAO PAULO,1,1
2018/09/01 04:30:00,SAO PAULO,1,1
2018/09/01 04:30:00,GOIAS,1,1
2018/09/01 04:30:00,GOIAS,1,1
2018/09/01 04:30:00,SAO PAULO,1,1
2018/09/01 04:30:00,SAO PAULO,1,1
2018/09/01 04:30:00,SAO PAULO,1,1
2018/09/01 04:30:00,RIO DE JANEIRO,1,1
2018/09/01 04:30:00,MATO GROSSO DO SUL,1,1
2018/09/01 04:30:00,MINAS GERAIS,0.94,1
2018/09/01 04:30:00,MINAS GERAIS,0.94,1
2018/09/01 04:30:00,SAO PAULO,1,1
2018/09/01 04:30:00,MATO GROSSO DO SUL,0,0
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,MATO GROSSO,1,1
2018/09/01 04:30:00,GOIAS,1,1
2018/09/01 04:30:00,GOIAS,1,1
2018/09/01 04:30:00,GOIAS,1,1
2018/09/01 04:30:00,GOIAS,1,1
2018/09/01 04:30:00,GOIAS,1,1
2018/09/01 04:30:00,GOIAS,1,1
2018/09/01 04:30:00,MINAS GERAIS,1,1
2018/09/01 04:30:00,MINAS GERAIS,1,1
2018/09/01 04:30:00,MINAS GERAIS,1,1
2018/09/01 04:30:00,MINAS GERAIS,1,1
2018/09/01 04:30:00,SAO PAULO,1,1
2018/09/01 04:30:00,SAO PAULO,1,1
2018/09/01 04:30:00,SAO PAULO,1,1
2018/09/01 04:30:00,PARANA,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,MATO GROSSO,0.8,1
2018/09/01 04:30:00,GOIAS,0.91,1
2018/09/01 04:30:00,GOIAS,0.91,1
2018/09/01 04:30:00,GOIAS,0.91,1
2018/09/01 04:30:00,GOIAS,0.91,1
2018/09/01 04:30:00,GOIAS,0.91,1
2018/09/01 04:30:00,SAO PAULO,1,1
2018/09/01 04:30:00,PIAUI,1,1
2018/09/01 04:30:00,MARANHAO,1,1
2018/09/01 04:30:00,MARANHAO,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 04:30:00,TOCANTINS,1,1
2018/09/01 06:05:00,AMAZONAS,0.07,0
2018/09/01 06:05:00,RONDONIA,0.02,0
2018/09/01 06:05:00,RONDONIA,0.84,1
2018/09/01 06:05:00,AMAZONAS,0,0
2018/09/01 06:05:00,AMAZONAS,0.02,0
2018/09/01 06:05:00,AMAZONAS,0.02,0
2018/09/01 06:05:00,AMAZONAS,0.02,0
2018/09/01 06:05:00,AMAZONAS,0.03,0
2018/09/01 06:05:00,AMAZONAS,0.03,0
2018/09/01 06:05:00,RONDONIA,0.05,0
2018/09/01 06:05:00,RONDONIA,0.28,0
2018/09/01 06:05:00,RONDONIA,0,0
2018/09/01 06:05:00,RONDONIA,0,0
2018/09/01 06:05:00,RONDONIA,0,0
2018/09/01 06:05:00,AMAZONAS,0,0
2018/09/01 06:05:00,AMAZONAS,0.08,0
2018/09/01 06:05:00,AMAZONAS,0.08,0
2018/09/01 06:05:00,AMAZONAS,0.08,0
2018/09/01 06:05:00,RONDONIA,0.17,0
2018/09/01 06:05:00,AMAZONAS,0.05,0
2018/09/01 06:05:00,AMAZONAS,0,0
2018/09/02 03:30:00,CEARA,1,1
2018/09/02 05:10:00,PARA,0.91,1
2018/09/02 05:10:00,PARA,0.9,1
2018/09/02 05:10:00,PARA,0.91,1
2018/09/02 05:10:00,PARA,0.25,0
2018/09/02 05:10:00,PARA,0.32,0
2018/09/02 05:10:00,PARA,0.73,1
2018/09/02 05:10:00,GOIAS,1,1
2018/09/02 05:10:00,GOIAS,1,1
2018/09/02 05:10:00,GOIAS,1,1
2018/09/02 05:10:00,GOIAS,1,1
2018/09/02 05:10:00,MATO GROSSO,0.81,1
2018/09/02 05:10:00,MATO GROSSO,0.49,0
2018/09/02 05:10:00,MATO GROSSO,0.47,0
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
2018/09/02 05:10:00,MATO GROSSO,1,1
