datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/05/01 16:16:00,AQUA_M-T,Brasil,SERGIPE,CAPELA,Mata Atlantica,,0.1,1,-10.553,-37.013,
2015/05/01 16:16:00,AQUA_M-T,Brasil,ALAGOAS,MINADOR DO NEGRAO,Caatinga,,0,1,-9.347,-36.892,
2015/05/01 16:16:00,AQUA_M-T,Brasil,SERGIPE,MONTE ALEGRE DE SERGIPE,Caatinga,,0,1,-10.089,-37.554,
2015/05/01 16:16:00,AQUA_M-T,Brasil,SERGIPE,MONTE ALEGRE DE SERGIPE,Caatinga,,0,1,-10.087,-37.545,
2015/05/01 16:16:00,AQUA_M-T,Brasil,PERNAMBUCO,AGUA PRETA,Mata Atlantica,,0,1,-8.75,-35.561,
2015/05/01 16:16:00,AQUA_M-T,Brasil,SERGIPE,CAPELA,Mata Atlantica,,0.1,1,-10.551,-37.003,
2015/05/01 16:17:00,AQUA_M-T,Brasil,CEARA,MORADA NOVA,Caatinga,,0,,-4.803,-38.551,
2015/05/01 16:17:00,AQUA_M-T,Brasil,CEARA,QUIXERE,Caatinga,,0,,-5.138,-37.813,
2015/05/01 16:17:00,AQUA_M-T,Brasil,CEARA,ALTO SANTO,Caatinga,,0,,-5.478,-38.384,
2015/05/01 16:17:00,AQUA_M-T,Brasil,MARANHAO,SAO JOAO DO SOTER,Cerrado,,1.7,0.03,-5.059,-43.676,
2015/05/01 16:17:00,AQUA_M-T,Brasil,MARANHAO,SAO JOAO DO SOTER,Cerrado,,1.7,0.08,-5.047,-43.664,
2015/05/01 16:17:00,AQUA_M-T,Brasil,MARANHAO,SAO JOAO DO SOTER,Cerrado,,1.7,0.08,-5.057,-43.663,
2015/05/01 16:17:00,AQUA_M-T,Brasil,PARAIBA,SAPE,Mata Atlantica,,0.5,0.45,-7.021,-35.225,
2015/05/01 16:18:00,AQUA_M-T,Brasil,CEARA,ITAITINGA,Caatinga,,0,,-3.952,-38.521,
2015/05/01 16:18:00,AQUA_M-T,Brasil,MARANHAO,MILAGRES DO MARANHAO,Cerrado,,0,,-3.502,-42.682,
2015/05/01 17:49:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,BUTIA,Pampa,,0,0.02,-30.345,-52.039,
