datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/10/18 16:51:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,0,1,-11.152,-43.712,
2015/10/01 16:10:00,AQUA_M-T,Brasil,MARANHAO,CAROLINA,Cerrado,,0,1,-7.226,-46.897,
2015/10/01 16:10:00,AQUA_M-T,Brasil,MARANHAO,CAROLINA,Cerrado,,0,1,-7.217,-47.009,
2015/10/01 17:47:00,AQUA_M-T,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,,0,0.72,-11.133,-50.537,
2015/10/01 17:47:00,AQUA_M-T,Brasil,RONDONIA,ARIQUEMES,Amazonia,,3.3,1,-9.852,-62.939,
2015/10/01 17:47:00,AQUA_M-T,Brasil,MATO GROSSO,RONDOLANDIA,Amazonia,,5.8,1,-10.555,-61.147,
2015/10/01 17:46:00,AQUA_M-T,Brasil,MATO GROSSO,NOVO SANTO ANTONIO,Cerrado,,0,0.7,-12.643,-50.767,
2015/10/01 17:46:00,AQUA_M-T,Brasil,MATO GROSSO,COMODORO,Amazonia,,0.5,0.42,-13.505,-60.365,
2015/10/01 17:46:00,AQUA_M-T,Brasil,MATO GROSSO,SERRA NOVA DOURADA,Cerrado,,0,0.7,-11.967,-51.498,
2015/10/01 17:46:00,AQUA_M-T,Brasil,MATO GROSSO,BARRA DO BUGRES,Cerrado,,0.5,0.78,-15.158,-56.954,
2015/10/01 17:47:00,AQUA_M-T,Brasil,MATO GROSSO,COLNIZA,Amazonia,,4.5,0,-9.526,-59.425,
2015/10/01 17:47:00,AQUA_M-T,Brasil,RONDONIA,MIRANTE DA SERRA,Amazonia,,0,1,-11.067,-62.752,
2015/10/01 17:47:00,AQUA_M-T,Brasil,MATO GROSSO,COLNIZA,Amazonia,,2.5,0,-9.693,-59.183,
2015/10/01 17:47:00,AQUA_M-T,Brasil,RONDONIA,ARIQUEMES,Amazonia,,14.4,0.96,-9.825,-62.477,
2015/10/01 17:47:00,AQUA_M-T,Brasil,MATO GROSSO,CONFRESA,Amazonia,,0,0.69,-10.237,-51.453,
2015/10/01 17:47:00,AQUA_M-T,Brasil,RONDONIA,CAMPO NOVO DE RONDONIA,Amazonia,,0,0.96,-10.686,-63.67,
2015/10/01 17:47:00,AQUA_M-T,Brasil,MATO GROSSO,PARANAITA,Amazonia,,14.6,0.43,-9.374,-57.064,
2015/10/01 17:47:00,AQUA_M-T,Brasil,RONDONIA,THEOBROMA,Amazonia,,9.8,0.06,-10.056,-62.488,
2015/10/01 17:47:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO XINGU,Amazonia,,0,0.86,-10.826,-52.646,
2015/10/01 17:47:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA BANDEIRANTES,Amazonia,,3.5,0.52,-10.236,-58.062,
2015/10/01 17:47:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO XINGU,Amazonia,,0,1,-10.828,-52.669,
2015/10/01 17:47:00,AQUA_M-T,Brasil,RONDONIA,CAMPO NOVO DE RONDONIA,Amazonia,,0,0.76,-10.671,-63.668,
2015/10/01 17:47:00,AQUA_M-T,Brasil,RONDONIA,NOVA MAMORE,Amazonia,,0,1,-10.295,-64.559,
2015/10/01 17:47:00,AQUA_M-T,Brasil,RONDONIA,ARIQUEMES,Amazonia,,5.1,0.14,-9.958,-62.976,
2015/10/01 17:49:00,AQUA_M-T,Brasil,AMAZONAS,BERURI,Amazonia,,11.9,0.95,-3.758,-61.3,
2015/10/01 17:49:00,AQUA_M-T,Brasil,AMAZONAS,BARREIRINHA,Amazonia,,0,0.96,-2.928,-57.233,
2015/10/01 17:48:00,AQUA_M-T,Brasil,PARA,ALTAMIRA,Amazonia,,1.5,1,-8.09,-55.063,
2015/10/01 17:47:00,AQUA_M-T,Brasil,RONDONIA,VALE DO ANARI,Amazonia,,0.6,0.04,-9.839,-62.124,
2015/10/01 17:47:00,AQUA_M-T,Brasil,RONDONIA,URUPA,Amazonia,,1.2,1,-11.113,-62.555,
2015/10/01 17:47:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazonia,,12.9,0.03,-10.586,-57.394,
2015/10/01 17:47:00,AQUA_M-T,Brasil,RONDONIA,MONTE NEGRO,Amazonia,,0.3,1,-10.299,-63.311,
2015/10/01 17:47:00,AQUA_M-T,Brasil,MATO GROSSO,ARIPUANA,Amazonia,,5.4,0.15,-10.137,-59.229,
2015/10/01 17:47:00,AQUA_M-T,Brasil,MATO GROSSO,COLNIZA,Amazonia,,2.5,0.01,-9.776,-59.342,
2015/10/01 17:47:00,AQUA_M-T,Brasil,RONDONIA,MONTE NEGRO,Amazonia,,0.1,0.04,-10.271,-63.432,
2015/10/01 16:07:00,AQUA_M-T,Brasil,MINAS GERAIS,BANDEIRA,Mata Atlantica,,0,1,-15.929,-40.708,
2015/10/01 16:09:00,AQUA_M-T,Brasil,PIAUI,RIACHO FRIO,Cerrado,,0,1,-10.043,-44.872,
2015/10/01 16:10:00,AQUA_M-T,Brasil,MARANHAO,PARNARAMA,Cerrado,,0,1,-5.556,-43.545,
2015/10/01 16:10:00,AQUA_M-T,Brasil,MARANHAO,TIMBIRAS,Cerrado,,0,1,-4.184,-43.847,
2015/10/01 16:10:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SERRINHA DOS PINTOS,Caatinga,,0,1,-6.099,-37.962,
2015/10/01 16:10:00,AQUA_M-T,Brasil,PIAUI,OLHO D'AGUA DO PIAUI,Caatinga,,0,1,-5.848,-42.542,
2015/10/01 16:10:00,AQUA_M-T,Brasil,MARANHAO,CHAPADINHA,Cerrado,,0,1,-3.738,-43.444,
2015/10/01 16:10:00,AQUA_M-T,Brasil,MARANHAO,CHAPADINHA,Cerrado,,0,1,-3.753,-43.612,
2015/10/01 16:10:00,AQUA_M-T,Brasil,PIAUI,PORTO ALEGRE DO PIAUI,Cerrado,,0,1,-6.97,-44.087,
2015/10/01 16:10:00,AQUA_M-T,Brasil,PIAUI,INHUMA,Caatinga,,0,1,-6.571,-41.804,
2015/10/01 16:09:00,AQUA_M-T,Brasil,PIAUI,PARNAGUA,Cerrado,,0,1,-10.409,-44.481,
2015/10/01 16:06:00,AQUA_M-T,Brasil,MINAS GERAIS,MATERLANDIA,Mata Atlantica,,0,1,-18.489,-43.013,
2015/10/01 16:06:00,AQUA_M-T,Brasil,MINAS GERAIS,TUMIRITINGA,Mata Atlantica,,0,1,-19.012,-41.88,
2015/10/01 16:06:00,AQUA_M-T,Brasil,ESPIRITO SANTO,CONCEICAO DA BARRA,Mata Atlantica,,0,1,-18.541,-39.755,
2015/10/01 16:06:00,AQUA_M-T,Brasil,MINAS GERAIS,SABINOPOLIS,Mata Atlantica,,0,1,-18.455,-42.965,
2015/10/01 16:11:00,AQUA_M-T,Brasil,MARANHAO,SANTA QUITERIA DO MARANHAO,Cerrado,,0,1,-3.356,-42.746,
2015/10/01 16:11:00,AQUA_M-T,Brasil,MARANHAO,SANTA QUITERIA DO MARANHAO,Cerrado,,0,1,-3.357,-42.76,
2015/10/01 16:11:00,AQUA_M-T,Brasil,MARANHAO,ARAIOSES,Cerrado,,0,,-3.201,-42.055,
