datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,RIO AZUL,Mata Atlantica,,0,,-25.635,-50.89,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,RIO AZUL,Mata Atlantica,,0,,-25.635,-50.886,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,CONTENDA,Mata Atlantica,,0,,-25.697,-49.535,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,PONTA GROSSA,Mata Atlantica,,0,0.45,-25.202,-50.22,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,ITAPERUCU,Mata Atlantica,,0,0.82,-25.223,-49.378,
2016/08/01 16:47:00,AQUA_M-T,Brasil,SANTA CATARINA,TIMBO GRANDE,Mata Atlantica,,0.2,1,-26.683,-50.756,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,PONTA GROSSA,Mata Atlantica,,0,0.45,-25.207,-50.214,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,PONTA GROSSA,Mata Atlantica,,0,0.45,-25.209,-50.233,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,ARAUCARIA,Mata Atlantica,,0,1,-25.679,-49.398,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,SAO MATEUS DO SUL,Mata Atlantica,,0,0.9,-26.007,-50.471,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,PRUDENTOPOLIS,Mata Atlantica,,0,0.58,-25.341,-50.926,
2016/08/01 16:47:00,AQUA_M-T,Brasil,SANTA CATARINA,BALNEARIO BARRA DO SUL,Mata Atlantica,,0,0.95,-26.443,-48.673,
2016/08/01 16:47:00,AQUA_M-T,Brasil,SANTA CATARINA,MATOS COSTA,Mata Atlantica,,1.1,0.99,-26.561,-51.228,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,PRUDENTOPOLIS,Mata Atlantica,,0,0.57,-25.338,-50.905,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,CAMPO MAGRO,Mata Atlantica,,0,0.53,-25.299,-49.444,
2016/08/01 16:47:00,AQUA_M-T,Brasil,SANTA CATARINA,MONTE CASTELO,Mata Atlantica,,0,0.99,-26.499,-50.198,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,ARAUCARIA,Mata Atlantica,,0,1,-25.68,-49.387,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,BOCAIUVA DO SUL,Mata Atlantica,,0,0.41,-25.15,-49.133,
2016/08/01 16:47:00,AQUA_M-T,Brasil,PARANA,RIO BRANCO DO SUL,Mata Atlantica,,0,0.79,-25.098,-49.273,
2016/08/01 16:47:00,AQUA_M-T,Brasil,SANTA CATARINA,MONTE CASTELO,Mata Atlantica,,0,0.99,-26.496,-50.203,
2016/08/01 16:48:00,AQUA_M-T,Brasil,SAO PAULO,ITAPEVI,Mata Atlantica,,0,,-23.55,-46.98,
2016/08/01 16:48:00,AQUA_M-T,Brasil,SAO PAULO,ITAPEVI,Mata Atlantica,,0,,-23.549,-46.969,
2016/08/01 16:48:00,AQUA_M-T,Brasil,SAO PAULO,PIQUETE,Mata Atlantica,,0,0.7,-22.512,-45.15,
2016/08/01 16:48:00,AQUA_M-T,Brasil,SAO PAULO,CUNHA,Mata Atlantica,,0,1,-23.109,-44.829,
2016/08/01 16:48:00,AQUA_M-T,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,Mata Atlantica,,0,0.97,-21.67,-41.366,
2016/08/01 16:48:00,AQUA_M-T,Brasil,MINAS GERAIS,CONCEICAO DO RIO VERDE,Mata Atlantica,,0,0.67,-21.85,-45.027,
2016/08/01 16:48:00,AQUA_M-T,Brasil,MINAS GERAIS,SOLEDADE DE MINAS,Mata Atlantica,,0,1,-22.049,-45.001,
2016/08/01 16:48:00,AQUA_M-T,Brasil,RIO DE JANEIRO,ARARUAMA,Mata Atlantica,,0,0.97,-22.769,-42.265,
2016/08/01 16:48:00,AQUA_M-T,Brasil,MINAS GERAIS,SOLEDADE DE MINAS,Mata Atlantica,,0,1,-22.02,-44.996,
2016/08/01 16:48:00,AQUA_M-T,Brasil,MINAS GERAIS,CATAGUASES,Mata Atlantica,,0,0.97,-21.275,-42.66,
2016/08/01 16:48:00,AQUA_M-T,Brasil,SAO PAULO,AGUDOS,Cerrado,,0,1,-22.672,-49.171,
2016/08/01 16:48:00,AQUA_M-T,Brasil,SAO PAULO,CORONEL MACEDO,Mata Atlantica,,0,1,-23.645,-49.317,
2016/08/01 16:48:00,AQUA_M-T,Brasil,SAO PAULO,PIEDADE,Mata Atlantica,,0,0.69,-23.746,-47.386,
2016/08/01 16:48:00,AQUA_M-T,Brasil,PARANA,PRUDENTOPOLIS,Mata Atlantica,,0,0.41,-24.864,-51.21,
2016/08/01 16:48:00,AQUA_M-T,Brasil,PARANA,CASTRO,Mata Atlantica,,0,0.33,-24.75,-49.837,
