datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,CONDADO,Mata Atlantica,,,,-7.612,-35.119,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,BARREIROS,Mata Atlantica,,,,-8.782,-35.242,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,INGAZEIRA,Caatinga,,,,-7.778,-37.437,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,CAPELA,Mata Atlantica,,,,-9.272,-36.088,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,CONDADO,Mata Atlantica,,,,-7.614,-35.13,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,ATALAIA,Mata Atlantica,,,,-9.494,-35.983,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,BARRA DE SANTO ANTONIO,Mata Atlantica,,,,-9.39,-35.67,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,BELO JARDIM,Caatinga,,,,-8.262,-36.447,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,VERTENTES,Caatinga,,,,-7.909,-36.021,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,INGAZEIRA,Caatinga,,,,-7.78,-37.451,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,CONDADO,Mata Atlantica,,,,-7.622,-35.118,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,SANTA CRUZ DO CAPIBARIBE,Caatinga,,,,-7.91,-36.321,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,MURICI,Mata Atlantica,,,,-9.334,-35.863,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,SATUBA,Mata Atlantica,,,,-9.588,-35.841,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,SANTA CRUZ DO CAPIBARIBE,Caatinga,,,,-7.912,-36.333,
2016/12/01 15:50:00,AQUA_M-T,Brasil,SERGIPE,LAGARTO,Caatinga,,,,-10.862,-37.602,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,JAPARATINGA,Mata Atlantica,,,,-9.033,-35.295,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,PENEDO,Mata Atlantica,,,,-10.318,-36.494,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,PEDRA,Caatinga,,,,-8.665,-36.963,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,INGAZEIRA,Caatinga,,,,-7.767,-37.438,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,CAPELA,Mata Atlantica,,,,-9.273,-36.1,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,BARRA DE SANTO ANTONIO,Mata Atlantica,,,,-9.388,-35.658,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,MURICI,Mata Atlantica,,,,-9.324,-35.864,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,BARRA DE SANTO ANTONIO,Mata Atlantica,,,,-9.398,-35.657,
2016/12/01 15:50:00,AQUA_M-T,Brasil,BAHIA,QUIJINGUE,Caatinga,,,,-10.929,-39.172,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,INAJA,Caatinga,,,,-8.709,-37.909,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,SATUBA,Mata Atlantica,,,,-9.589,-35.853,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,ATALAIA,Mata Atlantica,,,,-9.501,-35.958,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,INGAZEIRA,Caatinga,,,,-7.769,-37.453,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,PESQUEIRA,Caatinga,,,,-8.376,-36.932,
2016/12/01 15:50:00,AQUA_M-T,Brasil,ALAGOAS,MURICI,Mata Atlantica,,,,-9.327,-35.871,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,PESQUEIRA,Caatinga,,,,-8.371,-36.926,
2016/12/01 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,BARREIROS,Mata Atlantica,,,,-8.78,-35.237,
