datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/02/01 04:55:00,AQUA_M-M,Brasil,MATO GROSSO,CANARANA,Amazonia,0,5.57,0,-13.214,-52.725,3.6
2018/02/01 04:55:00,AQUA_M-M,Brasil,MATO GROSSO,CANARANA,Amazonia,0,5.57,0,-13.215,-52.716,3.7
2018/02/02 03:55:00,AQUA_M-M,Brasil,CEARA,FORTIM,Caatinga,0,0,,-4.45,-37.835,4.6
2018/02/02 05:30:00,AQUA_M-M,Brasil,RORAIMA,UIRAMUTA,Amazonia,0,0,0.35,4.879,-60.637,5.6
2018/02/02 05:30:00,AQUA_M-M,Brasil,RORAIMA,PACARAIMA,Amazonia,0,0,0.35,4.319,-60.716,6.3
2018/02/02 05:30:00,AQUA_M-M,Brasil,RORAIMA,AMAJARI,Amazonia,0,0,0.35,3.809,-61.136,4.5
2018/02/02 05:30:00,AQUA_M-M,Brasil,RORAIMA,AMAJARI,Amazonia,0,0,0.35,3.758,-61.221,15.4
2018/02/02 05:30:00,AQUA_M-M,Brasil,RORAIMA,AMAJARI,Amazonia,0,0,0.35,3.756,-61.211,13.3
2018/02/02 05:30:00,AQUA_M-M,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0,0.94,3.05,-60.984,11.7
2018/02/02 05:30:00,AQUA_M-M,Brasil,RORAIMA,MUCAJAI,Amazonia,0,0,0.75,2.435,-61.384,3.9
2018/02/02 05:30:00,AQUA_M-M,Brasil,RORAIMA,MUCAJAI,Amazonia,0,0,0.73,2.425,-61.385,4.5
2018/02/02 05:30:00,AQUA_M-M,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,0,0,0.94,3.053,-61.003,8.7
2018/02/02 05:30:00,AQUA_M-M,Brasil,RORAIMA,BOA VISTA,Amazonia,0,0,0.94,3.052,-60.994,13.5
2018/02/02 05:35:00,AQUA_M-M,Brasil,RORAIMA,CARACARAI,Amazonia,0,0,1,1.125,-60.545,15.4
2018/02/02 05:35:00,AQUA_M-M,Brasil,RORAIMA,CARACARAI,Amazonia,0,0,1,1.124,-60.536,20
2018/02/02 05:35:00,AQUA_M-M,Brasil,RORAIMA,CARACARAI,Amazonia,0,0,0.98,1.116,-60.546,8.5
2018/02/02 05:35:00,AQUA_M-M,Brasil,RORAIMA,CARACARAI,Amazonia,0,0,0.98,1.115,-60.537,9.8
2018/02/03 04:45:00,AQUA_M-M,Brasil,SAO PAULO,NOVO HORIZONTE,Mata Atlantica,0,1.98,0.76,-21.442,-49.143,8.1
2018/02/03 04:45:00,AQUA_M-M,Brasil,SAO PAULO,NOVO HORIZONTE,Mata Atlantica,0,1.98,0.76,-21.444,-49.133,26.6
2018/02/03 04:45:00,AQUA_M-M,Brasil,SAO PAULO,NOVO HORIZONTE,Mata Atlantica,0,1.98,0.76,-21.452,-49.145,5.1
2018/02/03 04:45:00,AQUA_M-M,Brasil,SAO PAULO,NOVO HORIZONTE,Mata Atlantica,0,1.98,0.76,-21.453,-49.135,12.3
2018/02/03 04:45:00,AQUA_M-M,Brasil,PARANA,TEIXEIRA SOARES,Mata Atlantica,0,0,0.24,-25.323,-50.295,10.2
2018/02/03 06:15:00,AQUA_M-M,Brasil,RORAIMA,CARACARAI,Amazonia,0,0,0.99,1.987,-61.37,27.7
2018/02/04 05:20:00,AQUA_M-M,Brasil,RORAIMA,BONFIM,Amazonia,0,0,0.95,3.265,-60.346,26.9
2018/02/04 05:20:00,AQUA_M-M,Brasil,RORAIMA,CARACARAI,Amazonia,0,0,1,1.122,-60.543,7
