datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/06/01 04:05:00,AQUA_M-M,Brasil,BAHIA,JUAZEIRO,Caatinga,37,0,1,-9.433,-40.368,7.2
2018/06/01 04:05:00,AQUA_M-M,Brasil,BAHIA,FORMOSA DO RIO PRETO,Cerrado,49,0,1,-10.458,-45.465,35.1
2018/06/01 04:05:00,AQUA_M-M,Brasil,BAHIA,FORMOSA DO RIO PRETO,Cerrado,49,0,1,-10.458,-45.47,45.2
2018/06/01 04:05:00,AQUA_M-M,Brasil,BAHIA,JUAZEIRO,Caatinga,37,0,1,-9.435,-40.358,8.9
2018/06/01 04:05:00,AQUA_M-M,Brasil,BAHIA,MUCURI,Mata Atlantica,12,0,0.56,-18.179,-39.882,8.5
2018/06/01 04:05:00,AQUA_M-M,Brasil,BAHIA,JUAZEIRO,Caatinga,38,0,1,-9.558,-40.334,5
2018/06/01 05:40:00,AQUA_M-M,Brasil,RONDONIA,PORTO VELHO,Amazonia,14,3.78,,-9.71,-64.539,7.1
2018/06/02 04:45:00,AQUA_M-M,Brasil,MARANHAO,PORTO FRANCO,Cerrado,12,0,0.34,-6.298,-47.063,6.7
2018/06/02 04:45:00,AQUA_M-M,Brasil,MATO GROSSO,SAO JOSE DO XINGU,Amazonia,15,0,0.53,-11.002,-52.897,22.1
2018/06/02 04:45:00,AQUA_M-M,Brasil,MATO GROSSO,SAO JOSE DO XINGU,Amazonia,15,0,1,-11.003,-52.886,9.5
2018/06/02 04:45:00,AQUA_M-M,Brasil,TOCANTINS,PEIXE,Cerrado,14,0,0.61,-11.866,-48.532,5.8
2018/06/02 04:45:00,AQUA_M-M,Brasil,MATO GROSSO,QUERENCIA,Amazonia,14,0,1,-11.944,-52.573,6.9
2018/06/02 04:45:00,AQUA_M-M,Brasil,MATO GROSSO,QUERENCIA,Amazonia,14,0,1,-11.946,-52.562,12.1
2018/06/02 04:45:00,AQUA_M-M,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,14,0,0.43,-12.059,-54.287,22.2
2018/06/02 04:45:00,AQUA_M-M,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,14,0,0.43,-12.061,-54.274,80.4
2018/06/02 04:45:00,AQUA_M-M,Brasil,MATO GROSSO,ALTA FLORESTA,Amazonia,14,0,1,-10.551,-56.398,14.9
2018/06/02 04:45:00,AQUA_M-M,Brasil,MATO GROSSO,SAO JOSE DO XINGU,Amazonia,15,0,0.59,-10.994,-52.816,47.2
2018/06/02 04:45:00,AQUA_M-M,Brasil,MATO GROSSO,SAO JOSE DO XINGU,Amazonia,15,0,0.59,-10.996,-52.804,18.4
2018/06/02 04:45:00,AQUA_M-M,Brasil,TOCANTINS,PIUM,Cerrado,10,0,0.63,-10.231,-49.34,6.3
2018/06/02 04:45:00,AQUA_M-M,Brasil,MARANHAO,PORTO FRANCO,Cerrado,12,0,0.34,-6.308,-47.065,13.5
2018/06/02 04:45:00,AQUA_M-M,Brasil,TOCANTINS,ITACAJA,Cerrado,21,0,0.73,-8.507,-47.903,7.7
2018/06/02 04:45:00,AQUA_M-M,Brasil,TOCANTINS,BOM JESUS DO TOCANTINS,Cerrado,21,0,1,-8.968,-48.02,15.7
2018/06/02 04:45:00,AQUA_M-M,Brasil,TOCANTINS,BOM JESUS DO TOCANTINS,Cerrado,21,0,0.41,-8.97,-48.01,35.7
2018/06/02 04:50:00,AQUA_M-M,Brasil,MATO GROSSO,NOVA UBIRATA,Amazonia,15,0,1,-13.363,-54.911,12.9
2018/06/02 04:50:00,AQUA_M-M,Brasil,GOIAS,NOVA CRIXAS,Cerrado,14,0,0.61,-13.843,-50.391,4.4
2018/06/02 04:50:00,AQUA_M-M,Brasil,GOIAS,NOVA CRIXAS,Cerrado,14,0,0.61,-13.853,-50.383,5
2018/06/02 04:50:00,AQUA_M-M,Brasil,MATO GROSSO,NOVA UBIRATA,Amazonia,15,0,1,-13.374,-54.913,12.1
