datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,SAO FELIX DO XINGU,Amazonia,6,0,,-6.504,-51.819,34.3
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,RONDON DO PARA,Amazonia,15,0,0.63,-4.135,-48.403,38.2
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,PARAGOMINAS,Amazonia,24,0,0.94,-3.041,-47.487,7.7
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,PARAGOMINAS,Amazonia,24,0,0.93,-3.043,-47.519,19.4
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,PARAGOMINAS,Amazonia,24,0,0.93,-3.045,-47.506,26.2
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,PARAGOMINAS,Amazonia,24,0,0.93,-3.047,-47.493,28.6
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,PARAGOMINAS,Amazonia,24,0,0.93,-3.048,-47.514,59.8
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,PARAGOMINAS,Amazonia,24,0,0.93,-3.05,-47.501,73.5
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,PARAGOMINAS,Amazonia,24,0,0.94,-3.051,-47.489,20.5
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,PARAGOMINAS,Amazonia,24,0,0.93,-3.055,-47.508,47.5
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,PARAGOMINAS,Amazonia,24,0,0.93,-3.057,-47.495,9.6
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,PARAGOMINAS,Amazonia,24,0,0.93,-3.068,-47.497,9.5
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,PARAGOMINAS,Amazonia,24,0,0.94,-3.07,-47.484,22.8
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,PARAGOMINAS,Amazonia,24,0,0.93,-3.085,-47.525,10.5
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,DOM ELISEU,Amazonia,15,0,1,-4.115,-47.543,10.2
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,RONDON DO PARA,Amazonia,15,0,1,-4.133,-48.417,114
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,DOM ELISEU,Amazonia,16,0,1,-4.431,-47.962,11.3
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,AMARANTE DO MARANHAO,Cerrado,16,0,0.81,-5.426,-46.59,8.5
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,COLINAS,Cerrado,56,0,1,-5.872,-44.53,7.2
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,COLINAS,Cerrado,56,0,1,-5.874,-44.521,8.7
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,COLINAS,Cerrado,56,0,1,-5.884,-44.513,11.4
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,COLINAS,Cerrado,27,0,1,-5.911,-44.523,8.7
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,MIRADOR,Cerrado,27,0,1,-6.069,-44.507,6.8
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,MIRADOR,Cerrado,16,0,1,-6.357,-44.311,8.2
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,SAO JOAO DO PARAISO,Cerrado,16,0,1,-6.582,-47.06,15.1
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,SAO JOAO DO PARAISO,Cerrado,16,0,1,-6.591,-47.061,15.5
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,PASTOS BONS,Cerrado,33,0,1,-6.668,-44.192,7.8
2018/09/01 04:25:00,AQUA_M-M,Brasil,TOCANTINS,DARCINOPOLIS,Cerrado,15,0,1,-6.848,-47.798,12.9
2018/09/01 04:25:00,AQUA_M-M,Brasil,TOCANTINS,DARCINOPOLIS,Cerrado,15,0,1,-6.85,-47.786,7.7
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,LORETO,Cerrado,16,0,1,-6.867,-45.218,6.2
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,FEIRA NOVA DO MARANHAO,Cerrado,16,0,1,-6.941,-46.45,7.3
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,FEIRA NOVA DO MARANHAO,Cerrado,16,0,1,-7.107,-46.764,8.1
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,FEIRA NOVA DO MARANHAO,Cerrado,16,0,1,-7.109,-46.754,13.4
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,PASSAGEM FRANCA,Cerrado,32,0,1,-6.096,-43.699,5.2
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,PASTOS BONS,Cerrado,103,0,1,-6.545,-43.966,7.9
2018/09/01 04:25:00,AQUA_M-M,Brasil,MARANHAO,SAO JOAO DOS PATOS,Cerrado,103,0,1,-6.547,-43.758,5.1
2018/09/01 04:25:00,AQUA_M-M,Brasil,PIAUI,SAO JOSE DO PIAUI,Caatinga,16,0,1,-6.885,-41.509,7.3
2018/09/01 04:25:00,AQUA_M-M,Brasil,PIAUI,SAO JOSE DO PIAUI,Caatinga,16,0,1,-6.886,-41.498,8.3
2018/09/01 04:25:00,AQUA_M-M,Brasil,PIAUI,URUCUI,Cerrado,56,0,1,-7.214,-44.432,8.1
2018/09/01 04:25:00,AQUA_M-M,Brasil,PIAUI,JERUMENHA,Cerrado,103,0,1,-7.264,-43.705,8.8
2018/09/01 04:25:00,AQUA_M-M,Brasil,PIAUI,CANAVIEIRA,Cerrado,103,0,1,-7.273,-43.707,12.1
2018/09/01 04:25:00,AQUA_M-M,Brasil,PIAUI,CANTO DO BURITI,Caatinga,33,0,1,-8.149,-43.385,5.3
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,ALTAMIRA,Amazonia,14,0,0.74,-5.992,-53.535,37.4
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,DOM ELISEU,Amazonia,15,0,0.94,-4.262,-47.716,17
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,DOM ELISEU,Amazonia,16,0,1,-4.418,-47.974,65.3
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,DOM ELISEU,Amazonia,16,0,1,-4.42,-47.961,41
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,RONDON DO PARA,Amazonia,16,0,1,-4.429,-47.975,9
2018/09/01 04:25:00,AQUA_M-M,Brasil,PARA,ALTAMIRA,Amazonia,8,0,0.76,-6.589,-53.539,38.7
2018/09/01 04:30:00,AQUA_M-M,Brasil,SAO PAULO,MORUNGABA,Mata Atlantica,8,0,,-22.855,-46.85,18.1
2018/09/01 04:30:00,AQUA_M-M,Brasil,PIAUI,MORRO CABECA NO TEMPO,Cerrado,20,0,1,-9.816,-44.009,5.1
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,PALMAS,Cerrado,15,0,1,-10.21,-48.038,75.9
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,PALMAS,Cerrado,15,0,1,-10.212,-48.027,15.5
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,IPUEIRAS,Cerrado,23,0,1,-11.084,-48.41,8.1
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,IPUEIRAS,Cerrado,23,0,1,-11.085,-48.399,6.6
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,IPUEIRAS,Cerrado,23,0,1,-11.094,-48.412,13.7
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,IPUEIRAS,Cerrado,23,0,1,-11.095,-48.4,7.6
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,SILVANOPOLIS,Cerrado,105,0,1,-11.124,-47.891,8.8
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,CHAPADA DA NATIVIDADE,Cerrado,120,0,1,-11.511,-47.774,5.5
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,CHAPADA DA NATIVIDADE,Cerrado,120,0,1,-11.513,-47.763,14.5
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,DIANOPOLIS,Cerrado,120,0,1,-11.961,-46.824,5.3
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,ARRAIAS,Cerrado,120,0,1,-12.561,-46.758,4.5
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,ARAGUAINA,Cerrado,14,0,1,-7.483,-48.252,11.7
2018/09/01 04:30:00,AQUA_M-M,Brasil,TOCANTINS,BARRA DO OURO,Cerrado,16,0,1,-7.583,-47.542,11.1
2018/09/01 04:30:00,AQUA_M-M,Brasil,BAHIA,SENTO SE,Caatinga,34,0,1,-10.044,-41.752,13.1
2018/09/01 04:30:00,AQUA_M-M,Brasil,BAHIA,RIACHAO DAS NEVES,Cerrado,55,0,1,-11.494,-45.579,9.4
2018/09/01 04:30:00,AQUA_M-M,Brasil,GOIAS,CAVALCANTE,Cerrado,16,0,1,-13.562,-48.033,6.3
