datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO,PORTO DOS GAUCHOS,Amazonia,0,0,0,-11.826,-56.312,7.6
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO,SANTA CARMEM,Amazonia,0,0,0,-12.032,-54.891,11.8
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO,SANTO ANTONIO DO LESTE,Cerrado,0,0,0,-15.067,-53.818,55.8
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO,SANTO ANTONIO DO LESTE,Cerrado,0,0,0,-15.067,-53.826,29.6
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO,SANTO ANTONIO DO LESTE,Cerrado,0,0,0,-15.069,-53.807,41.4
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.215,-57.145,8.7
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.826,-57.926,31.3
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.827,-57.914,6.8
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.843,-57.953,14.8
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.844,-57.941,45.7
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.852,-57.949,16.2
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.853,-57.954,9.2
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.869,-57.976,9.7
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.871,-57.964,7.8
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.882,-57.88,6.5
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.893,-57.869,244.2
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.895,-57.857,70.2
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.9,-57.894,128.3
2019/07/01 05:25:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0,-19.902,-57.882,131.9
