datahora,estado,riscofogo,riscoAbsoluto
2015/08/01 16:35:00,SANTA CATARINA,0.04,0
2015/08/01 16:35:00,RIO GRANDE DO SUL,0.02,0
2015/08/01 16:35:00,RIO GRANDE DO SUL,0.07,0
2015/08/01 16:35:00,RIO GRANDE DO SUL,0.07,0
2015/08/01 16:35:00,SANTA CATARINA,0.04,0
2015/08/01 16:35:00,RIO GRANDE DO SUL,0,0
2015/08/01 16:36:00,PARANA,1,1
2015/08/01 16:36:00,PARANA,1,1
2015/08/01 16:36:00,PARANA,1,1
2015/08/01 16:36:00,PARANA,1,1
2015/08/01 16:36:00,PARANA,0.06,0
2015/08/01 16:36:00,PARANA,1,1
2015/08/01 16:36:00,PARANA,1,1
2015/08/01 16:36:00,RIO DE JANEIRO,1,1
2015/08/01 16:36:00,RIO DE JANEIRO,1,1
2015/08/01 16:36:00,SAO PAULO,1,1
2015/08/01 16:36:00,PARANA,1,1
2015/08/01 16:36:00,SAO PAULO,1,1
2015/08/01 16:37:00,MINAS GERAIS,1,1
2015/08/01 16:37:00,SAO PAULO,1,1
2015/08/01 16:37:00,SAO PAULO,1,1
2015/08/01 16:37:00,SAO PAULO,1,1
2015/08/01 16:37:00,SAO PAULO,1,1
2015/08/01 16:37:00,MINAS GERAIS,0.83,1
2015/08/01 16:37:00,MINAS GERAIS,1,1
2015/08/01 16:37:00,MINAS GERAIS,1,1
2015/08/01 16:37:00,SAO PAULO,1,1
2015/08/01 16:37:00,MINAS GERAIS,1,1
2015/08/01 16:37:00,MINAS GERAIS,1,1
2015/08/01 16:37:00,SAO PAULO,0.39,0
2015/08/01 16:37:00,MINAS GERAIS,1,1
2015/08/01 16:37:00,SAO PAULO,1,1
2015/08/01 16:37:00,SAO PAULO,1,1
2015/08/01 16:37:00,SAO PAULO,1,1
2015/08/01 16:37:00,MINAS GERAIS,1,1
2015/08/01 16:37:00,MINAS GERAIS,1,1
2015/08/01 16:37:00,MINAS GERAIS,1,1
2015/08/01 16:37:00,MINAS GERAIS,1,1
2015/08/01 16:37:00,SAO PAULO,1,1
2015/08/01 16:37:00,MINAS GERAIS,1,1
2015/08/01 16:37:00,MINAS GERAIS,1,1
2015/08/01 16:38:00,DISTRITO FEDERAL,,0
