datahora,estado,riscofogo,riscoAbsoluto
2015/05/01 16:16:00,SERGIPE,1,1
2015/05/01 16:16:00,ALAGOAS,1,1
2015/05/01 16:16:00,SERGIPE,1,1
2015/05/01 16:16:00,SERGIPE,1,1
2015/05/01 16:16:00,PERNAMBUCO,1,1
2015/05/01 16:16:00,SERGIPE,1,1
2015/05/01 16:17:00,CEARA,,0
2015/05/01 16:17:00,CEARA,,0
2015/05/01 16:17:00,CEARA,,0
2015/05/01 16:17:00,MARANHAO,0.03,0
2015/05/01 16:17:00,MARANHAO,0.08,0
2015/05/01 16:17:00,MARANHAO,0.08,0
2015/05/01 16:17:00,PARAIBA,0.45,0
2015/05/01 16:18:00,CEARA,,0
2015/05/01 16:18:00,MARANHAO,,0
2015/05/01 17:49:00,RIO GRANDE DO SUL,0.02,0
2015/05/01 17:49:00,RIO GRANDE DO SUL,0.07,0
2015/05/01 17:49:00,RIO GRANDE DO SUL,0.02,0
2015/05/01 17:49:00,RIO GRANDE DO SUL,0.02,0
2015/05/01 17:51:00,MATO GROSSO DO SUL,1,1
2015/05/01 17:51:00,MATO GROSSO DO SUL,1,1
2015/05/01 17:52:00,MATO GROSSO DO SUL,0.21,0
2015/05/01 17:52:00,MATO GROSSO DO SUL,0.08,0
2015/05/01 17:52:00,MATO GROSSO DO SUL,1,1
2015/05/01 17:53:00,MATO GROSSO,0.37,0
2015/05/01 17:54:00,MATO GROSSO,0,0
2015/05/01 17:54:00,MATO GROSSO,0.13,0
2015/05/01 17:54:00,MATO GROSSO,0.48,0
2015/05/01 17:54:00,MATO GROSSO,0.08,0
2015/05/01 17:55:00,MATO GROSSO,0.02,0
2015/05/01 17:55:00,RONDONIA,,0
2015/05/01 17:58:00,RORAIMA,0.7,1
2015/05/02 16:55:00,PARANA,1,1
2015/05/02 16:55:00,PARANA,1,1
2015/05/02 16:55:00,PARANA,1,1
2015/05/02 16:55:00,PARANA,1,1
2015/05/02 16:55:00,PARANA,0.64,0
2015/05/02 16:55:00,PARANA,1,1
2015/05/02 16:55:00,PARANA,1,1
2015/05/02 16:56:00,RIO DE JANEIRO,1,1
2015/05/02 16:56:00,MINAS GERAIS,0.98,1
2015/05/02 16:56:00,SAO PAULO,0.36,0
2015/05/02 16:56:00,SAO PAULO,0.58,0
2015/05/02 16:56:00,PARANA,1,1
2015/05/02 16:56:00,PARANA,1,1
2015/05/02 16:56:00,SAO PAULO,1,1
2015/05/02 16:56:00,PARANA,1,1
2015/05/02 16:56:00,SAO PAULO,1,1
2015/05/02 16:56:00,PARANA,1,1
2015/05/02 16:56:00,PARANA,1,1
2015/05/02 16:56:00,SAO PAULO,1,1
2015/05/02 16:57:00,MINAS GERAIS,0.18,0
2015/05/02 16:57:00,MINAS GERAIS,0.89,1
2015/05/02 16:57:00,MINAS GERAIS,1,1
2015/05/02 16:57:00,MINAS GERAIS,0.19,0
2015/05/02 16:57:00,MINAS GERAIS,0.93,1
2015/05/02 16:57:00,GOIAS,1,1
2015/05/02 16:57:00,MINAS GERAIS,1,1
2015/05/02 16:57:00,MINAS GERAIS,0.5,0
2015/05/02 16:57:00,MATO GROSSO DO SUL,0.87,1
2015/05/02 16:57:00,MATO GROSSO DO SUL,0.07,0
2015/05/02 16:57:00,GOIAS,0.93,1
2015/05/02 16:57:00,MATO GROSSO DO SUL,0.88,1
2015/05/02 16:58:00,MATO GROSSO,0.18,0
2015/05/02 16:58:00,MATO GROSSO,0.16,0
2015/05/02 16:58:00,MATO GROSSO,0.09,0
2015/05/02 16:58:00,MATO GROSSO,0,0
2015/05/02 16:58:00,MATO GROSSO,0.28,0
2015/05/02 16:58:00,MATO GROSSO,0.24,0
2015/05/02 16:58:00,MATO GROSSO,0.26,0
2015/05/02 16:58:00,GOIAS,0.31,0
2015/05/02 16:58:00,GOIAS,0.18,0
2015/05/02 16:58:00,GOIAS,0.18,0
2015/05/02 16:58:00,GOIAS,1,1
2015/05/02 16:59:00,TOCANTINS,0,0
2015/05/02 16:59:00,MARANHAO,0,0
2015/05/02 16:59:00,TOCANTINS,0,0
2015/05/02 16:59:00,MARANHAO,0,0
2015/05/02 16:59:00,MATO GROSSO,0.14,0
2015/05/02 16:59:00,MATO GROSSO,0.05,0
2015/05/02 16:59:00,MATO GROSSO,0.84,1
2015/05/02 16:59:00,MATO GROSSO,0.09,0
2015/05/02 16:59:00,MATO GROSSO,0.07,0
2015/05/02 16:59:00,MATO GROSSO,0.77,1
2015/05/02 16:59:00,MATO GROSSO,0.07,0
2015/05/02 16:59:00,MATO GROSSO,0.15,0
2015/05/02 16:59:00,MATO GROSSO,0.77,1
