datahora,estado,riscofogo,riscoAbsoluto
2017/02/01 16:01:00,BAHIA,0.18,0
2017/02/01 16:01:00,BAHIA,0.87,1
2017/02/01 16:01:00,BAHIA,0.87,1
2017/02/01 16:01:00,BAHIA,0.17,0
2017/02/01 16:02:00,BAHIA,1,1
2017/02/01 16:03:00,PERNAMBUCO,,0
2017/02/01 16:03:00,PERNAMBUCO,1,1
2017/02/01 16:03:00,PERNAMBUCO,1,1
2017/02/01 16:03:00,ALAGOAS,1,1
2017/02/01 16:03:00,PERNAMBUCO,1,1
2017/02/01 16:03:00,PIAUI,0.06,0
2017/02/01 16:03:00,PERNAMBUCO,1,1
2017/02/01 16:04:00,RIO GRANDE DO NORTE,,0
2017/02/01 16:04:00,PIAUI,,0
2017/02/01 16:04:00,RIO GRANDE DO NORTE,,0
2017/02/01 16:04:00,PIAUI,,0
2017/02/01 16:04:00,RIO GRANDE DO NORTE,1,1
2017/02/01 17:35:00,RIO GRANDE DO SUL,0.01,0
2017/02/01 17:38:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:38:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:38:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:38:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:38:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO,0,0
2017/02/01 17:39:00,MATO GROSSO,0.02,0
2017/02/01 17:39:00,MATO GROSSO,0.01,0
2017/02/01 17:39:00,MATO GROSSO,0.01,0
2017/02/01 17:39:00,MATO GROSSO,0,0
2017/02/01 17:39:00,MATO GROSSO,0.02,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:39:00,MATO GROSSO DO SUL,0,0
2017/02/01 17:40:00,MATO GROSSO,0.15,0
2017/02/01 17:40:00,MATO GROSSO,0.15,0
2017/02/01 17:40:00,MATO GROSSO,0.15,0
2017/02/01 17:40:00,MATO GROSSO,0.15,0
2017/02/01 17:40:00,MATO GROSSO,0.15,0
2017/02/01 17:40:00,MATO GROSSO,0.15,0
2017/02/01 17:40:00,MATO GROSSO,0.15,0
2017/02/01 17:40:00,MATO GROSSO,0.15,0
2017/02/01 17:40:00,MATO GROSSO,0.05,0
2017/02/01 17:40:00,MATO GROSSO,0.01,0
2017/02/01 17:40:00,MATO GROSSO,0.02,0
2017/02/01 17:40:00,MATO GROSSO,0,0
2017/02/01 17:40:00,MATO GROSSO,0,0
2017/02/01 17:40:00,MATO GROSSO,0,0
2017/02/01 17:40:00,MATO GROSSO,0.15,0
2017/02/01 17:40:00,MATO GROSSO,0.15,0
2017/02/01 17:40:00,MATO GROSSO,0.15,0
2017/02/01 17:41:00,RONDONIA,0.15,0
2017/02/01 17:41:00,RONDONIA,0.13,0
2017/02/01 17:41:00,MATO GROSSO,0.15,0
2017/02/01 17:41:00,MATO GROSSO,0.15,0
2017/02/01 17:41:00,MATO GROSSO,0.15,0
2017/02/01 17:45:00,RORAIMA,0.28,0
2017/02/01 17:45:00,RORAIMA,0.31,0
2017/02/02 16:43:00,SAO PAULO,,0
2017/02/02 16:43:00,SAO PAULO,,0
2017/02/02 16:43:00,SAO PAULO,0,0
2017/02/02 16:43:00,ESPIRITO SANTO,0,0
2017/02/02 16:43:00,ESPIRITO SANTO,0,0
2017/02/02 16:44:00,BAHIA,0.08,0
2017/02/02 16:44:00,BAHIA,0.08,0
2017/02/02 16:44:00,GOIAS,0,0
2017/02/02 16:44:00,BAHIA,0.21,0
2017/02/02 16:45:00,BAHIA,0.08,0
2017/02/02 16:45:00,MATO GROSSO,0.09,0
2017/02/02 16:45:00,TOCANTINS,0,0
2017/02/02 16:45:00,GOIAS,0,0
2017/02/02 16:45:00,MATO GROSSO,0.02,0
2017/02/02 16:46:00,PARAIBA,1,1
2017/02/02 16:47:00,PIAUI,,0
2017/02/02 16:47:00,MARANHAO,,0
2017/02/02 16:47:00,MARANHAO,0.58,0
2017/02/02 18:25:00,ACRE,0,0
2017/02/02 18:25:00,ACRE,0,0
2017/02/03 15:49:00,BAHIA,1,1
2017/02/03 15:49:00,BAHIA,1,1
2017/02/03 15:50:00,BAHIA,1,1
2017/02/03 15:50:00,ALAGOAS,1,1
2017/02/03 15:50:00,ALAGOAS,1,1
2017/02/03 15:50:00,ALAGOAS,1,1
2017/02/03 15:50:00,ALAGOAS,1,1
2017/02/03 15:50:00,ALAGOAS,1,1
2017/02/03 15:51:00,PARAIBA,0.86,1
2017/02/03 15:52:00,CEARA,,0
2017/02/03 15:52:00,CEARA,,0
2017/02/03 17:23:00,RIO GRANDE DO SUL,0.05,0
2017/02/03 17:23:00,RIO GRANDE DO SUL,0.05,0
2017/02/03 17:26:00,MATO GROSSO DO SUL,0,0
2017/02/03 17:26:00,MATO GROSSO DO SUL,0.31,0
2017/02/03 17:26:00,MATO GROSSO DO SUL,0.52,0
2017/02/03 17:26:00,MATO GROSSO DO SUL,0,0
2017/02/03 17:26:00,MATO GROSSO DO SUL,0.16,0
2017/02/03 17:26:00,MATO GROSSO DO SUL,0,0
2017/02/03 17:27:00,MATO GROSSO DO SUL,0.05,0
2017/02/03 17:27:00,MATO GROSSO,0.11,0
2017/02/03 17:27:00,MATO GROSSO,1,1
2017/02/03 17:28:00,MATO GROSSO,0,0
2017/02/03 17:28:00,MATO GROSSO,0,0
2017/02/03 17:28:00,MATO GROSSO,0.04,0
2017/02/03 17:28:00,MATO GROSSO,0.02,0
2017/02/03 17:28:00,MATO GROSSO,0.01,0
2017/02/03 17:28:00,MATO GROSSO,0.01,0
2017/02/03 17:28:00,MATO GROSSO,0.03,0
2017/02/03 17:28:00,MATO GROSSO,0,0
2017/02/03 17:28:00,MATO GROSSO,0.01,0
2017/02/03 17:28:00,MATO GROSSO,0,0
2017/02/03 17:28:00,MATO GROSSO,0.02,0
2017/02/03 17:28:00,MATO GROSSO,0.28,0
2017/02/03 17:28:00,MATO GROSSO,0,0
2017/02/03 17:28:00,MATO GROSSO,0.21,0
2017/02/03 17:28:00,MATO GROSSO,0.06,0
2017/02/03 17:28:00,MATO GROSSO,0.02,0
2017/02/03 17:28:00,MATO GROSSO,0.01,0
2017/02/03 17:28:00,MATO GROSSO,0.14,0
2017/02/03 17:28:00,MATO GROSSO,0,0
2017/02/03 17:28:00,MATO GROSSO,0,0
2017/02/03 17:28:00,MATO GROSSO,0.13,0
