datahora,estado,riscofogo,riscoAbsoluto
2017/11/01 16:40:00,RIO GRANDE DO SUL,0,0
2017/11/01 16:41:00,PARANA,0,0
2017/11/01 16:41:00,PARANA,0,0
2017/11/01 16:41:00,SANTA CATARINA,0,0
2017/11/01 16:41:00,SANTA CATARINA,0.01,0
2017/11/01 16:41:00,SANTA CATARINA,0.03,0
2017/11/01 16:41:00,SANTA CATARINA,0.01,0
2017/11/01 16:41:00,SANTA CATARINA,0.01,0
2017/11/01 16:41:00,SANTA CATARINA,0.01,0
2017/11/01 16:41:00,SANTA CATARINA,0.01,0
2017/11/01 16:41:00,SANTA CATARINA,0,0
2017/11/01 16:41:00,SANTA CATARINA,0.01,0
2017/11/01 16:41:00,SANTA CATARINA,0,0
2017/11/01 16:43:00,MATO GROSSO DO SUL,0.18,0
2017/11/01 16:43:00,GOIAS,0,0
2017/11/01 16:44:00,BAHIA,0,0
2017/11/01 16:44:00,BAHIA,0,0
2017/11/01 16:44:00,BAHIA,0.16,0
2017/11/01 16:44:00,BAHIA,0,0
2017/11/01 16:44:00,BAHIA,0.16,0
2017/11/01 16:44:00,BAHIA,0,0
2017/11/01 16:44:00,GOIAS,0,0
2017/11/01 16:44:00,MATO GROSSO,0,0
2017/11/01 16:44:00,GOIAS,0.21,0
2017/11/01 16:44:00,GOIAS,0.27,0
2017/11/01 16:44:00,GOIAS,0.4,0
2017/11/01 16:44:00,GOIAS,0.26,0
2017/11/01 16:45:00,TOCANTINS,0.02,0
2017/11/01 16:45:00,TOCANTINS,0.04,0
2017/11/01 16:45:00,TOCANTINS,0.09,0
2017/11/01 16:45:00,TOCANTINS,0.97,1
2017/11/01 16:45:00,TOCANTINS,0.08,0
2017/11/01 16:45:00,TOCANTINS,0.09,0
2017/11/01 16:45:00,TOCANTINS,0.09,0
2017/11/01 16:45:00,TOCANTINS,0.09,0
2017/11/01 16:45:00,TOCANTINS,0.09,0
2017/11/01 16:45:00,TOCANTINS,0.04,0
2017/11/01 16:45:00,TOCANTINS,0.52,0
2017/11/01 16:45:00,TOCANTINS,0.69,0
2017/11/01 16:45:00,TOCANTINS,0.24,0
2017/11/01 16:45:00,BAHIA,0.26,0
2017/11/01 16:45:00,PIAUI,1,1
