datahora,estado,riscofogo,riscoAbsoluto
2018/12/01 04:10:00,BAHIA,1,1
2018/12/01 04:10:00,ALAGOAS,1,1
2018/12/01 04:10:00,ALAGOAS,1,1
2018/12/01 04:10:00,ESPIRITO SANTO,0.29,0
2018/12/01 05:45:00,RORAIMA,0.47,0
2018/12/03 03:55:00,PARAIBA,1,1
2018/12/03 03:55:00,PERNAMBUCO,1,1
2018/12/03 03:55:00,ALAGOAS,1,1
2018/12/03 03:55:00,ALAGOAS,1,1
2018/12/03 05:30:00,RORAIMA,0.19,0
2018/12/03 05:30:00,RORAIMA,0.51,0
2018/12/03 05:30:00,RORAIMA,0.56,0
2018/12/04 04:40:00,MATO GROSSO DO SUL,0.05,0
2018/12/04 04:45:00,SAO PAULO,0.63,0
2018/12/04 04:45:00,SAO PAULO,0.63,0
2018/12/05 05:20:00,RORAIMA,0.39,0
2018/12/06 04:30:00,SAO PAULO,0.47,0
2018/12/06 04:30:00,SAO PAULO,0.47,0
2018/12/06 04:30:00,PARANA,1,1
2018/12/06 04:30:00,PARANA,1,1
2018/12/06 04:30:00,PARANA,0.76,1
2018/12/07 03:30:00,ALAGOAS,0.96,1
2018/12/07 03:30:00,ALAGOAS,0.96,1
2018/12/07 03:30:00,ALAGOAS,0.96,1
2018/12/07 03:30:00,ALAGOAS,0.96,1
2018/12/07 03:30:00,ALAGOAS,0.96,1
2018/12/07 03:30:00,RIO GRANDE DO NORTE,,0
2018/12/07 05:15:00,MATO GROSSO DO SUL,0.08,0
2018/12/07 05:15:00,MATO GROSSO DO SUL,0.08,0
2018/12/07 05:15:00,PARANA,1,1
2018/12/08 04:15:00,RIO GRANDE DO NORTE,0.95,1
2018/12/08 04:15:00,RIO GRANDE DO NORTE,1,1
2018/12/08 04:20:00,SAO PAULO,0.17,0
2018/12/08 05:50:00,RORAIMA,0.65,0
2018/12/09 03:20:00,ALAGOAS,1,1
2018/12/09 03:20:00,ALAGOAS,1,1
2018/12/09 03:20:00,PARAIBA,1,1
2018/12/09 05:00:00,MATO GROSSO,0.09,0
2018/12/09 05:00:00,MATO GROSSO DO SUL,0.24,0
2018/12/09 05:00:00,MATO GROSSO DO SUL,0.14,0
2018/12/09 05:00:00,MATO GROSSO DO SUL,0.14,0
2018/12/09 05:00:00,MATO GROSSO DO SUL,0.16,0
2018/12/09 05:00:00,MATO GROSSO DO SUL,0.16,0
2018/12/09 05:00:00,MATO GROSSO,0.1,0
2018/12/10 04:00:00,PERNAMBUCO,1,1
2018/12/10 04:00:00,PERNAMBUCO,1,1
2018/12/10 04:05:00,SAO PAULO,1,1
2018/12/10 05:40:00,RORAIMA,0.52,0
2018/12/10 05:40:00,RORAIMA,0.52,0
2018/12/11 04:45:00,PARA,0,0
2018/12/11 04:45:00,MARANHAO,0,0
2018/12/11 04:50:00,MATO GROSSO,0.08,0
2018/12/11 04:50:00,MATO GROSSO DO SUL,1,1
2018/12/11 04:50:00,MATO GROSSO DO SUL,1,1
2018/12/11 04:50:00,SAO PAULO,1,1
2018/12/11 04:50:00,PARANA,1,1
2018/12/11 04:50:00,PARANA,1,1
2018/12/11 04:50:00,PARANA,1,1
2018/12/11 04:50:00,PARANA,1,1
2018/12/11 04:50:00,PARANA,1,1
2018/12/11 04:50:00,PARANA,1,1
2018/12/11 04:50:00,PARANA,0.44,0
2018/12/12 03:50:00,PERNAMBUCO,0.88,1
2018/12/12 03:50:00,PERNAMBUCO,0.86,1
2018/12/12 05:30:00,MATO GROSSO,0.12,0
2018/12/12 05:30:00,MATO GROSSO,0.11,0
2018/12/12 05:30:00,MATO GROSSO,0.11,0
2018/12/12 05:30:00,MATO GROSSO,0.35,0
2018/12/13 04:30:00,MARANHAO,0.01,0
2018/12/13 04:35:00,MATO GROSSO,0.17,0
2018/12/13 04:35:00,SAO PAULO,1,1
2018/12/13 04:35:00,SAO PAULO,1,1
2018/12/13 04:35:00,TOCANTINS,0,0
2018/12/13 04:35:00,PARANA,1,1
2018/12/13 06:10:00,RORAIMA,0.68,0
2018/12/13 06:10:00,RORAIMA,0.67,0
2018/12/13 06:10:00,RORAIMA,0.67,0
2018/12/14 03:35:00,PARAIBA,1,1
2018/12/14 03:35:00,PARAIBA,1,1
2018/12/14 03:40:00,SERGIPE,1,1
2018/12/14 05:20:00,MATO GROSSO,0.33,0
2018/12/14 05:20:00,MATO GROSSO,0.05,0
2018/12/14 05:20:00,MATO GROSSO,0.33,0
2018/12/14 05:20:00,MATO GROSSO,0.33,0
2018/12/14 05:20:00,MATO GROSSO,0.33,0
2018/12/14 05:20:00,MATO GROSSO,0.07,0
2018/12/14 05:20:00,MATO GROSSO,0.06,0
2018/12/14 05:20:00,MATO GROSSO,1,1
2018/12/14 05:20:00,MATO GROSSO DO SUL,0.43,0
2018/12/14 05:20:00,MATO GROSSO DO SUL,0.13,0
2018/12/14 05:20:00,MATO GROSSO DO SUL,0.41,0
2018/12/15 04:20:00,RIO GRANDE DO NORTE,,0
2018/12/15 04:20:00,MARANHAO,0.53,0
2018/12/15 04:20:00,MARANHAO,0.23,0
2018/12/15 04:20:00,MARANHAO,0.08,0
2018/12/15 04:20:00,TOCANTINS,0.2,0
2018/12/15 04:20:00,TOCANTINS,0.05,0
2018/12/15 04:25:00,MATO GROSSO,0.03,0
2018/12/15 04:25:00,MATO GROSSO,0.03,0
2018/12/15 04:25:00,RIO DE JANEIRO,0.9,1
2018/12/16 03:25:00,ALAGOAS,1,1
2018/12/16 03:25:00,ALAGOAS,1,1
2018/12/16 03:25:00,ALAGOAS,1,1
2018/12/16 05:05:00,MATO GROSSO,0.02,0
2018/12/16 05:05:00,MATO GROSSO,0.02,0
2018/12/16 05:05:00,MATO GROSSO DO SUL,0.92,1
2018/12/16 05:05:00,MATO GROSSO DO SUL,0.92,1
2018/12/16 05:05:00,MATO GROSSO DO SUL,0.22,0
2018/12/16 05:05:00,MATO GROSSO DO SUL,1,1
2018/12/16 05:05:00,MATO GROSSO DO SUL,0.15,0
2018/12/16 05:05:00,MATO GROSSO DO SUL,0.78,1
2018/12/17 05:45:00,MATO GROSSO,0.04,0
2018/12/17 05:45:00,MATO GROSSO,0.53,0
2018/12/17 05:45:00,MATO GROSSO,0.02,0
2018/12/18 04:55:00,MINAS GERAIS,1,1
2018/12/18 04:55:00,MINAS GERAIS,1,1
2018/12/18 04:55:00,MATO GROSSO,1,1
2018/12/18 04:55:00,MATO GROSSO,1,1
2018/12/18 04:55:00,MATO GROSSO DO SUL,0.71,1
2018/12/18 04:55:00,MATO GROSSO DO SUL,0.82,1
2018/12/18 04:55:00,MATO GROSSO DO SUL,0.26,0
2018/12/18 04:55:00,MATO GROSSO DO SUL,1,1
2018/12/18 04:55:00,MATO GROSSO DO SUL,0.87,1
2018/12/18 04:55:00,MATO GROSSO DO SUL,1,1
2018/12/18 04:55:00,GOIAS,1,1
2018/12/19 03:55:00,RIO GRANDE DO NORTE,,0
2018/12/19 03:55:00,RIO GRANDE DO NORTE,,0
2018/12/19 05:30:00,RORAIMA,0.56,0
2018/12/19 05:35:00,MATO GROSSO,0.12,0
2018/12/20 04:40:00,MARANHAO,0.01,0
2018/12/20 04:40:00,TOCANTINS,0.23,0
2018/12/20 04:40:00,MARANHAO,0.08,0
2018/12/20 04:40:00,MARANHAO,0.16,0
2018/12/20 04:40:00,MARANHAO,0.16,0
2018/12/20 04:40:00,MATO GROSSO,0,0
2018/12/20 04:40:00,GOIAS,0.01,0
2018/12/20 04:40:00,GOIAS,0.01,0
2018/12/20 04:40:00,GOIAS,0.6,0
2018/12/20 04:40:00,GOIAS,1,1
2018/12/20 04:40:00,GOIAS,1,1
2018/12/20 04:40:00,MATO GROSSO,0.38,0
2018/12/21 03:45:00,MINAS GERAIS,0,0
2018/12/21 03:45:00,BAHIA,0.32,0
2018/12/21 03:45:00,BAHIA,0.32,0
2018/12/21 03:45:00,RIO GRANDE DO NORTE,0.38,0
2018/12/21 05:25:00,MATO GROSSO,0.04,0
2018/12/21 05:25:00,MATO GROSSO,0.93,1
2018/12/21 05:25:00,MATO GROSSO,0.9,1
2018/12/21 05:25:00,MATO GROSSO DO SUL,0.42,0
2018/12/21 05:25:00,MATO GROSSO DO SUL,0.36,0
2018/12/21 05:25:00,MATO GROSSO DO SUL,0.37,0
2018/12/21 05:25:00,MATO GROSSO DO SUL,0.35,0
2018/12/21 05:25:00,MATO GROSSO DO SUL,0.36,0
2018/12/21 05:25:00,MATO GROSSO,0.4,0
2018/12/21 05:25:00,MATO GROSSO,0.25,0
2018/12/22 04:25:00,PARA,0,0
2018/12/22 04:25:00,PARA,0,0
2018/12/22 04:25:00,PARA,0,0
2018/12/22 04:25:00,PARA,0,0
2018/12/22 04:25:00,PARA,0,0
2018/12/22 04:25:00,PARA,0,0
2018/12/22 04:25:00,PARA,0,0
2018/12/22 04:30:00,BAHIA,0.76,1
2018/12/22 04:30:00,BAHIA,0.76,1
2018/12/22 04:30:00,BAHIA,0.76,1
2018/12/22 04:30:00,BAHIA,0.76,1
2018/12/22 04:30:00,BAHIA,1,1
2018/12/22 04:30:00,BAHIA,0.25,0
2018/12/22 04:30:00,MINAS GERAIS,0.43,0
2018/12/22 04:30:00,MINAS GERAIS,0.44,0
2018/12/22 04:30:00,MINAS GERAIS,0.16,0
2018/12/22 04:30:00,MINAS GERAIS,0.91,1
2018/12/22 04:30:00,MINAS GERAIS,0.91,1
2018/12/22 04:30:00,MINAS GERAIS,0.91,1
2018/12/22 04:30:00,MINAS GERAIS,0.3,0
2018/12/22 04:30:00,MINAS GERAIS,0.3,0
2018/12/22 06:00:00,RORAIMA,0.26,0
2018/12/22 06:00:00,RORAIMA,0.26,0
2018/12/22 06:05:00,RONDONIA,0,0
2018/12/22 06:05:00,RONDONIA,0,0
2018/12/22 06:05:00,RONDONIA,0.04,0
2018/12/23 03:35:00,MINAS GERAIS,0.95,1
2018/12/23 05:15:00,MATO GROSSO,0.04,0
2018/12/23 05:15:00,MATO GROSSO,0.06,0
2018/12/24 04:15:00,TOCANTINS,0.26,0
2018/12/24 04:15:00,TOCANTINS,0.11,0
2018/12/24 04:15:00,BAHIA,0.04,0
2018/12/24 04:15:00,BAHIA,0.05,0
2018/12/24 04:15:00,TOCANTINS,0.25,0
2018/12/24 04:15:00,BAHIA,0.04,0
2018/12/24 04:15:00,BAHIA,0.04,0
2018/12/24 04:15:00,BAHIA,0.05,0
2018/12/24 04:15:00,MINAS GERAIS,0.18,0
2018/12/24 04:15:00,MINAS GERAIS,1,1
2018/12/25 05:00:00,MATO GROSSO,0.08,0
2018/12/25 05:00:00,MATO GROSSO,0.54,0
2018/12/25 05:00:00,MATO GROSSO,0.26,0
2018/12/26 04:00:00,PARAIBA,1,1
2018/12/26 04:00:00,PARAIBA,1,1
2018/12/26 04:00:00,PARAIBA,1,1
2018/12/26 04:00:00,PARAIBA,1,1
2018/12/26 05:40:00,RORAIMA,0.65,0
2018/12/26 05:40:00,RORAIMA,0.66,0
2018/12/27 04:45:00,MARANHAO,0.13,0
2018/12/27 04:45:00,MARANHAO,0.13,0
2018/12/27 04:45:00,MARANHAO,0.14,0
2018/12/27 04:45:00,PARA,0.31,0
2018/12/27 04:45:00,PARA,0,0
2018/12/27 04:45:00,PARA,0,0
2018/12/27 04:45:00,PARA,0.07,0
2018/12/28 03:50:00,CEARA,,0
2018/12/28 03:50:00,CEARA,,0
2018/12/28 03:50:00,ALAGOAS,1,1
2018/12/28 03:50:00,ALAGOAS,1,1
2018/12/28 03:50:00,SERGIPE,1,1
2018/12/28 03:50:00,PARAIBA,1,1
2018/12/28 03:50:00,PERNAMBUCO,1,1
2018/12/28 03:50:00,PERNAMBUCO,0.89,1
2018/12/28 05:25:00,PARA,0.08,0
2018/12/28 05:25:00,PARA,0.33,0
2018/12/28 05:25:00,PARA,0.08,0
2018/12/28 05:25:00,RORAIMA,0.25,0
2018/12/29 04:30:00,PARA,0,0
2018/12/29 04:30:00,PARA,0.01,0
2018/12/29 04:30:00,PARA,0.01,0
2018/12/29 04:30:00,PARA,0,0
2018/12/29 04:30:00,PARA,0,0
2018/12/29 04:30:00,PARA,0,0
2018/12/29 04:30:00,PARA,0,0
2018/12/29 04:30:00,PARA,0,0
2018/12/30 03:35:00,PERNAMBUCO,1,1
2018/12/30 03:35:00,PERNAMBUCO,1,1
2018/12/30 03:40:00,ALAGOAS,1,1
2018/12/30 03:40:00,ALAGOAS,1,1
2018/12/30 05:15:00,PARA,0.16,0
2018/12/31 04:20:00,MARANHAO,0.17,0
2018/12/31 04:25:00,SAO PAULO,0.01,0
2018/12/31 05:55:00,RORAIMA,0.75,1
2018/12/31 05:55:00,RORAIMA,0.75,1
