datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/04/01 17:36:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,MINAS DO LEAO,Pampa,,0,0.15,-30.177,-52.118,
2015/04/01 17:36:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,PEDRAS ALTAS,Pampa,,0,0.01,-31.843,-53.534,
2015/04/01 17:36:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,TRIUNFO,Pampa,,0,0.15,-29.821,-51.71,
2015/04/01 17:36:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,GENERAL CAMARA,Pampa,,0,0.15,-29.823,-51.967,
2015/04/01 17:36:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,TRIUNFO,Pampa,,0,0.15,-29.744,-51.631,
2015/04/01 17:37:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,ITAQUI,Pampa,,0,0.43,-29.271,-55.742,
2015/04/01 17:40:00,AQUA_M-T,Brasil,GOIAS,PORTEIRAO,Cerrado,,8.7,0.15,-17.93,-50.23,
2015/04/01 17:41:00,AQUA_M-T,Brasil,MATO GROSSO,QUERENCIA,Amazonia,,0.5,0.06,-11.716,-52.71,
2015/04/01 17:41:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MUTUM,Cerrado,,5.5,0.04,-13.616,-55.764,
2015/04/01 17:41:00,AQUA_M-T,Brasil,MATO GROSSO,PARANATINGA,Amazonia,,0,0.05,-13.183,-54.272,
2015/04/01 17:41:00,AQUA_M-T,Brasil,MATO GROSSO,PORTO DOS GAUCHOS,Amazonia,,0,0.08,-11.746,-56.166,
2015/04/01 17:41:00,AQUA_M-T,Brasil,MATO GROSSO,SANTA RITA DO TRIVELATO,Cerrado,,0.4,0.01,-13.427,-55.481,
2015/04/01 17:41:00,AQUA_M-T,Brasil,MATO GROSSO,CLAUDIA,Amazonia,,0,0.16,-11.753,-54.821,
2015/04/01 17:41:00,AQUA_M-T,Brasil,MATO GROSSO,PARANATINGA,Amazonia,,0,0.44,-13.037,-54.157,
2015/04/01 17:41:00,AQUA_M-T,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,,0,0.03,-12.352,-54.683,
2015/04/01 17:41:00,AQUA_M-T,Brasil,MATO GROSSO,PARANATINGA,Amazonia,,0,0.06,-13.085,-54.23,
2015/04/01 17:41:00,AQUA_M-T,Brasil,MATO GROSSO,CLAUDIA,Amazonia,,0,0.15,-11.376,-54.9,
2015/04/01 17:41:00,AQUA_M-T,Brasil,MATO GROSSO,QUERENCIA,Amazonia,,0.1,0,-12.32,-52.401,
2015/04/01 17:41:00,AQUA_M-T,Brasil,MATO GROSSO,VERA,Amazonia,,0,0.02,-12.246,-55.245,
2015/04/01 17:42:00,AQUA_M-T,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,,0.4,0.08,-10.917,-54.555,
2015/04/01 17:42:00,AQUA_M-T,Brasil,MATO GROSSO,ITAUBA,Amazonia,,0.1,0.04,-11.077,-56.219,
2015/04/01 17:42:00,AQUA_M-T,Brasil,MATO GROSSO,TABAPORA,Amazonia,,0,0.05,-11.386,-56.041,
2015/04/01 17:46:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,,0,0.96,3.924,-61.366,
2015/04/02 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,OSORIO,Pampa,,0,0.18,-29.904,-50.26,
2015/04/02 16:41:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,SAO JERONIMO,Pampa,,0,0.18,-30.235,-51.921,
2015/04/02 16:42:00,AQUA_M-T,Brasil,SANTA CATARINA,ARAQUARI,Mata Atlantica,,0,0.12,-26.485,-48.748,
2015/04/02 16:43:00,AQUA_M-T,Brasil,SAO PAULO,IACANGA,Mata Atlantica,,0,0,-21.954,-48.966,
2015/04/02 16:43:00,AQUA_M-T,Brasil,SAO PAULO,SANTOS,Mata Atlantica,,0,,-23.93,-46.363,
2015/04/02 16:43:00,AQUA_M-T,Brasil,SAO PAULO,ITAPEVA,Cerrado,,0.2,0.29,-23.933,-48.884,
2015/04/02 16:43:00,AQUA_M-T,Brasil,SAO PAULO,SANTOS,Mata Atlantica,,0,,-23.928,-46.351,
2015/04/02 16:43:00,AQUA_M-T,Brasil,SAO PAULO,ARARAS,Mata Atlantica,,0,0.73,-22.343,-47.267,
2015/04/02 16:43:00,AQUA_M-T,Brasil,SAO PAULO,TAMBAU,Mata Atlantica,,0,0.42,-21.571,-47.167,
2015/04/02 16:43:00,AQUA_M-T,Brasil,SAO PAULO,ARARAS,Mata Atlantica,,0,0.73,-22.345,-47.261,
2015/04/02 16:43:00,AQUA_M-T,Brasil,SAO PAULO,ARARAS,Mata Atlantica,,0,0.36,-22.246,-47.361,
2015/04/02 16:43:00,AQUA_M-T,Brasil,SAO PAULO,TAMBAU,Mata Atlantica,,0,0.42,-21.561,-47.169,
