datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/08/01 16:35:00,AQUA_M-T,Brasil,SANTA CATARINA,MAFRA,Mata Atlantica,,0,0.04,-26.275,-49.78,
2015/08/01 16:35:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,SAO FRANCISCO DE PAULA,Mata Atlantica,,0,0.02,-28.881,-50.719,
2015/08/01 16:35:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,BOM JESUS,Mata Atlantica,,0,0.07,-28.562,-50.081,
2015/08/01 16:35:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,BOM JESUS,Mata Atlantica,,0,0.07,-28.561,-50.108,
2015/08/01 16:35:00,AQUA_M-T,Brasil,SANTA CATARINA,MAFRA,Mata Atlantica,,0,0.04,-26.276,-49.785,
2015/08/01 16:35:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,JAQUIRANA,Mata Atlantica,,0,0,-28.994,-50.362,
2015/08/01 16:36:00,AQUA_M-T,Brasil,PARANA,COLORADO,Mata Atlantica,,0,1,-22.84,-51.999,
2015/08/01 16:36:00,AQUA_M-T,Brasil,PARANA,COLORADO,Mata Atlantica,,0,1,-22.823,-52.002,
2015/08/01 16:36:00,AQUA_M-T,Brasil,PARANA,UNIFLOR,Mata Atlantica,,0,1,-23.04,-52.047,
2015/08/01 16:36:00,AQUA_M-T,Brasil,PARANA,SAO TOME,Mata Atlantica,,0,1,-23.539,-52.663,
2015/08/01 16:36:00,AQUA_M-T,Brasil,PARANA,ARAPOTI,Mata Atlantica,,0,0.06,-24.009,-49.931,
2015/08/01 16:36:00,AQUA_M-T,Brasil,PARANA,COLORADO,Mata Atlantica,,0,1,-22.828,-51.997,
2015/08/01 16:36:00,AQUA_M-T,Brasil,PARANA,UNIFLOR,Mata Atlantica,,0,1,-23.045,-52.042,
2015/08/01 16:36:00,AQUA_M-T,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,Mata Atlantica,,0,1,-21.611,-41.255,
2015/08/01 16:36:00,AQUA_M-T,Brasil,RIO DE JANEIRO,CAMPOS DOS GOYTACAZES,Mata Atlantica,,0,1,-21.61,-41.246,
2015/08/01 16:36:00,AQUA_M-T,Brasil,SAO PAULO,SOROCABA,Mata Atlantica,,0,1,-23.366,-47.408,
2015/08/01 16:36:00,AQUA_M-T,Brasil,PARANA,CIANORTE,Mata Atlantica,,0,1,-23.538,-52.671,
2015/08/01 16:36:00,AQUA_M-T,Brasil,SAO PAULO,PINDAMONHANGABA,Mata Atlantica,,0,1,-22.882,-45.459,
2015/08/01 16:37:00,AQUA_M-T,Brasil,MINAS GERAIS,POCOS DE CALDAS,Mata Atlantica,,0,1,-21.855,-46.523,
2015/08/01 16:37:00,AQUA_M-T,Brasil,SAO PAULO,DRACENA,Mata Atlantica,,0,1,-21.516,-51.599,
2015/08/01 16:37:00,AQUA_M-T,Brasil,SAO PAULO,GETULINA,Mata Atlantica,,0,1,-21.783,-49.976,
2015/08/01 16:37:00,AQUA_M-T,Brasil,SAO PAULO,GETULINA,Mata Atlantica,,0,1,-21.786,-49.97,
2015/08/01 16:37:00,AQUA_M-T,Brasil,SAO PAULO,GETULINA,Mata Atlantica,,0,1,-21.784,-49.944,
2015/08/01 16:37:00,AQUA_M-T,Brasil,MINAS GERAIS,RIO VERMELHO,Mata Atlantica,,0,0.83,-18.382,-43.096,
2015/08/01 16:37:00,AQUA_M-T,Brasil,MINAS GERAIS,POCOS DE CALDAS,Mata Atlantica,,0,1,-21.853,-46.509,
2015/08/01 16:37:00,AQUA_M-T,Brasil,MINAS GERAIS,PERDIGAO,Cerrado,,0,1,-19.921,-45.03,
2015/08/01 16:37:00,AQUA_M-T,Brasil,SAO PAULO,ARAMINA,Cerrado,,0,1,-20.161,-47.82,
2015/08/01 16:37:00,AQUA_M-T,Brasil,MINAS GERAIS,DIAMANTINA,Cerrado,,0,1,-18.235,-43.82,
2015/08/01 16:37:00,AQUA_M-T,Brasil,MINAS GERAIS,CASA GRANDE,Mata Atlantica,,0,1,-20.774,-43.936,
2015/08/01 16:37:00,AQUA_M-T,Brasil,SAO PAULO,ROSANA,Mata Atlantica,,0,0.39,-22.439,-52.794,
2015/08/01 16:37:00,AQUA_M-T,Brasil,MINAS GERAIS,ITATIAIUCU,Mata Atlantica,,0,1,-20.183,-44.385,
