datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2015/12/01 15:37:00,AQUA_M-T,Brasil,BAHIA,RIO REAL,Caatinga,,0,1,-11.555,-37.872,
2015/12/01 15:37:00,AQUA_M-T,Brasil,BAHIA,SAO FELIX,Mata Atlantica,,0,0.48,-12.695,-39.002,
2015/12/01 15:37:00,AQUA_M-T,Brasil,BAHIA,SAO FELIX,Mata Atlantica,,0,1,-12.69,-38.967,
2015/12/01 15:37:00,AQUA_M-T,Brasil,BAHIA,SAO FELIX,Mata Atlantica,,0,0.48,-12.694,-39.006,
2015/12/01 15:37:00,AQUA_M-T,Brasil,BAHIA,RIO REAL,Caatinga,,0,1,-11.569,-37.895,
2015/12/01 15:37:00,AQUA_M-T,Brasil,BAHIA,RIO REAL,Caatinga,,0,1,-11.559,-37.903,
2015/12/01 15:37:00,AQUA_M-T,Brasil,BAHIA,RIO REAL,Caatinga,,0,1,-11.566,-37.864,
2015/12/01 15:38:00,AQUA_M-T,Brasil,ALAGOAS,LIMOEIRO DE ANADIA,Mata Atlantica,,0,1,-9.686,-36.381,
2015/12/01 15:38:00,AQUA_M-T,Brasil,BAHIA,JEREMOABO,Caatinga,,0,1,-9.931,-38.397,
2015/12/01 15:38:00,AQUA_M-T,Brasil,ALAGOAS,ANADIA,Mata Atlantica,,0,1,-9.683,-36.359,
2015/12/01 15:38:00,AQUA_M-T,Brasil,ALAGOAS,CAPELA,Mata Atlantica,,0,1,-9.285,-36.083,
2015/12/01 15:38:00,AQUA_M-T,Brasil,ALAGOAS,ANADIA,Mata Atlantica,,0,1,-9.676,-36.365,
2015/12/01 15:38:00,AQUA_M-T,Brasil,PERNAMBUCO,PEDRA,Caatinga,,0,1,-8.782,-36.934,
2015/12/01 15:38:00,AQUA_M-T,Brasil,ALAGOAS,ANADIA,Mata Atlantica,,0,1,-9.69,-36.363,
2015/12/01 15:38:00,AQUA_M-T,Brasil,PERNAMBUCO,CUSTODIA,Caatinga,,0,1,-7.896,-37.617,
2015/12/01 15:38:00,AQUA_M-T,Brasil,PERNAMBUCO,PEDRA,Caatinga,,0,1,-8.777,-36.942,
2015/12/01 15:38:00,AQUA_M-T,Brasil,ALAGOAS,CAPELA,Mata Atlantica,,0,1,-9.289,-36.087,
2015/12/01 15:38:00,AQUA_M-T,Brasil,ALAGOAS,PENEDO,Caatinga,,0,1,-10.083,-36.424,
2015/12/01 15:39:00,AQUA_M-T,Brasil,PARAIBA,CRUZ DO ESPIRITO SANTO,Mata Atlantica,,0,1,-7.065,-35.116,
2015/12/01 15:39:00,AQUA_M-T,Brasil,CEARA,JARDIM,Caatinga,,0,1,-7.605,-39.217,
2015/12/01 15:39:00,AQUA_M-T,Brasil,CEARA,JARDIM,Caatinga,,0,1,-7.595,-39.209,
2015/12/01 15:39:00,AQUA_M-T,Brasil,CEARA,ICO,Caatinga,,0,1,-6.419,-38.617,
2015/12/01 15:39:00,AQUA_M-T,Brasil,PARAIBA,CRUZ DO ESPIRITO SANTO,Mata Atlantica,,0,1,-7.063,-35.1,
2015/12/01 17:11:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Pampa,,3.8,0,-30.453,-52.706,
2015/12/01 17:11:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,CANGUCU,Pampa,,1.1,0,-31.177,-52.728,
2015/12/01 17:14:00,AQUA_M-T,Brasil,SAO PAULO,ILHA SOLTEIRA,Mata Atlantica,,0,0.01,-20.407,-51.218,
2015/12/01 17:14:00,AQUA_M-T,Brasil,GOIAS,MONTIVIDIU,Cerrado,,0,0.34,-17.373,-51.166,
2015/12/01 17:14:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,,0,0,-19.327,-55.787,
2015/12/01 17:14:00,AQUA_M-T,Brasil,GOIAS,CAIAPONIA,Cerrado,,0.2,0.58,-17.059,-51.296,
2015/12/01 17:14:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,SELVIRIA,Cerrado,,0,0.01,-20.209,-51.688,
2015/12/01 17:14:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTA VITORIA,Mata Atlantica,,0,0.33,-18.802,-50.265,
2015/12/01 17:14:00,AQUA_M-T,Brasil,MINAS GERAIS,ITUIUTABA,Cerrado,,0.2,0.21,-18.845,-49.724,
2015/12/01 17:14:00,AQUA_M-T,Brasil,GOIAS,ITARUMA,Cerrado,,0,0.02,-19.034,-51.136,
2015/12/01 17:14:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,0,0,-18.575,-57.246,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,ALTO ARAGUAIA,Cerrado,,0,,-17.318,-53.217,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Amazonia,,0,0.73,-15.765,-57.564,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,GUIRATINGA,Cerrado,,0,0.79,-16.307,-53.217,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,ALTO GARCAS,Cerrado,,0,1,-16.508,-53.206,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,ALTO GARCAS,Cerrado,,0,1,-16.849,-53.877,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,ITIQUIRA,Cerrado,,0,0.83,-17.315,-53.859,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,,3.4,0.45,-16.887,-56.572,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,0,0.01,-14.819,-52.578,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,0,0.01,-14.817,-52.569,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,BARRA DO GARCAS,Cerrado,,0.1,0,-15.693,-52.266,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,ITIQUIRA,Cerrado,,0,0.83,-17.324,-53.871,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,ITIQUIRA,Cerrado,,0,0.84,-17.316,-53.869,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,PEDRA PRETA,Cerrado,,0,1,-16.629,-53.953,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,LAMBARI D'OESTE,Amazonia,,0.6,0.06,-15.451,-57.881,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,ALTO PARAGUAI,Cerrado,,4,0,-15.041,-56.811,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,,4.6,0.05,-16.742,-56.617,
2015/12/01 17:15:00,AQUA_M-T,Brasil,GOIAS,DOVERLANDIA,Cerrado,,0,0,-16.801,-52.552,
2015/12/01 17:15:00,AQUA_M-T,Brasil,GOIAS,CAIAPONIA,Cerrado,,0,0.02,-16.856,-52.166,
2015/12/01 17:15:00,AQUA_M-T,Brasil,GOIAS,DOVERLANDIA,Cerrado,,0,0,-16.795,-52.572,
2015/12/01 17:15:00,AQUA_M-T,Brasil,GOIAS,ARENOPOLIS,Cerrado,,0.1,0.01,-16.522,-51.459,
2015/12/01 17:15:00,AQUA_M-T,Brasil,GOIAS,BOM JARDIM DE GOIAS,Cerrado,,0,0,-16.284,-52.092,
2015/12/01 17:15:00,AQUA_M-T,Brasil,GOIAS,DOVERLANDIA,Cerrado,,0,0,-16.804,-52.57,
2015/12/01 17:15:00,AQUA_M-T,Brasil,GOIAS,BOM JARDIM DE GOIAS,Cerrado,,0,0,-16.285,-52.102,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,BARRA DO GARCAS,Cerrado,,0,0.32,-15.055,-52.438,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,PONTES E LACERDA,Amazonia,,0,0.16,-15.917,-59.622,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,Amazonia,,0,0.32,-16.17,-59.647,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,Amazonia,,0,0.41,-15.569,-60.203,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,PONTES E LACERDA,Amazonia,,0,0.16,-15.92,-59.644,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,PONTES E LACERDA,Amazonia,,0,0.17,-15.922,-59.627,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,Amazonia,,0,1,-16.172,-59.67,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,POXOREU,Cerrado,,0.3,0,-16.1,-54.321,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,,0.6,0,-14.009,-53.154,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,0,0.02,-14.689,-52.7,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,,3.4,0.48,-16.898,-56.571,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,0,0,-14.4,-52.355,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,,0.6,0,-14,-53.152,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,ALTO GARCAS,Cerrado,,0,0.49,-16.851,-53.887,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,,0.6,0,-14.007,-53.145,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,PARANATINGA,Cerrado,,0,0,-14.433,-53.556,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA XAVANTINA,Cerrado,,0.1,0,-14.687,-52.69,
2015/12/01 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,TESOURO,Cerrado,,0.1,0.07,-15.821,-53.684,
2015/12/01 17:15:00,AQUA_M-T,Brasil,GOIAS,SAO DOMINGOS,Cerrado,,0,0.46,-13.703,-46.695,
2015/12/01 17:15:00,AQUA_M-T,Brasil,BAHIA,SAO DESIDERIO,Cerrado,,0,0.14,-12.723,-44.934,
2015/12/01 17:15:00,AQUA_M-T,Brasil,GOIAS,JUSSARA,Cerrado,,0.2,0,-15.952,-51.282,
2015/12/01 17:15:00,AQUA_M-T,Brasil,GOIAS,DOVERLANDIA,Cerrado,,0,0,-16.805,-52.58,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,SANTA CARMEM,Amazonia,,2.4,,-11.935,-54.877,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA CANAA DO NORTE,Amazonia,,1.3,1,-10.526,-55.795,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,COLIDER,Amazonia,,0,1,-10.764,-55.59,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,COLIDER,Amazonia,,0,1,-10.276,-55.626,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,PORTO ALEGRE DO NORTE,Amazonia,,0.1,0,-10.6,-52.182,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA CANAA DO NORTE,Amazonia,,0,1,-10.893,-56.11,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,PORTO DOS GAUCHOS,Amazonia,,0.8,1,-11.698,-57.165,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA GUARITA,Amazonia,,0.5,1,-10.267,-55.179,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,PARANATINGA,Amazonia,,6,0,-12.372,-53.733,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,SAO FELIX DO ARAGUAIA,Amazonia,,0,0.03,-11.41,-52.868,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,JUARA,Amazonia,,2.3,0.08,-10.716,-57.593,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,ITAUBA,Amazonia,,0,0.17,-11.181,-55.466,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Cerrado,,0.2,1,-13.471,-56.955,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Cerrado,,0,0,-13.016,-54.854,
2015/12/01 17:16:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Amazonia,,0,0,-13.033,-54.716,
