datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2016/01/01 16:30:00,AQUA_M-T,Brasil,SAO PAULO,ITAPIRA,Cerrado,,3.7,,-22.432,-46.829,
2016/01/01 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,OLIVEIRA,Mata Atlantica,,0,0.98,-20.702,-44.822,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,JUCURUCU,Mata Atlantica,,0,,-16.729,-39.972,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,JUCURUCU,Mata Atlantica,,0,,-16.758,-39.915,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,JUCURUCU,Mata Atlantica,,0,,-16.76,-39.925,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,BELMONTE,Mata Atlantica,,0,1,-16.029,-38.961,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,MUCURI,Mata Atlantica,,0,1,-18.137,-39.703,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,MUCURI,Mata Atlantica,,0,1,-18.135,-39.693,
2016/01/01 16:31:00,AQUA_M-T,Brasil,MINAS GERAIS,UBERABA,Cerrado,,0.4,0.09,-19.942,-48.024,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,NOVA VICOSA,Mata Atlantica,,0,0.5,-17.848,-39.933,
2016/01/01 16:31:00,AQUA_M-T,Brasil,ESPIRITO SANTO,SAO MATEUS,Mata Atlantica,,0,0.31,-18.836,-39.83,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,JUCURUCU,Mata Atlantica,,0,1,-16.737,-39.96,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,ALCOBACA,Mata Atlantica,,0,0.59,-17.564,-39.286,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,NOVA VICOSA,Mata Atlantica,,0,1,-17.907,-39.463,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,BELMONTE,Mata Atlantica,,0,0.31,-16.028,-39.018,
2016/01/01 16:31:00,AQUA_M-T,Brasil,ESPIRITO SANTO,SAO MATEUS,Mata Atlantica,,0,1,-18.794,-39.854,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,JUCURUCU,Mata Atlantica,,0,1,-16.738,-39.969,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,NOVA VICOSA,Mata Atlantica,,0,1,-17.909,-39.473,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,ALCOBACA,Mata Atlantica,,0,0.59,-17.566,-39.297,
2016/01/01 16:31:00,AQUA_M-T,Brasil,ESPIRITO SANTO,LINHARES,Mata Atlantica,,0,1,-19.617,-39.999,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,GUARATINGA,Mata Atlantica,,0,0.57,-16.421,-39.995,
2016/01/01 16:31:00,AQUA_M-T,Brasil,ESPIRITO SANTO,ARACRUZ,Mata Atlantica,,0,0.24,-19.69,-40.061,
2016/01/01 16:31:00,AQUA_M-T,Brasil,ESPIRITO SANTO,SAO MATEUS,Mata Atlantica,,0,0.21,-18.588,-39.961,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,CARAVELAS,Mata Atlantica,,0,0.5,-17.841,-39.411,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,JUCURUCU,Mata Atlantica,,0,0.56,-16.794,-39.788,
2016/01/01 16:31:00,AQUA_M-T,Brasil,ESPIRITO SANTO,SANTA TERESA,Mata Atlantica,,0,0.25,-19.914,-40.645,
2016/01/01 16:31:00,AQUA_M-T,Brasil,ESPIRITO SANTO,SAO MATEUS,Mata Atlantica,,0,1,-18.969,-39.852,
2016/01/01 16:31:00,AQUA_M-T,Brasil,ESPIRITO SANTO,SAO MATEUS,Mata Atlantica,,0,0.31,-18.835,-39.82,
2016/01/01 16:31:00,AQUA_M-T,Brasil,ESPIRITO SANTO,SANTA TERESA,Mata Atlantica,,0,0.25,-19.916,-40.655,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,PRADO,Mata Atlantica,,0,0.76,-17.251,-39.396,
2016/01/01 16:31:00,AQUA_M-T,Brasil,ESPIRITO SANTO,LINHARES,Mata Atlantica,,0,1,-19.609,-40.01,
2016/01/01 16:31:00,AQUA_M-T,Brasil,ESPIRITO SANTO,LINHARES,Mata Atlantica,,0,1,-19.626,-39.998,
2016/01/01 16:31:00,AQUA_M-T,Brasil,BAHIA,BELMONTE,Mata Atlantica,,0,0.31,-16.029,-39.029,
