datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2016/03/01 16:54:00,AQUA_M-T,Brasil,SANTA CATARINA,ITAIOPOLIS,Mata Atlantica,,0,0.41,-26.261,-49.951,
2016/03/01 16:55:00,AQUA_M-T,Brasil,ESPIRITO SANTO,LINHARES,Mata Atlantica,,0,1,-19.17,-39.863,
2016/03/01 16:55:00,AQUA_M-T,Brasil,ESPIRITO SANTO,ARACRUZ,Mata Atlantica,,0,1,-19.94,-40.159,
2016/03/01 16:55:00,AQUA_M-T,Brasil,ESPIRITO SANTO,ARACRUZ,Mata Atlantica,,0,1,-19.94,-40.175,
2016/03/01 16:55:00,AQUA_M-T,Brasil,SAO PAULO,NHANDEARA,Mata Atlantica,,0.2,0.1,-20.748,-50.088,
2016/03/01 16:55:00,AQUA_M-T,Brasil,ESPIRITO SANTO,LINHARES,Mata Atlantica,,0,1,-19.164,-39.869,
2016/03/01 16:56:00,AQUA_M-T,Brasil,MINAS GERAIS,PONTO DOS VOLANTES,Mata Atlantica,,0,,-16.777,-41.556,
2016/03/01 16:56:00,AQUA_M-T,Brasil,ESPIRITO SANTO,LINHARES,Mata Atlantica,,0,0.12,-19.056,-39.892,
2016/03/01 16:57:00,AQUA_M-T,Brasil,GOIAS,CRIXAS,Cerrado,,0,0.03,-14.471,-50.056,
2016/03/01 16:57:00,AQUA_M-T,Brasil,GOIAS,NIQUELANDIA,Cerrado,,0,0.03,-14.386,-48.599,
2016/03/01 16:57:00,AQUA_M-T,Brasil,GOIAS,CRIXAS,Cerrado,,0,0.03,-14.48,-50.055,
2016/03/01 16:57:00,AQUA_M-T,Brasil,GOIAS,NIQUELANDIA,Cerrado,,0,0.03,-14.387,-48.608,
2016/03/01 16:57:00,AQUA_M-T,Brasil,GOIAS,SANTA TEREZINHA DE GOIAS,Cerrado,,0.5,0.03,-14.285,-49.514,
2016/03/01 16:57:00,AQUA_M-T,Brasil,GOIAS,NIQUELANDIA,Cerrado,,0,0.03,-14.32,-48.842,
2016/03/01 16:57:00,AQUA_M-T,Brasil,GOIAS,NOVO PLANALTO,Cerrado,,0,0.03,-13.22,-49.649,
2016/03/01 16:57:00,AQUA_M-T,Brasil,GOIAS,NOVO PLANALTO,Cerrado,,0,0.03,-13.218,-49.639,
2016/03/01 16:57:00,AQUA_M-T,Brasil,MATO GROSSO,PRIMAVERA DO LESTE,Cerrado,,1.1,1,-14.732,-53.901,
2016/03/01 16:57:00,AQUA_M-T,Brasil,MATO GROSSO,ITIQUIRA,Cerrado,,0,0.17,-17.326,-54.381,
2016/03/01 16:57:00,AQUA_M-T,Brasil,GOIAS,TRINDADE,Cerrado,,4.3,0.43,-16.587,-49.558,
2016/03/01 16:57:00,AQUA_M-T,Brasil,GOIAS,PIRENOPOLIS,Cerrado,,1.1,1,-15.813,-49.133,
2016/03/01 16:57:00,AQUA_M-T,Brasil,GOIAS,ITAPACI,Cerrado,,0.1,1,-14.974,-49.575,
2016/03/01 16:57:00,AQUA_M-T,Brasil,BAHIA,SAO DESIDERIO,Cerrado,,0,0.62,-13.051,-45.13,
2016/03/01 16:57:00,AQUA_M-T,Brasil,BAHIA,CACHOEIRA,Mata Atlantica,,0,1,-12.617,-38.857,
2016/03/01 16:57:00,AQUA_M-T,Brasil,BAHIA,SAO DESIDERIO,Cerrado,,0,0.65,-13.053,-45.142,
