datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2016/11/01 15:37:00,AQUA_M-T,Brasil,SERGIPE,JAPARATUBA,Mata Atlantica,,,,-10.534,-36.963,
2016/11/01 15:38:00,AQUA_M-T,Brasil,CEARA,BARRO,Caatinga,,,,-7.236,-38.845,
2016/11/01 15:38:00,AQUA_M-T,Brasil,CEARA,AURORA,Caatinga,,,,-7.154,-39.091,
2016/11/01 15:38:00,AQUA_M-T,Brasil,PARAIBA,PEDRAS DE FOGO,Mata Atlantica,,,,-7.317,-35.083,
2016/11/01 15:38:00,AQUA_M-T,Brasil,ALAGOAS,COLONIA LEOPOLDINA,Mata Atlantica,,,,-8.92,-35.766,
2016/11/01 15:38:00,AQUA_M-T,Brasil,PARAIBA,PEDRAS DE FOGO,Mata Atlantica,,,,-7.314,-35.066,
2016/11/01 15:38:00,AQUA_M-T,Brasil,ALAGOAS,COLONIA LEOPOLDINA,Mata Atlantica,,,,-8.922,-35.778,
2016/11/01 15:38:00,AQUA_M-T,Brasil,CEARA,FARIAS BRITO,Caatinga,,,,-6.938,-39.413,
2016/11/01 15:38:00,AQUA_M-T,Brasil,CEARA,MILAGRES,Caatinga,,,,-7.232,-38.813,
2016/11/01 15:38:00,AQUA_M-T,Brasil,PARAIBA,JACARAU,Mata Atlantica,,,,-6.654,-35.181,
2016/11/01 15:38:00,AQUA_M-T,Brasil,CEARA,FARIAS BRITO,Caatinga,,,,-6.933,-39.418,
2016/11/01 15:38:00,AQUA_M-T,Brasil,CEARA,BARRO,Caatinga,,,,-7.229,-38.842,
2016/11/01 15:38:00,AQUA_M-T,Brasil,PARAIBA,JACARAU,Mata Atlantica,,,,-6.645,-35.172,
2016/11/01 15:38:00,AQUA_M-T,Brasil,PARAIBA,JACARAU,Mata Atlantica,,,,-6.647,-35.188,
2016/11/01 15:38:00,AQUA_M-T,Brasil,ALAGOAS,COLONIA LEOPOLDINA,Mata Atlantica,,,,-8.92,-35.759,
2016/11/01 15:38:00,AQUA_M-T,Brasil,PARAIBA,MAMANGUAPE,Mata Atlantica,,,,-6.666,-35.179,
2016/11/01 15:38:00,AQUA_M-T,Brasil,BAHIA,JEREMOABO,Caatinga,,,,-10.185,-38.447,
2016/11/01 15:38:00,AQUA_M-T,Brasil,CEARA,BARRO,Caatinga,,,,-7.225,-38.809,
2016/11/01 15:39:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SAO GONCALO DO AMARANTE,Caatinga,,,,-5.761,-35.345,
2016/11/01 15:39:00,AQUA_M-T,Brasil,CEARA,CHORO,Caatinga,,,,-4.817,-39.324,
2016/11/01 15:39:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,MACAIBA,Caatinga,,,,-5.873,-35.325,
2016/11/01 15:39:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,UPANEMA,Caatinga,,,,-5.723,-37.397,
2016/11/01 15:39:00,AQUA_M-T,Brasil,CEARA,ICO,Caatinga,,,,-6.481,-38.866,
2016/11/01 15:39:00,AQUA_M-T,Brasil,CEARA,ICO,Caatinga,,,,-6.442,-39.136,
2016/11/01 15:39:00,AQUA_M-T,Brasil,CEARA,CHORO,Caatinga,,,,-4.81,-39.317,
