datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2016/10/01 16:17:00,AQUA_M-T,Brasil,SAO PAULO,LEME,Mata Atlantica,,,,-22.227,-47.305,
2016/10/01 16:17:00,AQUA_M-T,Brasil,SAO PAULO,ARARAS,Mata Atlantica,,,,-22.233,-47.3,
2016/10/01 16:18:00,AQUA_M-T,Brasil,SAO PAULO,JARDINOPOLIS,Cerrado,,,,-21.021,-47.688,
2016/10/01 16:18:00,AQUA_M-T,Brasil,SAO PAULO,SAO SIMAO,Cerrado,,,,-21.38,-47.629,
2016/10/01 16:18:00,AQUA_M-T,Brasil,GOIAS,CUMARI,Mata Atlantica,,,,-18.42,-48.037,
2016/10/01 16:18:00,AQUA_M-T,Brasil,SAO PAULO,JARDINOPOLIS,Cerrado,,,,-21.025,-47.682,
2016/10/01 16:18:00,AQUA_M-T,Brasil,GOIAS,CUMARI,Mata Atlantica,,,,-18.424,-48.074,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,VITORIA DA CONQUISTA,Mata Atlantica,,,,-15.418,-41.082,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,TREMEDAL,Mata Atlantica,,,,-15.26,-41.421,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,TREMEDAL,Caatinga,,,,-14.909,-41.31,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,VITORIA DA CONQUISTA,Mata Atlantica,,,,-15.42,-41.092,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO JOAO DO PARAISO,Mata Atlantica,,,,-15.471,-41.945,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,CANDIDO SALES,Mata Atlantica,,,,-15.246,-41.313,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,ARINOS,Cerrado,,,,-15.617,-45.646,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,JUVENILIA,Cerrado,,,,-14.304,-43.895,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,JANUARIA,Cerrado,,,,-15.075,-45.106,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,TREMEDAL,Caatinga,,,,-14.907,-41.3,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,TREMEDAL,Mata Atlantica,,,,-15.086,-41.414,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,VITORIA DA CONQUISTA,Mata Atlantica,,,,-15.428,-41.08,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,CACHOEIRA DE PAJEU,Mata Atlantica,,,,-15.833,-41.369,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,ARACATU,Caatinga,,,,-14.472,-41.543,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,BURITIS,Cerrado,,,,-15.157,-46.811,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,ICARAI DE MINAS,Cerrado,,,,-16.303,-45.058,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,ARINOS,Cerrado,,,,-15.592,-45.633,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,BELO CAMPO,Mata Atlantica,,,,-15.078,-41.133,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,CORONEL MURTA,Mata Atlantica,,,,-16.591,-42.187,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,BELO CAMPO,Mata Atlantica,,,,-15.115,-41.192,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,ARINOS,Cerrado,,,,-15.588,-45.628,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,AGUAS VERMELHAS,Mata Atlantica,,,,-15.606,-41.414,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,URUCUIA,Cerrado,,,,-16.156,-45.591,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,TREMEDAL,Mata Atlantica,,,,-15.031,-41.318,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,BONITO DE MINAS,Cerrado,,,,-15.06,-45.088,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,CANDIDO SALES,Mata Atlantica,,,,-15.248,-41.324,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,PIRIPA,Mata Atlantica,,,,-15.011,-41.686,
2016/10/01 16:19:00,AQUA_M-T,Brasil,MINAS GERAIS,BURITIS,Cerrado,,,,-15.159,-46.807,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,ARACATU,Caatinga,,,,-14.482,-41.542,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,TREMEDAL,Caatinga,,,,-15.007,-41.508,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,BELO CAMPO,Mata Atlantica,,,,-15.12,-41.195,
2016/10/01 16:19:00,AQUA_M-T,Brasil,BAHIA,ANAGE,Caatinga,,,,-14.483,-40.737,
2016/10/01 16:20:00,AQUA_M-T,Brasil,TOCANTINS,TALISMA,Cerrado,,,,-12.588,-48.889,
2016/10/01 16:20:00,AQUA_M-T,Brasil,BAHIA,CORIBE,Cerrado,,,,-13.848,-44.351,
2016/10/01 16:20:00,AQUA_M-T,Brasil,BAHIA,LUIS EDUARDO MAGALHAES,Cerrado,,,,-12.121,-45.856,
2016/10/01 16:20:00,AQUA_M-T,Brasil,BAHIA,SERRA DO RAMALHO,Cerrado,,,,-13.503,-43.529,
2016/10/01 16:20:00,AQUA_M-T,Brasil,BAHIA,PARATINGA,Caatinga,,,,-13.028,-43.03,
2016/10/01 16:20:00,AQUA_M-T,Brasil,BAHIA,FORMOSA DO RIO PRETO,Cerrado,,,,-11.125,-45.914,
2016/10/01 16:20:00,AQUA_M-T,Brasil,BAHIA,SAO FELIX DO CORIBE,Cerrado,,,,-13.75,-44.022,
2016/10/01 16:20:00,AQUA_M-T,Brasil,BAHIA,CAETITE,Caatinga,,,,-13.847,-42.446,
2016/10/01 16:20:00,AQUA_M-T,Brasil,BAHIA,LUIS EDUARDO MAGALHAES,Cerrado,,,,-12.136,-45.874,
2016/10/01 16:20:00,AQUA_M-T,Brasil,BAHIA,FORMOSA DO RIO PRETO,Cerrado,,,,-11.112,-45.916,
