datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2016/09/01 16:07:00,AQUA_M-T,Brasil,BAHIA,CORRENTINA,Cerrado,,,,-13.516,-45.069,
2016/09/01 16:07:00,AQUA_M-T,Brasil,MINAS GERAIS,PORTEIRINHA,Caatinga,,,,-15.589,-43.224,
2016/09/01 16:07:00,AQUA_M-T,Brasil,BAHIA,TREMEDAL,Mata Atlantica,,,,-14.988,-41.346,
2016/09/01 16:07:00,AQUA_M-T,Brasil,BAHIA,CORRENTINA,Cerrado,,,,-13.506,-45.075,
2016/09/01 16:07:00,AQUA_M-T,Brasil,BAHIA,CACULE,Caatinga,,,,-14.466,-42.179,
2016/09/01 16:07:00,AQUA_M-T,Brasil,BAHIA,GUAJERU,Caatinga,,,,-14.672,-41.948,
2016/09/01 16:07:00,AQUA_M-T,Brasil,MINAS GERAIS,ITINGA,Mata Atlantica,,,,-16.428,-41.728,
2016/09/01 16:07:00,AQUA_M-T,Brasil,BAHIA,CARAIBAS,Caatinga,,,,-14.62,-41.416,
2016/09/01 16:07:00,AQUA_M-T,Brasil,BAHIA,BRUMADO,Caatinga,,,,-14.378,-41.569,
2016/09/01 16:07:00,AQUA_M-T,Brasil,BAHIA,BRUMADO,Caatinga,,,,-14.384,-41.581,
2016/09/01 16:07:00,AQUA_M-T,Brasil,BAHIA,GUAJERU,Caatinga,,,,-14.479,-41.967,
2016/09/01 16:07:00,AQUA_M-T,Brasil,BAHIA,CACULE,Caatinga,,,,-14.466,-42.184,
2016/09/01 16:07:00,AQUA_M-T,Brasil,MINAS GERAIS,ITINGA,Mata Atlantica,,,,-16.428,-41.733,
2016/09/01 16:07:00,AQUA_M-T,Brasil,MINAS GERAIS,PORTEIRINHA,Cerrado,,,,-15.586,-42.885,
2016/09/01 16:07:00,AQUA_M-T,Brasil,BAHIA,GUAJERU,Caatinga,,,,-14.67,-41.929,
2016/09/01 16:07:00,AQUA_M-T,Brasil,MINAS GERAIS,PORTEIRINHA,Caatinga,,,,-15.581,-43.218,
2016/09/01 16:08:00,AQUA_M-T,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,,,,-9.976,-46.116,
2016/09/01 16:08:00,AQUA_M-T,Brasil,TOCANTINS,ALMAS,Cerrado,,,,-11.432,-47.339,
2016/09/01 16:08:00,AQUA_M-T,Brasil,TOCANTINS,ALMAS,Cerrado,,,,-11.434,-47.342,
2016/09/01 16:08:00,AQUA_M-T,Brasil,MARANHAO,ALTO PARNAIBA,Cerrado,,,,-9.945,-45.987,
2016/09/01 16:08:00,AQUA_M-T,Brasil,TOCANTINS,MATEIROS,Cerrado,,,,-10.832,-46.634,
2016/09/01 16:08:00,AQUA_M-T,Brasil,TOCANTINS,MATEIROS,Cerrado,,,,-10.845,-46.637,
2016/09/01 16:08:00,AQUA_M-T,Brasil,TOCANTINS,MATEIROS,Cerrado,,,,-10.849,-46.632,
2016/09/01 16:08:00,AQUA_M-T,Brasil,TOCANTINS,ALMAS,Cerrado,,,,-11.908,-47.398,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,PILAO ARCADO,Caatinga,,,,-10.267,-42.464,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.084,-43.564,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,JUAZEIRO,Caatinga,,,,-9.221,-40.242,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,PILAO ARCADO,Caatinga,,,,-9.624,-43.665,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,JUAZEIRO,Caatinga,,,,-9.431,-40.44,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.104,-43.642,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BREJOLANDIA,Cerrado,,,,-12.316,-43.954,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.088,-43.622,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.08,-43.557,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.1,-43.584,
2016/09/01 16:08:00,AQUA_M-T,Brasil,TOCANTINS,ALMAS,Cerrado,,,,-11.906,-47.391,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,MACAUBAS,Caatinga,,,,-13.147,-42.57,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,PILAO ARCADO,Caatinga,,,,-10.269,-42.481,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,PILAO ARCADO,Caatinga,,,,-9.621,-43.645,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.101,-43.621,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BREJOLANDIA,Cerrado,,,,-12.32,-43.948,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.087,-43.586,
2016/09/01 16:08:00,AQUA_M-T,Brasil,PIAUI,BARREIRAS DO PIAUI,Cerrado,,,,-10.142,-45.856,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.109,-43.575,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.103,-43.606,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.112,-43.597,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,PILAO ARCADO,Caatinga,,,,-9.605,-43.612,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,PILAO ARCADO,Caatinga,,,,-9.626,-43.672,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.098,-43.562,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.115,-43.619,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,MACAUBAS,Caatinga,,,,-13.012,-42.639,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,MACAUBAS,Caatinga,,,,-13.145,-42.557,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BURITIRAMA,Cerrado,,,,-10.581,-43.505,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.092,-43.629,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,PILAO ARCADO,Caatinga,,,,-9.608,-43.632,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.117,-43.641,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.085,-43.6,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,PILAO ARCADO,Caatinga,,,,-9.624,-43.651,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,PILAO ARCADO,Caatinga,,,,-9.626,-43.686,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,MACAUBAS,Caatinga,,,,-13.147,-42.577,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.096,-43.577,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.106,-43.627,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.09,-43.607,
2016/09/01 16:08:00,AQUA_M-T,Brasil,BAHIA,BARRA,Cerrado,,,,-11.099,-43.599,
2016/09/01 16:09:00,AQUA_M-T,Brasil,TOCANTINS,GOIATINS,Cerrado,,,,-8.017,-47.716,
2016/09/01 16:09:00,AQUA_M-T,Brasil,TOCANTINS,CAMPOS LINDOS,Cerrado,,,,-8.013,-46.562,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.472,-45.184,
2016/09/01 16:09:00,AQUA_M-T,Brasil,TOCANTINS,GOIATINS,Cerrado,,,,-8.252,-47.429,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.558,-45.14,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.611,-45.109,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,COLINAS,Cerrado,,,,-6.037,-44.131,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.337,-44.623,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,RIACHAO,Cerrado,,,,-7.278,-46.528,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.557,-45.171,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.564,-45.121,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,FERNANDO FALCAO,Cerrado,,,,-6.109,-45.305,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,COLINAS,Cerrado,,,,-6.039,-44.151,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.037,-44.532,
2016/09/01 16:09:00,AQUA_M-T,Brasil,TOCANTINS,GOIATINS,Cerrado,,,,-8.047,-47.671,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,BALSAS,Cerrado,,,,-7.938,-45.873,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.091,-44.335,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,COLINAS,Cerrado,,,,-6.037,-44.138,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.468,-45.189,
2016/09/01 16:09:00,AQUA_M-T,Brasil,TOCANTINS,CAMPOS LINDOS,Cerrado,,,,-8.017,-46.595,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,COLINAS,Cerrado,,,,-6.138,-44.112,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,SAO FELIX DE BALSAS,Cerrado,,,,-7.37,-45.012,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.555,-45.116,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,NOVA IORQUE,Cerrado,,,,-6.965,-44.242,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.034,-44.51,
2016/09/01 16:09:00,AQUA_M-T,Brasil,TOCANTINS,GOIATINS,Cerrado,,,,-8.048,-47.667,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,COLINAS,Cerrado,,,,-6.14,-44.116,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.11,-44.388,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.088,-44.314,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,CAROLINA,Cerrado,,,,-7.647,-47.197,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,SUCUPIRA DO NORTE,Cerrado,,,,-6.354,-44.171,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,COLINAS,Cerrado,,,,-6.04,-44.158,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,RIACHAO,Cerrado,,,,-7.224,-46.574,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,COLINAS,Cerrado,,,,-6.025,-44.14,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,COLINAS,Cerrado,,,,-6.142,-44.135,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.55,-45.123,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,COLINAS,Cerrado,,,,-6.153,-44.129,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,SUCUPIRA DO NORTE,Cerrado,,,,-6.365,-44.148,
2016/09/01 16:09:00,AQUA_M-T,Brasil,TOCANTINS,GOIATINS,Cerrado,,,,-8.248,-47.39,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,COLINAS,Cerrado,,,,-6.02,-44.303,
2016/09/01 16:09:00,AQUA_M-T,Brasil,TOCANTINS,CAMPOS LINDOS,Cerrado,,,,-8.005,-46.556,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,COLINAS,Cerrado,,,,-6.14,-44.131,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.089,-44.328,
2016/09/01 16:09:00,AQUA_M-T,Brasil,TOCANTINS,SANTA MARIA DO TOCANTINS,Cerrado,,,,-8.873,-47.938,
2016/09/01 16:09:00,AQUA_M-T,Brasil,MARANHAO,MIRADOR,Cerrado,,,,-6.615,-45.103,
2016/09/01 16:09:00,AQUA_M-T,Brasil,TOCANTINS,DARCINOPOLIS,Cerrado,,,,-6.736,-47.557,
