datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2017/02/01 16:01:00,AQUA_M-T,Brasil,BAHIA,POTIRAGUA,Mata Atlantica,0,1.6,0.18,-15.707,-39.594,
2017/02/01 16:01:00,AQUA_M-T,Brasil,BAHIA,TEOLANDIA,Mata Atlantica,0,0,0.87,-13.571,-39.568,
2017/02/01 16:01:00,AQUA_M-T,Brasil,BAHIA,WENCESLAU GUIMARAES,Mata Atlantica,0,0,0.87,-13.574,-39.573,
2017/02/01 16:01:00,AQUA_M-T,Brasil,BAHIA,PORTO SEGURO,Mata Atlantica,0,0.3,0.17,-16.402,-39.109,
2017/02/01 16:02:00,AQUA_M-T,Brasil,BAHIA,SANTO AMARO,Mata Atlantica,0,0.2,1,-12.655,-38.758,
2017/02/01 16:03:00,AQUA_M-T,Brasil,PERNAMBUCO,QUIPAPA,Mata Atlantica,0,0,,-8.877,-36.082,
2017/02/01 16:03:00,AQUA_M-T,Brasil,PERNAMBUCO,AGUA PRETA,Mata Atlantica,0,0.1,1,-8.744,-35.594,
2017/02/01 16:03:00,AQUA_M-T,Brasil,PERNAMBUCO,GARANHUNS,Mata Atlantica,0,0,1,-9.001,-36.375,
2017/02/01 16:03:00,AQUA_M-T,Brasil,ALAGOAS,MATRIZ DE CAMARAGIBE,Mata Atlantica,0,0,1,-9.106,-35.618,
2017/02/01 16:03:00,AQUA_M-T,Brasil,PERNAMBUCO,GARANHUNS,Mata Atlantica,0,0,1,-9.003,-36.384,
2017/02/01 16:03:00,AQUA_M-T,Brasil,PIAUI,PIMENTEIRAS,Caatinga,0,0,0.06,-6.236,-41.327,
2017/02/01 16:03:00,AQUA_M-T,Brasil,PERNAMBUCO,SAO BENEDITO DO SUL,Mata Atlantica,0,0,1,-8.754,-35.866,
2017/02/01 16:04:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,0,1.1,,-5.309,-35.64,
2017/02/01 16:04:00,AQUA_M-T,Brasil,PIAUI,BATALHA,Caatinga,0,0,,-4.086,-41.989,
2017/02/01 16:04:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,TOUROS,Caatinga,0,1.1,,-5.318,-35.639,
2017/02/01 16:04:00,AQUA_M-T,Brasil,PIAUI,ESPERANTINA,Caatinga,0,0,,-3.737,-42.111,
2017/02/01 16:04:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,IPANGUACU,Caatinga,0,0,1,-5.553,-36.894,
2017/02/01 17:35:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,RIO GRANDE,Pampa,0,39.9,0.01,-32.108,-52.175,
2017/02/01 17:38:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,114.9,0,-19.739,-57.523,
2017/02/01 17:38:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,114.9,0,-19.73,-57.524,
2017/02/01 17:38:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,114.9,0,-19.779,-57.545,
2017/02/01 17:38:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,115.7,0,-19.74,-57.405,
2017/02/01 17:38:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,121,0,-19.729,-57.832,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,67.6,0,-18.913,-57.342,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,76.2,0,-18.719,-57.15,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,67.6,0,-18.911,-57.332,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,51.4,0,-18.893,-57.335,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,76,0,-18.831,-57.228,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,67.6,0,-18.902,-57.334,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,67.6,0,-18.904,-57.343,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,51.4,0,-18.828,-57.333,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,12.9,0,-18.498,-57.406,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,27.3,0,-18.501,-57.484,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,51.4,0,-18.827,-57.323,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,0,15.5,0,-16.12,-57.192,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,0,13.3,0.02,-17.446,-57.318,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Cerrado,0,15.5,0.01,-16.14,-57.199,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,0,13.3,0.01,-17.426,-57.311,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,0,13.3,0,-17.455,-57.317,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,0,13.3,0.02,-17.454,-57.307,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,51.4,0,-18.895,-57.345,
2017/02/01 17:39:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,102.5,0,-19.512,-57.986,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARA DA SERRA,Cerrado,0,3.3,0.15,-14.298,-58.435,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARA DA SERRA,Cerrado,0,9.1,0.15,-14.306,-58.87,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARA DA SERRA,Cerrado,0,3.3,0.15,-14.289,-58.436,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARA DA SERRA,Cerrado,0,9.1,0.15,-14.304,-58.86,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARA DA SERRA,Cerrado,0,3.3,0.15,-14.299,-58.444,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARA DA SERRA,Cerrado,0,3.3,0.15,-14.296,-58.425,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPOS DE JULIO,Cerrado,0,0.1,0.15,-13.054,-59.054,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARA DA SERRA,Cerrado,0,3.3,0.15,-14.314,-58.426,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,NOVO SAO JOAQUIM,Cerrado,0,0.1,0.05,-15.092,-53.692,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,Amazonia,0,1.6,0.01,-15.341,-60.354,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA UBIRATA,Cerrado,0,0.1,0.02,-12.963,-54.949,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,NOVA MARINGA,Cerrado,0,0.7,0,-13.52,-57.044,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,SAO JOSE DO RIO CLARO,Cerrado,0,0,0,-13.743,-57.086,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,SANTO AFONSO,Amazonia,0,2,0,-14.41,-57.518,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARA DA SERRA,Cerrado,0,15.7,0.15,-14.294,-58.786,
2017/02/01 17:40:00,AQUA_M-T,Brasil,MATO GROSSO,TANGARA DA SERRA,Cerrado,0,3.3,0.15,-14.29,-58.445,
