datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/07/01 04:15:00,AQUA_M-M,Brasil,RIO GRANDE DO NORTE,AFONSO BEZERRA,Caatinga,16,0,,-5.446,-36.714,9.2
2018/07/01 04:15:00,AQUA_M-M,Brasil,PARA,DOM ELISEU,Amazonia,24,0,0.95,-4.183,-47.968,20
2018/07/01 04:15:00,AQUA_M-M,Brasil,PARA,DOM ELISEU,Amazonia,24,0,0.94,-4.187,-47.976,21.8
2018/07/01 04:15:00,AQUA_M-M,Brasil,TOCANTINS,DUERE,Cerrado,39,0,1,-11.282,-49.61,18
2018/07/01 04:20:00,AQUA_M-M,Brasil,SAO PAULO,PRATANIA,Cerrado,19,0,1,-22.862,-48.7,29
2018/07/01 04:20:00,AQUA_M-M,Brasil,SAO PAULO,BOTUCATU,Cerrado,19,0,1,-22.873,-48.702,13.8
2018/07/01 05:55:00,AQUA_M-M,Brasil,RONDONIA,CANDEIAS DO JAMARI,Amazonia,33,0,1,-8.759,-63.647,7.4
2018/07/01 05:55:00,AQUA_M-M,Brasil,RONDONIA,PORTO VELHO,Amazonia,5,0,1,-9.638,-65.731,7.4
2018/07/01 05:55:00,AQUA_M-M,Brasil,RONDONIA,PORTO VELHO,Amazonia,5,0,0.63,-9.646,-65.742,21.4
2018/07/01 05:55:00,AQUA_M-M,Brasil,RONDONIA,PORTO VELHO,Amazonia,5,0,1,-9.647,-65.733,45.9
2018/07/02 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,44,0,0.89,-10.665,-54.364,8
2018/07/02 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,44,0,1,-10.666,-54.354,14.5
2018/07/02 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,CLAUDIA,Amazonia,45,0,1,-11.521,-54.857,7.2
2018/07/02 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,TABAPORA,Amazonia,44,0,0.81,-11.557,-56.355,7.6
2018/07/02 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,CLAUDIA,Amazonia,44,0,0.8,-11.617,-54.996,7.1
2018/07/02 05:00:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,SIDROLANDIA,Cerrado,5,0,1,-21.195,-54.791,7.3
2018/07/02 05:00:00,AQUA_M-M,Brasil,TOCANTINS,WANDERLANDIA,Amazonia,24,0,0.74,-7.038,-48.144,8.5
2018/07/03 04:05:00,AQUA_M-M,Brasil,TOCANTINS,MONTE DO CARMO,Cerrado,50,0,1,-11.035,-48.043,37.3
2018/07/03 04:05:00,AQUA_M-M,Brasil,TOCANTINS,GOIATINS,Cerrado,44,0,1,-8.042,-47.172,33.9
