datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/05/01 04:45:00,AQUA_M-M,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,0,0,0.18,-12.184,-49.444,13.2
2018/05/01 04:45:00,AQUA_M-M,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,0,0,0.18,-12.186,-49.434,7.7
2018/05/01 04:50:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,SIDROLANDIA,Cerrado,0,0,1,-21.168,-54.624,6
2018/05/01 04:50:00,AQUA_M-M,Brasil,SAO PAULO,MONTE ALTO,Cerrado,0,0,1,-21.27,-48.574,11.2
2018/05/01 04:50:00,AQUA_M-M,Brasil,SAO PAULO,FERNANDO PRESTES,Cerrado,0,0,1,-21.368,-48.685,8.3
2018/05/01 04:50:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,DOURADOS,Mata Atlantica,0,0,0.53,-22.284,-54.71,11.3
2018/05/01 04:50:00,AQUA_M-M,Brasil,PARANA,INAJA,Mata Atlantica,0,0,1,-22.717,-52.255,57.8
2018/05/01 04:50:00,AQUA_M-M,Brasil,PARANA,INAJA,Mata Atlantica,0,0,1,-22.718,-52.245,39.1
2018/05/01 04:50:00,AQUA_M-M,Brasil,PARANA,NOVA ESPERANCA,Mata Atlantica,0,0,1,-23.245,-52.23,10.2
2018/05/01 04:50:00,AQUA_M-M,Brasil,PARANA,MIRADOR,Mata Atlantica,0,0,1,-23.256,-52.726,19
2018/05/01 04:50:00,AQUA_M-M,Brasil,PARANA,RONDON,Mata Atlantica,0,0,1,-23.485,-52.854,11.7
2018/05/01 04:50:00,AQUA_M-M,Brasil,PARANA,RONDON,Mata Atlantica,0,0,0.59,-23.486,-52.844,136.1
2018/05/01 04:50:00,AQUA_M-M,Brasil,PARANA,RONDON,Mata Atlantica,0,0,1,-23.488,-52.834,6.2
2018/05/01 04:50:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,PARANHOS,Mata Atlantica,0,0,1,-23.762,-55.399,12.1
2018/05/01 04:50:00,AQUA_M-M,Brasil,MATO GROSSO DO SUL,PARANHOS,Mata Atlantica,0,0,1,-23.764,-55.388,16.2
2018/05/01 04:50:00,AQUA_M-M,Brasil,MINAS GERAIS,BOM DESPACHO,Cerrado,0,0,1,-19.764,-45.323,18.5
2018/05/01 04:50:00,AQUA_M-M,Brasil,MINAS GERAIS,BOM DESPACHO,Cerrado,0,0,1,-19.765,-45.329,24.8
