datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,SANTA CRUZ DO XINGU,Amazonia,8,0,1,-10.177,-52.166,18.9
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,SANTA CRUZ DO XINGU,Amazonia,8,0,1,-10.187,-52.167,9.4
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,MARCELANDIA,Amazonia,8,0,1,-10.876,-54.191,7.5
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,ITAUBA,Amazonia,10,0,1,-11.041,-55.534,5
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,NOVA MUTUM,Cerrado,2,0,0.32,-14.085,-55.793,8.2
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,NOVA MUTUM,Cerrado,2,0,1,-14.086,-55.784,6.8
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,CAMPOS DE JULIO,Cerrado,20,0,1,-14.007,-59.085,8
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,CAMPOS DE JULIO,Cerrado,20,0,1,-14.009,-59.075,16.9
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,CAMPOS DE JULIO,Cerrado,20,0,1,-14.011,-59.064,10.6
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,BARRA DO BUGRES,Amazonia,3,0,0.48,-15.141,-57.51,33.8
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,BARRA DO BUGRES,Amazonia,3,0,0.48,-15.15,-57.511,5.2
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,CANABRAVA DO NORTE,Cerrado,16,0,1,-11.264,-51.558,23.5
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,CANABRAVA DO NORTE,Cerrado,16,0,1,-11.265,-51.543,11
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,TABAPORA,Amazonia,2,0,0.29,-11.347,-56.4,8.5
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,CLAUDIA,Amazonia,18,0,0.27,-11.478,-54.793,6
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,PORTO DOS GAUCHOS,Amazonia,19,0,0.31,-11.546,-57.409,11.3
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,PORTO DOS GAUCHOS,Amazonia,8,0,1,-11.547,-57.399,26.3
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,SANTA CARMEM,Amazonia,18,0,0.3,-11.844,-54.673,5.4
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,18,0,1,-12.123,-54.123,9.1
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,CAMPOS DE JULIO,Cerrado,20,0,1,-13.998,-59.084,17.3
2019/06/01 05:10:00,AQUA_M-M,Brasil,MATO GROSSO,CAMPOS DE JULIO,Cerrado,20,0,1,-13.999,-59.073,8.9
2019/06/02 04:15:00,AQUA_M-M,Brasil,PIAUI,PARNAGUA,Cerrado,14,0,0.99,-10.251,-44.719,8.3
2019/06/02 04:15:00,AQUA_M-M,Brasil,PIAUI,PARNAGUA,Cerrado,14,0,0.99,-10.252,-44.708,6.8
2019/06/02 04:15:00,AQUA_M-M,Brasil,BAHIA,SANTA RITA DE CASSIA,Cerrado,16,0,0.54,-11.233,-44.863,6.5
2019/06/02 04:15:00,AQUA_M-M,Brasil,BAHIA,SANTA RITA DE CASSIA,Cerrado,16,0,0.98,-11.242,-44.865,10.5
2019/06/02 04:15:00,AQUA_M-M,Brasil,PIAUI,CURRAIS,Cerrado,14,0,1,-8.917,-44.351,8.5
2019/06/02 04:20:00,AQUA_M-M,Brasil,MINAS GERAIS,GOVERNADOR VALADARES,Mata Atlantica,15,0,1,-18.807,-42.019,9.6
2019/06/02 04:20:00,AQUA_M-M,Brasil,MINAS GERAIS,GOVERNADOR VALADARES,Mata Atlantica,15,0,0.58,-18.817,-42.02,5.4
2019/06/02 04:20:00,AQUA_M-M,Brasil,MINAS GERAIS,CONCEICAO DO MATO DENTRO,Mata Atlantica,16,0,0.51,-19.112,-43.312,15.4
2019/06/02 04:20:00,AQUA_M-M,Brasil,SAO PAULO,ITAPOLIS,Cerrado,16,0,1,-21.447,-48.765,13
2019/06/02 04:20:00,AQUA_M-M,Brasil,SAO PAULO,ITAPOLIS,Cerrado,16,0,1,-21.452,-48.794,90.9
2019/06/02 04:20:00,AQUA_M-M,Brasil,SAO PAULO,ITAPOLIS,Cerrado,16,0,1,-21.455,-48.781,169.5
2019/06/02 04:20:00,AQUA_M-M,Brasil,SAO PAULO,ITAPOLIS,Cerrado,16,0,1,-21.459,-48.787,157.3
2019/06/02 04:20:00,AQUA_M-M,Brasil,SAO PAULO,ITAPOLIS,Cerrado,16,0,1,-21.462,-48.773,16.5
2019/06/03 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,SANTA CRUZ DO XINGU,Amazonia,10,0,1,-10.178,-52.164,5.1
2019/06/03 05:00:00,AQUA_M-M,Brasil,TOCANTINS,PIUM,Cerrado,10,0,0.49,-10.604,-50.248,6.4
2019/06/03 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,NOVA CANAA DO NORTE,Amazonia,12,0.11,0.28,-10.897,-56.081,9.3
2019/06/03 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,CANABRAVA DO NORTE,Cerrado,18,0,1,-11.25,-51.545,5.6
2019/06/03 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,CANABRAVA DO NORTE,Cerrado,18,0,1,-11.267,-51.558,7
2019/06/03 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,19,0,1,-12.097,-54.196,5.9
2019/06/03 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,19,0,1,-12.098,-54.187,5.6
2019/06/03 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,22,0.05,0.37,-12.508,-55.002,10.4
2019/06/03 05:00:00,AQUA_M-M,Brasil,MATO GROSSO,FELIZ NATAL,Amazonia,22,0.05,0.37,-12.518,-55.003,11.7
2019/06/04 04:00:00,AQUA_M-M,Brasil,PIAUI,PAJEU DO PIAUI,Caatinga,16,0,0.97,-7.701,-42.819,19.6
2019/06/04 04:05:00,AQUA_M-M,Brasil,BAHIA,SANTA INES,Mata Atlantica,13,0,1,-13.304,-39.904,5.5
2019/06/04 04:05:00,AQUA_M-M,Brasil,BAHIA,GUARATINGA,Mata Atlantica,17,0,0.77,-16.639,-39.813,10.9
2019/06/04 04:05:00,AQUA_M-M,Brasil,BAHIA,GUARATINGA,Mata Atlantica,17,0,0.76,-16.641,-39.804,7.9
2019/06/05 04:45:00,AQUA_M-M,Brasil,TOCANTINS,ITAPIRATINS,Cerrado,13,0,1,-8.204,-48.083,6.4
2019/06/05 04:45:00,AQUA_M-M,Brasil,TOCANTINS,ITAPIRATINS,Cerrado,13,0,0.65,-8.205,-48.074,11
2019/06/05 04:45:00,AQUA_M-M,Brasil,PIAUI,PARNAGUA,Cerrado,17,0,1,-10.253,-44.714,29.9
2019/06/05 04:45:00,AQUA_M-M,Brasil,TOCANTINS,PEDRO AFONSO,Cerrado,19,0,1,-9.148,-48.106,5.9
2019/06/05 04:45:00,AQUA_M-M,Brasil,TOCANTINS,PEDRO AFONSO,Cerrado,19,0,1,-9.15,-48.097,6.8
2019/06/05 04:45:00,AQUA_M-M,Brasil,TOCANTINS,PIUM,Cerrado,9,0,1,-10.12,-49.653,5.4
2019/06/05 04:45:00,AQUA_M-M,Brasil,TOCANTINS,PIUM,Cerrado,9,0,1,-10.121,-49.644,4.8
2019/06/05 04:45:00,AQUA_M-M,Brasil,MATO GROSSO,SANTA CRUZ DO XINGU,Amazonia,12,0,1,-10.173,-52.161,9.8
